t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
34.015114,"[-0.019531, -0.019531, -1.046875]","[-0.000000, 0.000000, -0.000000]","[-0.019999, 0.000000, 0.051710]","[-0.000001, 0.000003, -0.000001]","[0.011719, -0.019775, 0.004639]","[-0.009888, 0.005890, 0.002441, 0.999939]","[0.000000, -0.000824, 0.002167, 0.999969]","[-0.045410, 0.179199, -0.003906]","[[0.999939, 0.004700, -0.011780], [-0.004944, 0.999817, -0.019775], [0.011658, 0.019775, 0.999756]]",0.999939,"[8023, 7867, 7890, 8007]"
34.017056,"[-0.019531, -0.019531, -1.046875]","[-0.000000, 0.000000, -0.000000]","[-0.009998, 0.000000, 0.058922]","[-0.000001, 0.000003, -0.000001]","[0.011719, -0.020020, 0.004639]","[-0.010101, 0.005920, 0.002441, 0.999939]","[0.000000, -0.000336, 0.002167, 0.999969]","[-0.206543, -0.011719, -0.008057]","[[0.999939, 0.004700, -0.011841], [-0.004944, 0.999817, -0.020203], [0.011719, 0.020203, 0.999756]]",0.999939,"[8020, 7883, 7905, 8010]"
34.048306,"[-0.019531, -0.019531, -1.046875]","[-0.000000, 0.000001, -0.000000]","[0.000000, 0.000000, 0.049053]","[-0.000016, 0.000039, -0.000013]","[0.007324, -0.019531, 0.004639]","[-0.009796, 0.003754, 0.002411, 0.999939]","[0.000000, 0.000000, 0.002167, 0.999969]","[-0.035889, -0.301270, 0.000488]","[[0.999939, 0.004639, -0.007507], [-0.004883, 0.999756, -0.019592], [0.007385, 0.019592, 0.999756]]",0.999939,"[8029, 7923, 7850, 7974]"
34.200657,"[-0.007812, -0.007812, -1.042969]","[-0.000054, 0.000130, -0.000043]","[0.009998, 0.000000, 0.062515]","[-0.001107, 0.002649, -0.000887]","[0.002197, -0.022705, 0.003906]","[-0.011353, 0.001099, 0.002075, 0.999939]","[-0.000824, 0.001343, 0.002197, 0.999969]","[-0.097412, 0.162109, 0.048584]","[[1.000000, 0.004028, -0.002197], [-0.004150, 0.999756, -0.022705], [0.002075, 0.022705, 0.999756]]",1.0,"[8018, 7887, 7822, 7966]"
34.20261,"[-0.007812, -0.007812, -1.042969]","[-0.000054, 0.000130, -0.000043]","[0.029999, 0.000000, 0.071939]","[-0.001107, 0.002649, -0.000887]","[0.000244, -0.021729, 0.003662]","[-0.010925, 0.000153, 0.001953, 0.999939]","[-0.000824, 0.002197, 0.002197, 0.999969]","[0.062500, 0.332275, 0.083740]","[[0.999939, 0.003784, -0.000305], [-0.003906, 0.999756, -0.021851], [0.000183, 0.021851, 0.999756]]",0.999939,"[8007, 7894, 7854, 7968]"
34.216274,"[-0.019531, -0.007812, -1.039062]","[-0.000054, 0.000130, -0.000043]","[0.019999, 0.000000, 0.004412]","[-0.001107, 0.002649, -0.000887]","[-0.000488, -0.021484, 0.004150]","[-0.010803, -0.000275, 0.002136, 0.999939]","[-0.000824, 0.001221, 0.002197, 0.999969]","[0.371094, -0.516602, -0.011719]","[[0.999939, 0.004211, 0.000488], [-0.004211, 0.999756, -0.021667], [-0.000610, 0.021545, 0.999756]]",0.999939,"[8010, 7857, 7845, 8028]"
34.353001,"[-0.019531, -0.007812, -1.035156]","[-0.000476, 0.001140, -0.000382]","[0.029999, 0.000000, 0.141071]","[-0.005984, 0.014325, -0.004804]","[-0.002441, -0.021973, 0.003906]","[-0.010956, -0.001343, 0.002014, 0.999939]","[-0.000702, 0.001953, 0.002197, 0.999969]","[0.044922, -0.001221, -0.059570]","[[0.999939, 0.003967, 0.002625], [-0.003967, 0.999756, -0.021973], [-0.002747, 0.021851, 0.999756]]",0.999939,"[8045, 7941, 7862, 7985]"
34.354946,"[-0.007812, -0.007812, -1.035156]","[-0.000476, 0.001140, -0.000382]","[0.039999, 0.000000, 0.141071]","[-0.005984, 0.014325, -0.004804]","[-0.002441, -0.021973, 0.003906]","[-0.010956, -0.001343, 0.002014, 0.999939]","[-0.000702, 0.003174, 0.002197, 0.999969]","[0.044922, -0.001221, -0.059570]","[[0.999939, 0.003967, 0.002625], [-0.003967, 0.999756, -0.021973], [-0.002747, 0.021851, 0.999756]]",0.999939,"[8045, 7945, 7857, 7983]"
34.356903,"[-0.007812, -0.007812, -1.031250]","[-0.000605, 0.001447, -0.000485]","[0.029999, 0.000000, 0.155760]","[-0.007187, 0.017207, -0.005771]","[-0.001709, -0.021973, 0.003906]","[-0.010986, -0.000946, 0.002045, 0.999939]","[-0.000702, 0.002686, 0.002197, 0.999969]","[0.032227, 0.130127, 0.145508]","[[0.999939, 0.004028, 0.001831], [-0.004028, 0.999756, -0.022034], [-0.001953, 0.021912, 0.999756]]",0.999939,"[8034, 7931, 7886, 7980]"
34.384247,"[-0.007812, -0.007812, -1.027344]","[-0.000758, 0.001815, -0.000608]","[0.039999, 0.000000, 0.179071]","[-0.008545, 0.020460, -0.006863]","[-0.001465, -0.021973, 0.003662]","[-0.010956, -0.000763, 0.001953, 0.999939]","[-0.000702, 0.003174, 0.002197, 0.999969]","[0.036377, -0.013184, -0.069824]","[[0.999939, 0.003845, 0.001465], [-0.003845, 0.999756, -0.021973], [-0.001587, 0.021851, 0.999756]]",0.999939,"[8074, 7956, 7918, 8027]"
34.425259,"[0.000000, -0.007812, -1.023438]","[-0.001152, 0.002759, -0.000925]","[0.059999, 0.000000, 0.197113]","[-0.011761, 0.028166, -0.009451]","[0.000000, -0.020996, 0.003418]","[-0.010559, -0.000061, 0.001831, 0.999939]","[-0.000580, 0.004639, 0.002197, 0.999969]","[0.037598, 0.150879, 0.081055]","[[0.999939, 0.003601, 0.000061], [-0.003601, 0.999756, -0.021179], [-0.000183, 0.021057, 0.999756]]",0.999939,"[8059, 7981, 7955, 8067]"
34.452606,"[0.000000, -0.007812, -1.019531]","[-0.001400, 0.003352, -0.001124]","[0.049999, 0.000000, 0.212549]","[-0.013636, 0.032657, -0.010959]","[0.000000, -0.021484, 0.002930]","[-0.010742, 0.000092, 0.001587, 0.999939]","[-0.000580, 0.004150, 0.002197, 0.999969]","[-0.026855, -0.046387, -0.051758]","[[0.999939, 0.003052, -0.000183], [-0.003174, 0.999756, -0.021484], [0.000061, 0.021484, 0.999756]]",0.999939,"[8116, 7984, 7942, 8072]"
34.519012,"[0.000000, -0.007812, -1.011719]","[-0.002813, 0.006737, -0.002261]","[0.059999, 0.009998, 0.244770]","[-0.023074, 0.055278, -0.018564]","[0.000977, -0.020996, 0.001709]","[-0.010529, 0.000580, 0.001007, 0.999939]","[-0.000824, 0.004883, 0.002197, 0.999969]","[-0.050049, -0.087891, -0.105469]","[[0.999939, 0.001892, -0.001160], [-0.002014, 0.999756, -0.021057], [0.001038, 0.021057, 0.999756]]",0.999939,"[8102, 8013, 7974, 8087]"
34.554165,"[0.000000, -0.007812, -1.007812]","[-0.003828, 0.009169, -0.003078]","[0.070000, 0.000000, 0.233381]","[-0.029042, 0.069585, -0.023377]","[0.001709, -0.019775, 0.000977]","[-0.010010, 0.000885, 0.000671, 0.999969]","[-0.000092, 0.005371, 0.002197, 0.999969]","[-0.154785, 0.134277, -0.106934]","[[1.000061, 0.001221, -0.001770], [-0.001343, 0.999878, -0.020020], [0.001648, 0.020020, 0.999878]]",1.000061,"[8105, 8032, 7982, 8070]"
34.587368,"[0.000000, -0.007812, -1.003906]","[-0.004428, 0.010605, -0.003560]","[0.059999, 0.000000, 0.224714]","[-0.032354, 0.077527, -0.026050]","[0.001953, -0.020264, 0.000488]","[-0.010162, 0.001038, 0.000397, 0.999969]","[0.000000, 0.005096, 0.002167, 0.999969]","[0.169922, -0.182617, -0.037842]","[[1.000061, 0.000671, -0.002075], [-0.000793, 0.999878, -0.020325], [0.001953, 0.020325, 0.999878]]",1.000061,"[8149, 8018, 7958, 8136]"
34.620575,"[0.007812, -0.007812, -1.000000]","[-0.005831, 0.013967, -0.004690]","[0.080000, 0.000000, 0.232204]","[-0.039650, 0.095027, -0.031943]","[0.003418, -0.020020, 0.000000]","[-0.010040, 0.001831, -0.000061, 0.999969]","[0.000244, 0.006561, 0.002167, 0.999969]","[-0.156494, 0.170654, 0.017822]","[[1.000061, -0.000183, -0.003601], [0.000061, 0.999878, -0.020142], [0.003601, 0.020020, 0.999878]]",1.000061,"[8119, 8023, 7996, 8125]"
34.653774,"[0.007812, -0.007812, -0.996094]","[-0.007537, 0.018057, -0.006065]","[0.070000, 0.000000, 0.186825]","[-0.047862, 0.114727, -0.038582]","[0.003662, -0.019531, -0.000488]","[-0.009766, 0.001892, -0.000336, 0.999969]","[0.000732, 0.006195, 0.002167, 0.999969]","[0.149170, -0.308594, -0.059570]","[[1.000061, -0.000732, -0.003723], [0.000610, 0.999878, -0.019592], [0.003723, 0.019470, 0.999878]]",1.000061,"[8114, 8040, 7979, 8142]"
34.686977,"[0.007812, -0.007812, -0.996094]","[-0.008515, 0.020402, -0.006854]","[0.089998, 0.000000, 0.190907]","[-0.052313, 0.125407, -0.042182]","[0.003906, -0.019043, -0.000977]","[-0.009583, 0.002075, -0.000580, 0.999969]","[0.000977, 0.007416, 0.002167, 0.999939]","[-0.174561, 0.311035, -0.012207]","[[1.000061, -0.001221, -0.004089], [0.001099, 0.999878, -0.019226], [0.004089, 0.019104, 0.999878]]",1.000061,"[8139, 8052, 7977, 8094]"
