t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
34.89727,"[-0.207031, -0.277344, -0.929688]","[0.000000, 0.000000, -0.000000]","[0.000000, -0.019999, 0.022022]","[0.000002, 0.000002, -0.000002]","[0.010742, -0.023193, -0.008789]","[-0.011566, 0.005432, -0.004395, 0.999908]","[0.000214, 0.000000, -0.004364, 0.999969]","[0.266846, -0.492432, -0.056885]","[[0.999878, -0.008972, -0.010742], [0.008606, 0.999634, -0.023193], [0.010864, 0.023071, 0.999634]]",0.999878,"[7852, 7821, 7745, 7830]"
34.981258,"[-0.207031, -0.277344, -0.929688]","[0.000002, 0.000002, -0.000002]","[0.000000, -0.009998, 0.038515]","[0.000067, 0.000057, -0.000062]","[0.007324, -0.021729, -0.009766]","[-0.010895, 0.003723, -0.004852, 0.999908]","[-0.000092, 0.000000, -0.004364, 0.999969]","[0.145996, 0.134766, 0.052490]","[[0.999817, -0.009827, -0.007324], [0.009583, 0.999634, -0.021851], [0.007446, 0.021729, 0.999634]]",0.999817,"[7891, 7774, 7704, 7854]"
34.983208,"[-0.199219, -0.277344, -0.929688]","[0.000002, 0.000002, -0.000002]","[-0.009998, -0.009998, 0.004835]","[0.000067, 0.000057, -0.000062]","[0.005615, -0.021240, -0.009766]","[-0.010651, 0.002899, -0.004852, 0.999939]","[-0.000092, 0.000000, -0.004364, 0.999969]","[0.153076, -0.458496, -0.016602]","[[0.999939, -0.009827, -0.005676], [0.009583, 0.999756, -0.021362], [0.005798, 0.021240, 0.999756]]",0.999939,"[7906, 7790, 7695, 7841]"
35.133602,"[-0.199219, -0.277344, -0.925781]","[0.000076, 0.000064, -0.000070]","[-0.009998, 0.000000, 0.008511]","[0.001232, 0.001051, -0.001137]","[0.005615, -0.018799, -0.011230]","[-0.009369, 0.002899, -0.005585, 0.999939]","[-0.000458, 0.000000, -0.004364, 0.999969]","[-0.068115, 0.161865, 0.083252]","[[0.999878, -0.011230, -0.005676], [0.011108, 0.999756, -0.018799], [0.005798, 0.018677, 0.999817]]",0.999878,"[7868, 7813, 7849, 7932]"
35.135555,"[-0.199219, -0.277344, -0.917969]","[0.000076, 0.000064, -0.000070]","[-0.019999, 0.000000, 0.016081]","[0.001232, 0.001051, -0.001137]","[0.005127, -0.018799, -0.010986]","[-0.009369, 0.002625, -0.005554, 0.999939]","[-0.000458, -0.000488, -0.004395, 0.999969]","[0.010986, -0.171143, 0.005371]","[[0.999878, -0.011169, -0.005127], [0.011047, 0.999756, -0.018799], [0.005249, 0.018677, 0.999817]]",0.999878,"[7896, 7816, 7816, 7929]"
35.145325,"[-0.199219, -0.277344, -0.914062]","[0.000076, 0.000064, -0.000070]","[0.019999, 0.000000, 0.060017]","[0.001232, 0.001051, -0.001137]","[0.004395, -0.018311, -0.011230]","[-0.009125, 0.002350, -0.005646, 0.999939]","[-0.000488, 0.001434, -0.004364, 0.999969]","[0.040283, 0.070312, -0.015381]","[[0.999878, -0.011353, -0.004578], [0.011230, 0.999756, -0.018311], [0.004700, 0.018188, 0.999817]]",0.999878,"[7912, 7808, 7835, 7913]"
35.200001,"[-0.199219, -0.277344, -0.910156]","[0.000180, 0.000153, -0.000166]","[0.009998, -0.009998, 0.098539]","[0.002418, 0.002067, -0.002237]","[0.004150, -0.017578, -0.011230]","[-0.008759, 0.002228, -0.005676, 0.999939]","[-0.000122, 0.001068, -0.004364, 0.999969]","[-0.023193, 0.106934, 0.075439]","[[0.999878, -0.011414, -0.004333], [0.011292, 0.999756, -0.017578], [0.004456, 0.017456, 0.999817]]",0.999878,"[7941, 7854, 7860, 7942]"
35.34454,"[-0.199219, -0.277344, -0.886719]","[0.000836, 0.000716, -0.000774]","[0.019999, 0.000000, 0.169138]","[0.007905, 0.006789, -0.007346]","[0.005371, -0.015137, -0.014160]","[-0.007538, 0.002777, -0.007050, 0.999939]","[-0.000488, 0.001434, -0.004364, 0.999969]","[-0.032715, 0.106445, 0.025391]","[[0.999817, -0.014160, -0.005432], [0.014038, 0.999756, -0.015137], [0.005554, 0.015015, 0.999817]]",0.999817,"[7966, 7943, 7936, 8015]"
35.346485,"[-0.199219, -0.277344, -0.882812]","[0.001001, 0.000858, -0.000928]","[0.029999, 0.000000, 0.209936]","[0.009077, 0.007801, -0.008440]","[0.005615, -0.015137, -0.014160]","[-0.007568, 0.002960, -0.007111, 0.999939]","[-0.000488, 0.001923, -0.004364, 0.999969]","[-0.033691, 0.159180, -0.068604]","[[0.999817, -0.014282, -0.005798], [0.014160, 0.999756, -0.015198], [0.005920, 0.015076, 0.999817]]",0.999817,"[7987, 7928, 7946, 8030]"
35.41291,"[-0.199219, -0.277344, -0.867188]","[0.001651, 0.001417, -0.001533]","[0.029999, 0.009998, 0.243792]","[0.013277, 0.011435, -0.012371]","[0.005615, -0.014404, -0.015625]","[-0.007233, 0.002930, -0.007812, 0.999939]","[-0.000854, 0.001923, -0.004364, 0.999969]","[-0.181396, 0.373047, 0.058350]","[[0.999817, -0.015686, -0.005737], [0.015564, 0.999756, -0.014526], [0.005859, 0.014404, 0.999878]]",0.999817,"[8053, 8003, 7983, 8055]"
35.446098,"[-0.187500, -0.277344, -0.859375]","[0.002235, 0.001920, -0.002077]","[0.019999, 0.019999, 0.214390]","[0.016691, 0.014398, -0.015574]","[0.005859, -0.014404, -0.016113]","[-0.007172, 0.003052, -0.008026, 0.999939]","[-0.001343, 0.002167, -0.004364, 0.999969]","[0.057373, -0.235840, -0.106934]","[[0.999817, -0.016113, -0.005981], [0.015991, 0.999756, -0.014404], [0.006104, 0.014282, 0.999878]]",0.999817,"[8049, 8011, 7990, 8129]"
35.596497,"[-0.187500, -0.277344, -0.843750]","[0.005548, 0.004787, -0.005178]","[0.019999, 0.009998, 0.052464]","[0.032944, 0.028582, -0.030907]","[0.005127, -0.013672, -0.020020]","[-0.006866, 0.002655, -0.010071, 0.999939]","[-0.000610, 0.001923, -0.004364, 0.999969]","[0.230713, -0.333984, -0.006348]","[[0.999817, -0.020203, -0.005127], [0.020081, 0.999756, -0.013794], [0.005371, 0.013672, 0.999939]]",0.999817,"[8018, 7993, 7956, 8080]"
35.598442,"[-0.187500, -0.277344, -0.835938]","[0.005548, 0.004787, -0.005178]","[0.049999, 0.029999, 0.117748]","[0.032944, 0.028582, -0.030907]","[0.006104, -0.014404, -0.020020]","[-0.007233, 0.003174, -0.010071, 0.999939]","[-0.001587, 0.003387, -0.004364, 0.999969]","[-0.450684, 0.585449, 0.005859]","[[0.999817, -0.020203, -0.006165], [0.020081, 0.999756, -0.014587], [0.006409, 0.014343, 0.999939]]",0.999817,"[7989, 7989, 7933, 8074]"
35.614063,"[-0.187500, -0.277344, -0.832031]","[0.006220, 0.005370, -0.005809]","[0.039999, 0.039999, 0.139273]","[0.035848, 0.031129, -0.033659]","[0.006836, -0.015137, -0.020752]","[-0.007538, 0.003540, -0.010406, 0.999939]","[-0.001953, 0.002899, -0.004364, 0.999969]","[-0.496338, 0.459229, -0.050049]","[[0.999817, -0.020874, -0.006897], [0.020752, 0.999756, -0.015198], [0.007141, 0.014954, 0.999939]]",0.999817,"[8018, 8001, 7950, 8120]"
35.748837,"[-0.179688, -0.269531, -0.820312]","[0.012718, 0.011033, -0.011930]","[0.039999, 0.049999, 0.092808]","[0.060473, 0.052856, -0.057132]","[0.007812, -0.015869, -0.023438]","[-0.007874, 0.004089, -0.011719, 0.999878]","[-0.002563, 0.002777, -0.004364, 0.999969]","[-0.088867, 0.099121, -0.010742]","[[0.999634, -0.023560, -0.007935], [0.023315, 0.999512, -0.015869], [0.008301, 0.015625, 0.999756]]",0.999634,"[8060, 8008, 7981, 8113]"
35.750801,"[-0.179688, -0.257812, -0.808594]","[0.012718, 0.011033, -0.011930]","[0.059999, 0.049999, 0.124834]","[0.060473, 0.052856, -0.057132]","[0.007568, -0.015869, -0.023438]","[-0.007874, 0.003967, -0.011719, 0.999878]","[-0.003296, 0.003754, -0.004364, 0.999969]","[0.032715, -0.167236, 0.002197]","[[0.999634, -0.023560, -0.007690], [0.023315, 0.999512, -0.015869], [0.008057, 0.015625, 0.999756]]",0.999634,"[8058, 7995, 7991, 8134]"
35.78009,"[-0.167969, -0.257812, -0.804688]","[0.015243, 0.013242, -0.014318]","[0.049999, 0.019999, 0.146038]","[0.068902, 0.060344, -0.065219]","[0.007568, -0.015869, -0.024170]","[-0.007965, 0.003937, -0.012054, 0.999878]","[-0.001587, 0.003754, -0.004364, 0.999969]","[-0.046387, -0.083740, 0.004883]","[[0.999634, -0.024231, -0.007629], [0.023987, 0.999512, -0.016052], [0.007996, 0.015808, 0.999756]]",0.999634,"[8074, 8048, 8017, 8129]"
