t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
35.315941,"[0.019531, 0.000000, -1.164062]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.000000, 0.123768]","[-0.000004, 0.000001, -0.000002]","[0.026855, -0.023682, -0.022461]","[-0.011749, 0.013641, -0.011139, 0.999786]","[0.000000, 0.000702, -0.011078, 0.999908]","[0.061523, -0.438477, -0.110352]","[[0.999390, -0.022644, -0.026978], [0.021912, 0.999512, -0.023804], [0.027466, 0.023193, 0.999390]]",0.99939,"[8163, 8062, 8140, 8263]"
35.331562,"[0.019531, 0.000000, -1.164062]","[-0.000000, 0.000000, -0.000000]","[0.000000, 0.000000, 0.091785]","[-0.000004, 0.000001, -0.000002]","[0.022949, -0.021484, -0.022705]","[-0.010681, 0.011688, -0.011261, 0.999817]","[0.000000, 0.000092, -0.011078, 0.999908]","[0.210449, -0.577881, -0.008789]","[[0.999451, -0.022827, -0.023132], [0.022217, 0.999512, -0.021667], [0.023499, 0.021057, 0.999512]]",0.999451,"[8171, 8150, 8159, 8188]"
35.364765,"[0.019531, 0.000000, -1.164062]","[-0.000001, 0.000000, -0.000000]","[-0.009998, 0.000000, 0.067469]","[-0.000066, 0.000010, -0.000024]","[0.015381, -0.020752, -0.023193]","[-0.010284, 0.007843, -0.011505, 0.999847]","[0.000000, -0.000214, -0.011078, 0.999908]","[-0.053711, 0.004150, 0.008789]","[[0.999573, -0.023193, -0.015442], [0.022827, 0.999512, -0.020752], [0.015808, 0.020386, 0.999634]]",0.999573,"[8241, 8155, 7998, 8110]"
35.399921,"[0.019531, 0.000000, -1.164062]","[-0.000008, 0.000001, -0.000003]","[0.009998, 0.000000, 0.032251]","[-0.000317, 0.000046, -0.000116]","[0.009521, -0.021729, -0.023926]","[-0.010803, 0.004944, -0.011902, 0.999878]","[0.000000, 0.000702, -0.011078, 0.999908]","[0.129150, -0.030762, 0.036133]","[[0.999695, -0.023926, -0.009583], [0.023682, 0.999512, -0.021729], [0.010071, 0.021484, 0.999756]]",0.999695,"[8228, 8080, 7941, 8064]"
35.433128,"[0.027344, 0.000000, -1.167969]","[-0.000031, 0.000005, -0.000011]","[0.019999, 0.000000, 0.008535]","[-0.000957, 0.000139, -0.000352]","[0.007080, -0.020508, -0.024902]","[-0.010223, 0.003723, -0.012390, 0.999878]","[0.000000, 0.001678, -0.011078, 0.999908]","[-0.152588, -0.003174, -0.056641]","[[0.999695, -0.024902, -0.007141], [0.024658, 0.999512, -0.020569], [0.007629, 0.020325, 0.999817]]",0.999695,"[8096, 8048, 7957, 8049]"
35.466328,"[0.027344, 0.000000, -1.171875]","[-0.000055, 0.000008, -0.000020]","[0.019999, 0.009998, -0.026737]","[-0.001498, 0.000217, -0.000551]","[0.004639, -0.020264, -0.025879]","[-0.010101, 0.002502, -0.012909, 0.999878]","[-0.000610, 0.001678, -0.011078, 0.999908]","[0.279785, -0.219727, 0.010498]","[[0.999695, -0.025879, -0.004700], [0.025757, 0.999512, -0.020325], [0.005188, 0.020081, 0.999817]]",0.999695,"[8089, 8005, 7913, 8025]"
35.532738,"[0.027344, 0.000000, -1.175781]","[-0.000318, 0.000046, -0.000117]","[0.029999, 0.009998, -0.027615]","[-0.005935, 0.000850, -0.002191]","[0.001709, -0.020264, -0.027832]","[-0.010193, 0.001099, -0.013916, 0.999847]","[-0.000610, 0.002411, -0.011078, 0.999908]","[0.339355, -0.587402, -0.056152]","[[0.999573, -0.027893, -0.001892], [0.027771, 0.999390, -0.020447], [0.002380, 0.020325, 0.999756]]",0.999573,"[8051, 7967, 7863, 8019]"
35.565937,"[0.027344, 0.000000, -1.175781]","[-0.000451, 0.000065, -0.000166]","[0.059999, 0.000000, -0.045767]","[-0.007796, 0.001113, -0.002881]","[0.002441, -0.020508, -0.028564]","[-0.010223, 0.001373, -0.014313, 0.999847]","[-0.000153, 0.003876, -0.011078, 0.999908]","[-0.277100, 0.470215, -0.014648]","[[0.999573, -0.028687, -0.002441], [0.028564, 0.999390, -0.020508], [0.002930, 0.020386, 0.999756]]",0.999573,"[8001, 7964, 7846, 8026]"
35.599144,"[0.027344, 0.000000, -1.175781]","[-0.000845, 0.000121, -0.000312]","[0.039999, 0.009998, -0.079828]","[-0.012673, 0.001796, -0.004693]","[0.001953, -0.021973, -0.029785]","[-0.010986, 0.001251, -0.014862, 0.999847]","[-0.000641, 0.002899, -0.011078, 0.999908]","[0.057373, -0.142334, -0.088135]","[[0.999573, -0.029785, -0.002136], [0.029663, 0.999390, -0.022034], [0.002747, 0.021912, 0.999817]]",0.999573,"[8005, 7945, 7829, 7965]"
35.632347,"[0.027344, 0.007812, -1.179688]","[-0.001464, 0.000208, -0.000542]","[0.049999, 0.019999, -0.087223]","[-0.019339, 0.002721, -0.007177]","[0.000244, -0.020020, -0.030518]","[-0.009979, 0.000336, -0.015228, 0.999847]","[-0.001617, 0.003387, -0.011078, 0.999908]","[0.464355, -0.409424, 0.058105]","[[0.999573, -0.030518, -0.000366], [0.030396, 0.999390, -0.020020], [0.000854, 0.019897, 0.999817]]",0.999573,"[7977, 7977, 7824, 7933]"
