t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
34.274185,"[-0.019531, 0.078125, -1.015625]","[0.000000, -0.000000, -0.000000]","[-0.009998, -0.009998, 0.095392]","[0.000001, -0.000001, -0.000001]","[0.011230, -0.019043, -0.051025]","[-0.009460, 0.005890, -0.025513, 0.999634]","[-0.000732, 0.000702, -0.024261, 0.999695]","[-0.124512, 0.035156, -0.050781]","[[0.998657, -0.051147, -0.011292], [0.050903, 0.998596, -0.019226], [0.012146, 0.018616, 0.999817]]",0.998657,"[7979, 7909, 7893, 7979]"
34.321045,"[-0.027344, 0.078125, -1.019531]","[0.000000, -0.000000, -0.000000]","[-0.009998, -0.019999, 0.107452]","[0.000011, -0.000007, -0.000004]","[0.010010, -0.018799, -0.053223]","[-0.009338, 0.005371, -0.026642, 0.999603]","[-0.000244, 0.000336, -0.024261, 0.999695]","[-0.071289, -0.030518, -0.051270]","[[0.998535, -0.053406, -0.010193], [0.053162, 0.998413, -0.018982], [0.011169, 0.018372, 0.999817]]",0.998535,"[7980, 7918, 7909, 8025]"
34.354237,"[-0.027344, 0.078125, -1.019531]","[0.000001, -0.000001, -0.000000]","[-0.009998, -0.009998, 0.103302]","[0.000042, -0.000025, -0.000015]","[0.009766, -0.019043, -0.054932]","[-0.009399, 0.005157, -0.027496, 0.999573]","[-0.000610, 0.000214, -0.024261, 0.999695]","[0.154541, -0.027344, -0.073730]","[[0.998413, -0.055115, -0.009766], [0.054871, 0.998291, -0.019104], [0.010742, 0.018494, 0.999756]]",0.998413,"[7997, 7904, 7895, 8074]"
34.389389,"[-0.027344, 0.078125, -1.019531]","[0.000002, -0.000001, -0.000001]","[0.000000, -0.009998, 0.096825]","[0.000071, -0.000041, -0.000026]","[0.008789, -0.018066, -0.056885]","[-0.008881, 0.004730, -0.028473, 0.999542]","[-0.000610, 0.000702, -0.024261, 0.999695]","[-0.070312, -0.084229, -0.026367]","[[0.998291, -0.057068, -0.008911], [0.056824, 0.998169, -0.018066], [0.009888, 0.017456, 0.999756]]",0.998291,"[7966, 7952, 7913, 8011]"
34.422592,"[-0.027344, 0.078125, -1.019531]","[0.000007, -0.000004, -0.000002]","[0.000000, 0.000000, 0.103500]","[0.000168, -0.000098, -0.000061]","[0.007812, -0.018066, -0.059082]","[-0.008942, 0.004211, -0.029480, 0.999512]","[-0.000977, 0.000580, -0.024261, 0.999695]","[0.124756, 0.025146, -0.085449]","[[0.998169, -0.059082, -0.007874], [0.058838, 0.998047, -0.018188], [0.008850, 0.017578, 0.999756]]",0.998169,"[7982, 7950, 7875, 8027]"
34.455795,"[-0.027344, 0.078125, -1.023438]","[0.000016, -0.000010, -0.000006]","[-0.009998, -0.009998, 0.094997]","[0.000338, -0.000197, -0.000124]","[0.007324, -0.018555, -0.060791]","[-0.009125, 0.004028, -0.030365, 0.999481]","[-0.000488, 0.000092, -0.024261, 0.999695]","[-0.136963, 0.043701, -0.026367]","[[0.998047, -0.060852, -0.007446], [0.060608, 0.997925, -0.018555], [0.008545, 0.017944, 0.999756]]",0.998047,"[7953, 7933, 7876, 8048]"
34.524181,"[-0.027344, 0.078125, -1.023438]","[0.000048, -0.000028, -0.000018]","[0.000000, -0.009998, 0.082397]","[0.000793, -0.000461, -0.000290]","[0.006592, -0.019043, -0.064941]","[-0.009399, 0.003632, -0.032471, 0.999420]","[-0.000610, 0.000580, -0.024261, 0.999695]","[-0.120361, -0.067871, -0.016602]","[[0.997803, -0.065063, -0.006592], [0.064819, 0.997681, -0.019043], [0.007812, 0.018555, 0.999756]]",0.997803,"[7954, 7904, 7890, 8036]"
34.557365,"[-0.019531, 0.078125, -1.019531]","[0.000088, -0.000051, -0.000032]","[-0.029999, 0.000000, 0.109287]","[0.001272, -0.000739, -0.000465]","[0.005615, -0.019043, -0.066895]","[-0.009430, 0.003174, -0.033508, 0.999390]","[-0.001068, -0.000366, -0.024261, 0.999695]","[-0.035400, 0.046387, -0.086914]","[[0.997681, -0.067078, -0.005676], [0.066956, 0.997559, -0.019104], [0.006897, 0.018616, 0.999756]]",0.997681,"[7967, 7917, 7882, 8032]"
34.592525,"[-0.019531, 0.078125, -1.019531]","[0.000150, -0.000087, -0.000055]","[0.009998, -0.009998, 0.114058]","[0.001930, -0.001119, -0.000704]","[0.004883, -0.018555, -0.069336]","[-0.009247, 0.002808, -0.034698, 0.999359]","[-0.000641, 0.001556, -0.024261, 0.999695]","[-0.033936, -0.234375, -0.047119]","[[0.997559, -0.069458, -0.004944], [0.069336, 0.997437, -0.018738], [0.006165, 0.018250, 0.999817]]",0.997559,"[7931, 7935, 7854, 8059]"
34.658924,"[-0.027344, 0.078125, -1.015625]","[0.000301, -0.000175, -0.000110]","[0.000000, -0.009998, 0.088079]","[0.003327, -0.001926, -0.001212]","[0.004395, -0.018311, -0.073730]","[-0.009033, 0.002563, -0.036865, 0.999268]","[-0.000488, 0.000458, -0.024261, 0.999695]","[0.004883, 0.290527, 0.009277]","[[0.997192, -0.073792, -0.004456], [0.073669, 0.997070, -0.018311], [0.005676, 0.017822, 0.999756]]",0.997192,"[7938, 7926, 7820, 8020]"
