t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
56.437111,"[0.007812, 0.058594, -1.187500]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.009998, 0.002760]","[-0.000001, 0.000002, -0.000002]","[0.010742, -0.019775, -0.047607]","[-0.009796, 0.005615, -0.023804, 0.999664]","[0.000336, 0.000732, -0.023285, 0.999725]","[-0.107422, -0.094727, -0.112305]","[[0.998840, -0.047729, -0.010742], [0.047485, 0.998718, -0.019897], [0.011597, 0.019287, 0.999756]]",0.99884,"[7985, 7856, 7826, 7999]"
56.546494,"[0.007812, 0.058594, -1.191406]","[-0.000003, 0.000009, -0.000006]","[0.000000, 0.009998, -0.019119]","[-0.000119, 0.000305, -0.000215]","[0.001709, -0.018555, -0.052490]","[-0.009338, 0.001160, -0.026215, 0.999603]","[0.000092, 0.000122, -0.023285, 0.999725]","[0.173828, -0.113770, -0.008057]","[[0.998535, -0.052490, -0.001770], [0.052368, 0.998413, -0.018738], [0.002747, 0.018616, 0.999756]]",0.998535,"[7982, 7886, 7757, 7933]"
56.548439,"[0.007812, 0.058594, -1.191406]","[-0.000003, 0.000009, -0.000006]","[0.009998, 0.009998, -0.019119]","[-0.000119, 0.000305, -0.000215]","[0.001709, -0.018555, -0.052490]","[-0.009338, 0.001160, -0.026215, 0.999603]","[0.000092, 0.000732, -0.023285, 0.999725]","[0.173828, -0.113770, -0.008057]","[[0.998535, -0.052490, -0.001770], [0.052368, 0.998413, -0.018738], [0.002747, 0.018616, 0.999756]]",0.998535,"[7947, 7895, 7787, 7946]"
56.560158,"[0.007812, 0.066406, -1.187500]","[-0.000006, 0.000016, -0.000012]","[0.000000, 0.009998, 0.007408]","[-0.000197, 0.000507, -0.000357]","[0.001953, -0.019287, -0.053223]","[-0.009613, 0.001251, -0.026581, 0.999603]","[-0.000366, 0.000092, -0.023285, 0.999725]","[0.171143, -0.132324, -0.096191]","[[0.998596, -0.053223, -0.001953], [0.053101, 0.998413, -0.019348], [0.002930, 0.019104, 0.999817]]",0.998596,"[7974, 7902, 7799, 7972]"
56.630466,"[0.007812, 0.066406, -1.187500]","[-0.000029, 0.000076, -0.000053]","[0.009998, 0.019999, 0.015715]","[-0.000648, 0.001675, -0.001178]","[0.000000, -0.019287, -0.057373]","[-0.009644, 0.000214, -0.028687, 0.999542]","[-0.000610, 0.000702, -0.023285, 0.999725]","[0.078125, 0.264893, -0.021729]","[[0.998352, -0.057434, 0.000183], [0.057312, 0.998169, -0.019348], [0.000916, 0.019226, 0.999756]]",0.998352,"[7993, 7928, 7823, 7994]"
56.706646,"[0.019531, 0.066406, -1.187500]","[-0.000126, 0.000326, -0.000229]","[0.019999, 0.009998, -0.026094]","[-0.002000, 0.005201, -0.003646]","[-0.002197, -0.021484, -0.063477]","[-0.010803, -0.000824, -0.031769, 0.999420]","[-0.000397, 0.001923, -0.023285, 0.999725]","[-0.142578, 0.311523, -0.058594]","[[0.997864, -0.063538, 0.002319], [0.063538, 0.997681, -0.021606], [-0.000977, 0.021606, 0.999695]]",0.997864,"[7961, 7904, 7783, 7982]"
56.708595,"[0.019531, 0.066406, -1.183594]","[-0.000126, 0.000326, -0.000229]","[0.019999, 0.019999, 0.004181]","[-0.002000, 0.005201, -0.003646]","[-0.001953, -0.022217, -0.063721]","[-0.011139, -0.000732, -0.031860, 0.999420]","[-0.000885, 0.001923, -0.023285, 0.999725]","[-0.279297, 0.048828, -0.088379]","[[0.997925, -0.063721, 0.002136], [0.063721, 0.997681, -0.022278], [-0.000793, 0.022278, 0.999695]]",0.997925,"[7946, 7912, 7792, 7991]"
56.858994,"[0.019531, 0.066406, -1.187500]","[-0.000882, 0.002311, -0.001615]","[0.029999, 0.009998, -0.070644]","[-0.008715, 0.023016, -0.016021]","[-0.001709, -0.022949, -0.074219]","[-0.011505, -0.000488, -0.037140, 0.999237]","[-0.000305, 0.002655, -0.023285, 0.999695]","[-0.400146, 0.218018, -0.009033]","[[0.997192, -0.074280, 0.001831], [0.074280, 0.996948, -0.023010], [-0.000122, 0.023010, 0.999695]]",0.997192,"[7927, 7916, 7775, 7985]"
56.860943,"[0.019531, 0.066406, -1.179688]","[-0.000882, 0.002311, -0.001615]","[0.019999, 0.029999, -0.072039]","[-0.008715, 0.023016, -0.016021]","[-0.001953, -0.022705, -0.074219]","[-0.011414, -0.000671, -0.037140, 0.999237]","[-0.001251, 0.002167, -0.023285, 0.999695]","[0.141357, -0.224609, -0.048340]","[[0.997192, -0.074280, 0.002136], [0.074280, 0.996948, -0.022827], [-0.000549, 0.022827, 0.999695]]",0.997192,"[7917, 7907, 7773, 8007]"
56.862896,"[0.019531, 0.066406, -1.179688]","[-0.000882, 0.002311, -0.001615]","[0.059999, 0.000000, -0.072039]","[-0.008715, 0.023016, -0.016021]","[-0.001953, -0.022705, -0.074219]","[-0.011414, -0.000671, -0.037140, 0.999237]","[0.000122, 0.004150, -0.023285, 0.999695]","[0.141357, -0.224609, -0.048340]","[[0.997192, -0.074280, 0.002136], [0.074280, 0.996948, -0.022827], [-0.000549, 0.022827, 0.999695]]",0.997192,"[7947, 7909, 7765, 8021]"
