t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
51.383224,"[-0.007812, 0.117188, -0.992188]","[-0.000000, 0.000000, -0.000000]","[-0.009998, -0.009998, -0.059031]","[-0.000001, 0.000002, -0.000001]","[0.011230, -0.027100, -0.047363]","[-0.013458, 0.005981, -0.023621, 0.999634]","[-0.000366, 0.000336, -0.022797, 0.999725]","[0.073242, -0.301514, -0.018799]","[[0.998840, -0.047424, -0.011292], [0.047058, 0.998596, -0.027222], [0.012512, 0.026611, 0.999634]]",0.99884,"[7840, 7766, 7753, 7944]"
51.46526,"[-0.007812, 0.117188, -0.992188]","[-0.000002, 0.000003, -0.000001]","[-0.009998, 0.000000, -0.020689]","[-0.000094, 0.000142, -0.000053]","[0.005859, -0.022461, -0.050781]","[-0.011169, 0.003265, -0.025360, 0.999634]","[-0.000732, 0.000214, -0.022797, 0.999725]","[0.098145, 0.068604, -0.098145]","[[0.998779, -0.050842, -0.005920], [0.050598, 0.998535, -0.022522], [0.007019, 0.022156, 0.999817]]",0.998779,"[7877, 7821, 7758, 7854]"
51.467209,"[-0.007812, 0.117188, -0.988281]","[-0.000002, 0.000003, -0.000001]","[0.000000, 0.000000, -0.001431]","[-0.000094, 0.000142, -0.000053]","[0.006348, -0.022705, -0.050781]","[-0.011353, 0.003571, -0.025360, 0.999634]","[-0.000732, 0.000702, -0.022797, 0.999725]","[0.016846, -0.123779, -0.012939]","[[0.998779, -0.050842, -0.006531], [0.050598, 0.998535, -0.022888], [0.007629, 0.022522, 0.999817]]",0.998779,"[7882, 7824, 7758, 7884]"
51.566822,"[0.000000, 0.117188, -0.984375]","[-0.000043, 0.000065, -0.000024]","[0.009998, 0.000000, 0.045630]","[-0.000960, 0.001453, -0.000544]","[0.004395, -0.020508, -0.055420]","[-0.010162, 0.002533, -0.027710, 0.999542]","[-0.000763, 0.001678, -0.022797, 0.999725]","[0.038574, -0.145996, -0.031250]","[[0.998352, -0.055481, -0.004456], [0.055359, 0.998169, -0.020508], [0.005554, 0.020142, 0.999695]]",0.998352,"[7885, 7851, 7797, 7925]"
51.635181,"[0.000000, 0.117188, -0.976562]","[-0.000136, 0.000206, -0.000077]","[-0.009998, 0.009998, 0.093470]","[-0.002366, 0.003586, -0.001340]","[0.003418, -0.019775, -0.058350]","[-0.009918, 0.002075, -0.029205, 0.999512]","[-0.001099, 0.000580, -0.022797, 0.999725]","[-0.013672, -0.149902, -0.030029]","[[0.998230, -0.058472, -0.003540], [0.058350, 0.998047, -0.019958], [0.004639, 0.019714, 0.999695]]",0.99823,"[7921, 7882, 7839, 7960]"
51.769955,"[0.000000, 0.117188, -0.968750]","[-0.000913, 0.001387, -0.000517]","[0.009998, 0.000000, 0.091093]","[-0.010306, 0.015673, -0.005838]","[0.001953, -0.018066, -0.063721]","[-0.009033, 0.001373, -0.031921, 0.999420]","[-0.000519, 0.001556, -0.022797, 0.999725]","[0.077881, 0.046387, -0.005127]","[[0.997803, -0.063904, -0.002136], [0.063782, 0.997681, -0.018188], [0.003235, 0.017944, 0.999695]]",0.997803,"[7936, 7942, 7850, 8013]"
51.771896,"[0.000000, 0.117188, -0.968750]","[-0.000913, 0.001387, -0.000517]","[0.019999, 0.000000, 0.109829]","[-0.010306, 0.015673, -0.005838]","[0.001709, -0.018066, -0.063965]","[-0.009003, 0.001251, -0.031952, 0.999420]","[-0.000519, 0.002045, -0.022797, 0.999725]","[0.037109, -0.094482, -0.005127]","[[0.997803, -0.063965, -0.001892], [0.063843, 0.997681, -0.018127], [0.002991, 0.017883, 0.999695]]",0.997803,"[7961, 7927, 7880, 8017]"
51.914482,"[0.000000, 0.117188, -0.953125]","[-0.003973, 0.006052, -0.002251]","[0.029999, 0.000000, 0.136362]","[-0.031366, 0.047923, -0.017770]","[0.003662, -0.016846, -0.068604]","[-0.008331, 0.002136, -0.034332, 0.999359]","[-0.000061, 0.002899, -0.022797, 0.999725]","[0.011963, 0.207520, 0.003418]","[[0.997559, -0.068726, -0.003662], [0.068604, 0.997437, -0.016846], [0.004761, 0.016479, 0.999756]]",0.997559,"[7978, 7984, 7910, 8061]"
51.916428,"[0.007812, 0.128906, -0.945312]","[-0.003973, 0.006052, -0.002251]","[0.049999, 0.019999, 0.180914]","[-0.031366, 0.047923, -0.017770]","[0.003174, -0.017090, -0.068848]","[-0.008453, 0.001923, -0.034424, 0.999359]","[-0.001801, 0.004333, -0.022797, 0.999725]","[0.039062, -0.173096, -0.049805]","[[0.997559, -0.068909, -0.003235], [0.068787, 0.997437, -0.017090], [0.004333, 0.016724, 0.999756]]",0.997559,"[7988, 7991, 7913, 8071]"
51.935963,"[0.000000, 0.128906, -0.941406]","[-0.004622, 0.007044, -0.002618]","[0.039999, 0.019999, 0.185024]","[-0.035114, 0.053682, -0.019893]","[0.003418, -0.016602, -0.069580]","[-0.008240, 0.002014, -0.034760, 0.999359]","[-0.001770, 0.003357, -0.022797, 0.999725]","[-0.083984, 0.093018, -0.055664]","[[0.997559, -0.069580, -0.003418], [0.069458, 0.997437, -0.016663], [0.004517, 0.016296, 0.999817]]",0.997559,"[8021, 7999, 7909, 8048]"
51.980885,"[0.007812, 0.128906, -0.933594]","[-0.006152, 0.009385, -0.003485]","[0.049999, 0.019999, 0.205181]","[-0.043419, 0.066467, -0.024600]","[0.003906, -0.016846, -0.071045]","[-0.008362, 0.002319, -0.035522, 0.999329]","[-0.001556, 0.004700, -0.022797, 0.999725]","[-0.119141, 0.120850, -0.032227]","[[0.997437, -0.071106, -0.004028], [0.070984, 0.997314, -0.016907], [0.005127, 0.016541, 0.999817]]",0.997437,"[8036, 8024, 7937, 8116]"
52.137135,"[0.019531, 0.128906, -0.906250]","[-0.016173, 0.024773, -0.009163]","[0.059999, 0.039999, 0.207111]","[-0.087846, 0.135253, -0.049782]","[0.006592, -0.017090, -0.075195]","[-0.008392, 0.003693, -0.037537, 0.999268]","[-0.001129, 0.006805, -0.022797, 0.999695]","[-0.194824, 0.157471, 0.050049]","[[0.997192, -0.075195, -0.006714], [0.074951, 0.997070, -0.017090], [0.007935, 0.016479, 0.999878]]",0.997192,"[8071, 8060, 8012, 8162]"
52.236736,"[0.027344, 0.148438, -0.890625]","[-0.026491, 0.040694, -0.015011]","[0.070000, 0.049999, 0.220127]","[-0.124621, 0.192661, -0.070635]","[0.008789, -0.016113, -0.076660]","[-0.007904, 0.004730, -0.038300, 0.999237]","[-0.001526, 0.008728, -0.022797, 0.999695]","[0.121582, -0.089111, -0.099365]","[[0.997070, -0.076721, -0.008850], [0.076477, 0.996948, -0.016174], [0.009949, 0.015442, 0.999878]]",0.99707,"[8145, 8119, 8030, 8217]"
52.377365,"[0.027344, 0.148438, -0.875000]","[-0.047632, 0.073487, -0.026995]","[0.070000, 0.039999, 0.180452]","[-0.186476, 0.290163, -0.105726]","[0.014893, -0.016113, -0.078125]","[-0.007843, 0.007782, -0.039062, 0.999176]","[0.001801, 0.011017, -0.022827, 0.999664]","[0.059814, 0.030762, -0.072021]","[[0.996826, -0.078186, -0.014893], [0.077942, 0.996765, -0.016296], [0.016113, 0.015076, 0.999756]]",0.996826,"[8189, 8139, 8082, 8246]"
52.379318,"[0.027344, 0.148438, -0.878906]","[-0.051368, 0.079304, -0.029114]","[0.059999, 0.049999, 0.163996]","[-0.196158, 0.305536, -0.111220]","[0.014893, -0.016357, -0.078125]","[-0.007843, 0.007843, -0.039032, 0.999176]","[0.001343, 0.010529, -0.022827, 0.999664]","[-0.013672, 0.070312, 0.067627]","[[0.996826, -0.078186, -0.015015], [0.077820, 0.996826, -0.016357], [0.016235, 0.015015, 0.999695]]",0.996826,"[8163, 8132, 8079, 8274]"
52.432056,"[0.039062, 0.148438, -0.871094]","[-0.059416, 0.091853, -0.033677]","[0.070000, 0.059999, 0.123579]","[-0.216052, 0.337222, -0.122513]","[0.016846, -0.015137, -0.078125]","[-0.007202, 0.008820, -0.038971, 0.999176]","[0.002380, 0.012604, -0.022827, 0.999634]","[0.064209, 0.023926, 0.069092]","[[0.996765, -0.078064, -0.017029], [0.077698, 0.996826, -0.015137], [0.018127, 0.013672, 0.999695]]",0.996765,"[8173, 8127, 8090, 8236]"
52.437908,"[0.039062, 0.156250, -0.871094]","[-0.063735, 0.098598, -0.036126]","[0.059999, 0.049999, 0.121336]","[-0.226242, 0.353506, -0.128298]","[0.017090, -0.014893, -0.078125]","[-0.007111, 0.008942, -0.038971, 0.999176]","[0.002502, 0.012360, -0.022827, 0.999634]","[0.103027, -0.000977, 0.031494]","[[0.996765, -0.078064, -0.017273], [0.077698, 0.996826, -0.014954], [0.018372, 0.013489, 0.999695]]",0.996765,"[8177, 8137, 8081, 8260]"
52.471111,"[0.039062, 0.156250, -0.867188]","[-0.068256, 0.105665, -0.038690]","[0.049999, 0.059999, 0.127691]","[-0.236580, 0.370064, -0.134167]","[0.018066, -0.013916, -0.077637]","[-0.006592, 0.009308, -0.038818, 0.999176]","[0.002991, 0.012634, -0.022858, 0.999634]","[-0.049561, -0.014648, -0.043945]","[[0.996765, -0.077759, -0.018066], [0.077393, 0.996826, -0.013916], [0.019043, 0.012451, 0.999695]]",0.996765,"[8185, 8167, 8091, 8235]"
52.504314,"[0.039062, 0.156250, -0.867188]","[-0.077906, 0.120777, -0.044163]","[0.080000, 0.070000, 0.078106]","[-0.257634, 0.403910, -0.146125]","[0.019287, -0.012695, -0.077148]","[-0.006042, 0.009949, -0.038605, 0.999176]","[0.003662, 0.014954, -0.022858, 0.999603]","[0.111572, 0.012207, 0.035645]","[[0.996765, -0.077271, -0.019409], [0.077026, 0.996887, -0.012878], [0.020264, 0.011292, 0.999634]]",0.996765,"[8171, 8149, 8093, 8233]"
52.537518,"[0.046875, 0.156250, -0.867188]","[-0.088388, 0.137230, -0.050109]","[0.049999, 0.059999, 0.069376]","[-0.279115, 0.438623, -0.158328]","[0.020752, -0.012451, -0.076904]","[-0.005829, 0.010651, -0.038452, 0.999176]","[0.005371, 0.014893, -0.022888, 0.999603]","[-0.058594, -0.069336, -0.043945]","[[0.996765, -0.077026, -0.020813], [0.076660, 0.996887, -0.012512], [0.021667, 0.010803, 0.999634]]",0.996765,"[8186, 8126, 8087, 8230]"
52.570724,"[0.046875, 0.167969, -0.867188]","[-0.093948, 0.145972, -0.053262]","[0.059999, 0.080000, 0.025726]","[-0.289985, 0.456262, -0.164505]","[0.021973, -0.010254, -0.076904]","[-0.004761, 0.011261, -0.038422, 0.999176]","[0.004974, 0.016083, -0.022888, 0.999573]","[0.174805, 0.074951, 0.052246]","[[0.996704, -0.076904, -0.022156], [0.076660, 0.996948, -0.010437], [0.022766, 0.008606, 0.999634]]",0.996704,"[8180, 8140, 8084, 8235]"
52.605877,"[0.046875, 0.167969, -0.867188]","[-0.105700, 0.164487, -0.059930]","[0.039999, 0.070000, 0.009642]","[-0.311893, 0.491971, -0.176957]","[0.023682, -0.009521, -0.076660]","[-0.004272, 0.012054, -0.038361, 0.999176]","[0.006683, 0.016144, -0.022919, 0.999573]","[0.174316, -0.005127, -0.003418]","[[0.996704, -0.076782, -0.023743], [0.076538, 0.996948, -0.009521], [0.024353, 0.007568, 0.999634]]",0.996704,"[8155, 8156, 8088, 8237]"
