t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
55.463409,"[-0.039062, 0.097656, -1.164062]","[0.000000, -0.000000, -0.000000]","[-0.019999, 0.000000, 0.068756]","[0.000000, -0.000001, -0.000001]","[0.007568, -0.020752, -0.054688]","[-0.010284, 0.004089, -0.027374, 0.999573]","[0.000000, 0.000214, -0.025238, 0.999664]","[-0.020020, -0.106934, -0.089844]","[[0.998474, -0.054871, -0.007568], [0.054626, 0.998291, -0.020813], [0.008667, 0.020325, 0.999756]]",0.998474,"[8057, 8020, 7950, 8009]"
55.469276,"[-0.039062, 0.097656, -1.164062]","[0.000000, -0.000000, -0.000000]","[-0.009998, -0.009998, 0.070522]","[0.000000, -0.000001, -0.000001]","[0.006836, -0.020752, -0.055176]","[-0.010315, 0.003723, -0.027588, 0.999542]","[0.000336, 0.000732, -0.025238, 0.999664]","[0.004639, -0.209717, -0.179932]","[[0.998352, -0.055298, -0.006836], [0.055054, 0.998169, -0.020874], [0.007935, 0.020386, 0.999634]]",0.998352,"[8067, 8019, 7936, 8042]"
55.471222,"[-0.039062, 0.089844, -1.167969]","[0.000000, -0.000000, -0.000000]","[-0.019999, -0.009998, 0.043560]","[0.000000, -0.000001, -0.000001]","[0.006592, -0.020752, -0.055176]","[-0.010254, 0.003662, -0.027618, 0.999542]","[0.000702, 0.000244, -0.025238, 0.999664]","[0.035889, -0.027588, -0.045166]","[[0.998352, -0.055359, -0.006714], [0.055115, 0.998169, -0.020752], [0.007812, 0.020264, 0.999634]]",0.998352,"[8091, 8019, 7934, 8004]"
55.475136,"[-0.039062, 0.089844, -1.167969]","[0.000000, -0.000000, -0.000000]","[0.000000, 0.000000, 0.047997]","[0.000000, -0.000001, -0.000001]","[0.006348, -0.020508, -0.055420]","[-0.010162, 0.003510, -0.027710, 0.999542]","[0.000305, 0.001221, -0.025238, 0.999664]","[0.060547, -0.184082, -0.120361]","[[0.998352, -0.055542, -0.006409], [0.055298, 0.998169, -0.020569], [0.007507, 0.020081, 0.999695]]",0.998352,"[8063, 8001, 7920, 8050]"
55.619663,"[-0.039062, 0.089844, -1.164062]","[0.000001, -0.000008, -0.000005]","[-0.009998, -0.009998, 0.044943]","[0.000017, -0.000190, -0.000102]","[-0.001953, -0.016846, -0.066162]","[-0.008484, -0.000732, -0.033112, 0.999420]","[0.000732, -0.000092, -0.025238, 0.999664]","[-0.024170, 0.006592, -0.134521]","[[0.997803, -0.066223, 0.002014], [0.066223, 0.997681, -0.016968], [-0.000916, 0.016968, 0.999817]]",0.997803,"[7982, 7987, 7856, 7991]"
55.625526,"[-0.039062, 0.089844, -1.167969]","[0.000001, -0.000008, -0.000005]","[0.009998, 0.000000, 0.031332]","[0.000017, -0.000190, -0.000102]","[-0.002441, -0.016602, -0.066650]","[-0.008392, -0.000977, -0.033386, 0.999390]","[0.000336, 0.000854, -0.025238, 0.999664]","[-0.170898, 0.049316, -0.133057]","[[0.997681, -0.066772, 0.002502], [0.066772, 0.997559, -0.016724], [-0.001404, 0.016846, 0.999756]]",0.997681,"[7984, 7991, 7841, 7956]"
55.643112,"[-0.039062, 0.089844, -1.167969]","[0.000001, -0.000013, -0.000007]","[0.019999, 0.000000, 0.053957]","[0.000024, -0.000266, -0.000143]","[-0.002930, -0.016602, -0.067627]","[-0.008392, -0.001190, -0.033844, 0.999390]","[0.000305, 0.001343, -0.025238, 0.999664]","[-0.039551, 0.005615, -0.112305]","[[0.997681, -0.067688, 0.002930], [0.067688, 0.997559, -0.016724], [-0.001831, 0.016846, 0.999817]]",0.997681,"[7987, 7997, 7833, 7976]"
55.770058,"[-0.039062, 0.089844, -1.164062]","[0.000008, -0.000091, -0.000049]","[0.029999, 0.000000, 0.102005]","[0.000113, -0.001250, -0.000670]","[-0.003418, -0.016113, -0.076416]","[-0.008148, -0.001434, -0.038269, 0.999237]","[0.000305, 0.001831, -0.025238, 0.999664]","[-0.084473, 0.084961, -0.112305]","[[0.997070, -0.076538, 0.003479], [0.076538, 0.996948, -0.016235], [-0.002258, 0.016357, 0.999817]]",0.99707,"[7996, 7991, 7837, 8027]"
55.775909,"[-0.039062, 0.089844, -1.164062]","[0.000011, -0.000118, -0.000064]","[0.039999, 0.000000, 0.095285]","[0.000139, -0.001532, -0.000821]","[-0.003906, -0.015869, -0.076660]","[-0.008057, -0.001740, -0.038361, 0.999237]","[0.000305, 0.002319, -0.025238, 0.999664]","[-0.133545, 0.145020, -0.078125]","[[0.997070, -0.076721, 0.004089], [0.076721, 0.996948, -0.015991], [-0.002869, 0.016235, 0.999878]]",0.99707,"[8005, 8002, 7853, 8025]"
55.854034,"[-0.039062, 0.089844, -1.164062]","[0.000027, -0.000295, -0.000158]","[0.039999, 0.009998, 0.035534]","[0.000287, -0.003127, -0.001671]","[-0.002930, -0.015625, -0.082031]","[-0.007843, -0.001251, -0.041107, 0.999115]","[-0.000275, 0.002289, -0.025238, 0.999664]","[0.064697, 0.011475, -0.013184]","[[0.996582, -0.082153, 0.003113], [0.082153, 0.996460, -0.015625], [-0.001892, 0.015747, 0.999817]]",0.996582,"[7968, 7965, 7827, 8029]"
