t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
43.625324,"[-0.007812, 0.078125, -1.218750]","[-0.000000, 0.000000, -0.000000]","[0.000000, 0.019999, -0.018707]","[-0.000002, 0.000001, -0.000001]","[0.008301, -0.029541, -0.054199]","[-0.014679, 0.004669, -0.027069, 0.999512]","[-0.000671, -0.001221, -0.026703, 0.999634]","[0.113037, -0.352783, -0.076416]","[[0.998474, -0.054321, -0.008484], [0.053955, 0.998047, -0.029663], [0.010071, 0.029053, 0.999512]]",0.998474,"[7947, 7847, 7837, 7971]"
43.648762,"[-0.007812, 0.078125, -1.218750]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.009998, -0.027136]","[-0.000011, 0.000005, -0.000005]","[0.005371, -0.027100, -0.054932]","[-0.013550, 0.003082, -0.027496, 0.999512]","[-0.000702, -0.000732, -0.026703, 0.999634]","[0.223877, -0.524658, -0.039795]","[[0.998413, -0.055115, -0.005371], [0.054871, 0.998047, -0.027283], [0.006836, 0.026917, 0.999512]]",0.998413,"[7955, 7902, 7852, 7929]"
43.681965,"[-0.007812, 0.078125, -1.218750]","[-0.000001, 0.000000, -0.000000]","[0.009998, 0.029999, -0.043486]","[-0.000036, 0.000016, -0.000015]","[0.000977, -0.023682, -0.056396]","[-0.011902, 0.000916, -0.028168, 0.999512]","[-0.001556, -0.000641, -0.026703, 0.999634]","[0.122803, 0.106201, -0.006104]","[[0.998291, -0.056396, -0.001160], [0.056274, 0.998047, -0.023865], [0.002380, 0.023743, 0.999573]]",0.998291,"[7979, 7970, 7789, 7833]"
43.715168,"[-0.007812, 0.078125, -1.218750]","[-0.000004, 0.000002, -0.000002]","[0.009998, 0.009998, -0.036791]","[-0.000174, 0.000080, -0.000073]","[-0.000244, -0.025391, -0.057861]","[-0.012726, 0.000244, -0.028931, 0.999512]","[-0.000580, -0.000610, -0.026703, 0.999634]","[-0.230957, 0.004639, -0.096680]","[[0.998352, -0.057922, 0.000305], [0.057800, 0.998047, -0.025513], [0.001160, 0.025391, 0.999695]]",0.998352,"[7955, 7874, 7781, 7898]"
43.750324,"[0.000000, 0.078125, -1.214844]","[-0.000017, 0.000008, -0.000007]","[0.009998, 0.029999, -0.013859]","[-0.000528, 0.000245, -0.000224]","[-0.002441, -0.024170, -0.059326]","[-0.012115, -0.000977, -0.029724, 0.999481]","[-0.001556, -0.000275, -0.026703, 0.999634]","[0.033203, 0.225830, 0.011475]","[[0.998169, -0.059448, 0.002625], [0.059448, 0.997925, -0.024231], [-0.001282, 0.024231, 0.999634]]",0.998169,"[7977, 7876, 7781, 7930]"
43.783531,"[0.000000, 0.078125, -1.214844]","[-0.000050, 0.000023, -0.000021]","[0.009998, 0.019999, 0.002800]","[-0.001241, 0.000577, -0.000526]","[-0.004395, -0.023193, -0.061523]","[-0.011688, -0.001953, -0.030762, 0.999451]","[-0.001068, -0.000244, -0.026703, 0.999634]","[-0.140869, 0.070068, -0.049316]","[[0.998047, -0.061523, 0.004578], [0.061523, 0.997803, -0.023315], [-0.003235, 0.023438, 0.999695]]",0.998047,"[7956, 7902, 7784, 7940]"
43.81673,"[0.000000, 0.078125, -1.214844]","[-0.000079, 0.000037, -0.000034]","[0.019999, 0.019999, -0.002352]","[-0.001783, 0.000829, -0.000755]","[-0.007812, -0.021240, -0.062988]","[-0.010712, -0.003601, -0.031525, 0.999420]","[-0.001099, 0.000336, -0.026703, 0.999634]","[0.438721, -0.814209, -0.073730]","[[0.997864, -0.062988, 0.007874], [0.063110, 0.997681, -0.021240], [-0.006531, 0.021606, 0.999634]]",0.997864,"[7956, 7894, 7768, 7928]"
43.849934,"[0.000000, 0.089844, -1.210938]","[-0.000177, 0.000082, -0.000075]","[0.029999, 0.039999, -0.006704]","[-0.003343, 0.001558, -0.001418]","[-0.007324, -0.019775, -0.064453]","[-0.010010, -0.003448, -0.032318, 0.999420]","[-0.002808, 0.000763, -0.026703, 0.999634]","[-0.425781, 0.555176, -0.089111]","[[0.997864, -0.064575, 0.007507], [0.064697, 0.997681, -0.019836], [-0.006287, 0.020203, 0.999756]]",0.997864,"[7946, 7992, 7815, 7883]"
43.883141,"[0.000000, 0.089844, -1.210938]","[-0.000351, 0.000163, -0.000149]","[0.029999, 0.029999, -0.036261]","[-0.005697, 0.002662, -0.002418]","[-0.010010, -0.020264, -0.066162]","[-0.010345, -0.004700, -0.033203, 0.999390]","[-0.002319, 0.000885, -0.026703, 0.999634]","[-0.087891, -0.003662, -0.083984]","[[0.997742, -0.066345, 0.010071], [0.066467, 0.997559, -0.020386], [-0.008728, 0.020996, 0.999756]]",0.997742,"[7974, 7965, 7796, 7959]"
43.918297,"[0.000000, 0.089844, -1.214844]","[-0.000635, 0.000296, -0.000269]","[0.039999, 0.049999, -0.034027]","[-0.009031, 0.004231, -0.003838]","[-0.009766, -0.020752, -0.067871]","[-0.010559, -0.004639, -0.034058, 0.999359]","[-0.003326, 0.001495, -0.026703, 0.999634]","[-0.344238, 0.348877, -0.072266]","[[0.997620, -0.068054, 0.009949], [0.068176, 0.997437, -0.020813], [-0.008606, 0.021423, 0.999756]]",0.99762,"[7953, 7933, 7773, 7931]"
43.951496,"[0.000000, 0.089844, -1.214844]","[-0.000831, 0.000388, -0.000353]","[0.029999, 0.039999, 0.032202]","[-0.011125, 0.005219, -0.004730]","[-0.009766, -0.021973, -0.070312]","[-0.011139, -0.004517, -0.035217, 0.999298]","[-0.002808, 0.000763, -0.026703, 0.999634]","[0.016357, -0.006348, -0.067383]","[[0.997437, -0.070374, 0.009766], [0.070496, 0.997192, -0.021973], [-0.008301, 0.022583, 0.999634]]",0.997437,"[7948, 7924, 7768, 7940]"
43.984699,"[0.000000, 0.089844, -1.218750]","[-0.001362, 0.000638, -0.000579]","[0.049999, 0.039999, 0.017593]","[-0.016286, 0.007660, -0.006931]","[-0.009277, -0.022217, -0.072021]","[-0.011322, -0.004242, -0.036102, 0.999268]","[-0.002960, 0.001862, -0.026703, 0.999634]","[0.133789, 0.090332, -0.072266]","[[0.997314, -0.072144, 0.009277], [0.072266, 0.997070, -0.022339], [-0.007690, 0.022949, 0.999634]]",0.997314,"[7977, 7915, 7782, 7966]"
44.017918,"[0.000000, 0.089844, -1.218750]","[-0.002123, 0.000996, -0.000902]","[0.059999, 0.049999, 0.041361]","[-0.022890, 0.010796, -0.009752]","[-0.008545, -0.022217, -0.074463]","[-0.011322, -0.003876, -0.037323, 0.999237]","[-0.003357, 0.002472, -0.026703, 0.999634]","[-0.192627, -0.071289, -0.129639]","[[0.997192, -0.074585, 0.008545], [0.074707, 0.996948, -0.022400], [-0.006958, 0.022888, 0.999695]]",0.997192,"[7956, 7953, 7819, 7950]"
