t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
36.242733,"[-0.046875, 0.007812, -1.167969]","[0.000000, 0.000000, -0.000000]","[-0.039999, -0.009998, -0.016636]","[0.000004, 0.000001, -0.000002]","[0.010010, -0.023926, -0.035400]","[-0.011902, 0.005310, -0.017639, 0.999756]","[-0.000336, -0.000732, -0.017181, 0.999847]","[0.069336, -0.088623, -0.173584]","[[0.999268, -0.035461, -0.010193], [0.035095, 0.999023, -0.024048], [0.010925, 0.023560, 0.999634]]",0.999268,"[7946, 7843, 7815, 7922]"
36.26226,"[-0.046875, 0.007812, -1.167969]","[0.000000, 0.000000, -0.000000]","[-0.029999, -0.009998, -0.063427]","[0.000018, 0.000005, -0.000010]","[0.009521, -0.022461, -0.035889]","[-0.011200, 0.004974, -0.017944, 0.999756]","[0.000000, -0.000336, -0.017181, 0.999847]","[0.004639, -0.036377, 0.073486]","[[0.999268, -0.036011, -0.009521], [0.035767, 0.999023, -0.022583], [0.010254, 0.022217, 0.999634]]",0.999268,"[7916, 7859, 7828, 7914]"
36.295464,"[-0.058594, 0.007812, -1.167969]","[0.000001, 0.000000, -0.000001]","[-0.059999, 0.000000, -0.036942]","[0.000056, 0.000015, -0.000032]","[0.005615, -0.021973, -0.037109]","[-0.010956, 0.003021, -0.018555, 0.999756]","[-0.000305, -0.002441, -0.017181, 0.999847]","[-0.035400, 0.010742, -0.118408]","[[0.999207, -0.037231, -0.005615], [0.036987, 0.999023, -0.022034], [0.006348, 0.021790, 0.999695]]",0.999207,"[7943, 7876, 7777, 7875]"
36.328663,"[-0.058594, 0.007812, -1.167969]","[0.000006, 0.000002, -0.000004]","[-0.019999, -0.009998, -0.052946]","[0.000271, 0.000071, -0.000153]","[0.003174, -0.021240, -0.038330]","[-0.010620, 0.001892, -0.019135, 0.999756]","[0.000122, -0.000580, -0.017181, 0.999847]","[0.113037, 0.047363, -0.059814]","[[0.999207, -0.038330, -0.003357], [0.038208, 0.999023, -0.021362], [0.004089, 0.021118, 0.999695]]",0.999207,"[7949, 7842, 7773, 7896]"
36.430225,"[-0.058594, 0.007812, -1.171875]","[0.000122, 0.000032, -0.000069]","[-0.009998, 0.000000, -0.055309]","[0.002721, 0.000712, -0.001540]","[-0.000244, -0.019775, -0.041992]","[-0.009918, 0.000031, -0.021027, 0.999725]","[-0.000214, -0.000244, -0.017181, 0.999847]","[-0.071289, 0.096924, 0.050049]","[[0.999084, -0.042114, 0.000366], [0.041992, 0.998901, -0.019897], [0.000366, 0.019775, 0.999756]]",0.999084,"[7897, 7853, 7798, 7879]"
36.564995,"[-0.058594, 0.007812, -1.171875]","[0.001249, 0.000328, -0.000708]","[0.000000, 0.000000, -0.045933]","[0.016483, 0.004349, -0.009360]","[-0.002930, -0.019287, -0.047119]","[-0.009735, -0.001312, -0.023651, 0.999664]","[-0.000366, 0.000214, -0.017181, 0.999847]","[0.017334, -0.058105, -0.050293]","[[0.998840, -0.047302, 0.003052], [0.047302, 0.998657, -0.019409], [-0.002197, 0.019531, 0.999756]]",0.99884,"[7944, 7872, 7788, 7935]"
36.596249,"[-0.058594, 0.007812, -1.171875]","[0.002032, 0.000535, -0.001153]","[0.000000, 0.009998, -0.046310]","[0.023914, 0.006324, -0.013593]","[-0.003418, -0.019043, -0.048340]","[-0.009613, -0.001556, -0.024170, 0.999634]","[-0.000854, 0.000092, -0.017181, 0.999847]","[0.109863, -0.107178, -0.018799]","[[0.998718, -0.048340, 0.003540], [0.048340, 0.998535, -0.019165], [-0.002686, 0.019287, 0.999695]]",0.998718,"[7939, 7862, 7789, 7948]"
36.633354,"[-0.058594, 0.007812, -1.171875]","[0.003143, 0.000829, -0.001785]","[0.009998, 0.009998, -0.068954]","[0.033310, 0.008831, -0.018953]","[-0.003906, -0.018555, -0.049316]","[-0.009308, -0.001740, -0.024750, 0.999634]","[-0.000854, 0.000580, -0.017181, 0.999847]","[0.075195, -0.096436, -0.020508]","[[0.998657, -0.049500, 0.003906], [0.049500, 0.998535, -0.018555], [-0.003052, 0.018677, 0.999756]]",0.998657,"[7946, 7900, 7807, 7930]"
36.732967,"[-0.058594, 0.007812, -1.171875]","[0.007899, 0.002095, -0.004495]","[0.029999, 0.009998, -0.034124]","[0.066541, 0.017761, -0.037968]","[-0.003906, -0.018555, -0.052002]","[-0.009338, -0.001801, -0.026062, 0.999603]","[-0.000488, 0.001068, -0.017181, 0.999847]","[0.075195, -0.049072, -0.010742]","[[0.998535, -0.052124, 0.004028], [0.052124, 0.998413, -0.018616], [-0.003174, 0.018738, 0.999756]]",0.998535,"[7982, 7914, 7828, 8003]"
36.764214,"[-0.058594, 0.007812, -1.171875]","[0.009280, 0.002464, -0.005284]","[0.019999, 0.019999, -0.061987]","[0.074994, 0.020046, -0.042817]","[-0.004639, -0.018555, -0.052979]","[-0.009369, -0.002167, -0.026550, 0.999603]","[-0.000854, 0.000336, -0.017181, 0.999847]","[0.172607, -0.048096, 0.006836]","[[0.998535, -0.053101, 0.004822], [0.053101, 0.998413, -0.018677], [-0.003845, 0.018799, 0.999817]]",0.998535,"[7978, 7915, 7790, 7977]"
36.79937,"[-0.046875, 0.007812, -1.167969]","[0.012569, 0.003344, -0.007162]","[0.039999, 0.019999, 0.007200]","[0.093798, 0.025147, -0.053620]","[-0.004883, -0.017334, -0.054199]","[-0.008820, -0.002258, -0.027130, 0.999573]","[-0.000854, 0.001678, -0.017181, 0.999847]","[0.074707, -0.006104, -0.056152]","[[0.998413, -0.054260, 0.004944], [0.054260, 0.998291, -0.017517], [-0.004089, 0.017761, 0.999756]]",0.998413,"[7995, 7997, 7863, 8005]"
36.832584,"[-0.046875, 0.007812, -1.164062]","[0.016642, 0.004438, -0.009492]","[0.019999, 0.029999, -0.005884]","[0.115176, 0.030976, -0.065927]","[-0.004395, -0.017578, -0.055176]","[-0.008881, -0.001984, -0.027649, 0.999573]","[-0.001221, 0.000214, -0.017181, 0.999847]","[-0.047852, 0.084229, 0.018799]","[[0.998413, -0.055298, 0.004456], [0.055298, 0.998291, -0.017700], [-0.003479, 0.017822, 0.999817]]",0.998413,"[8025, 7988, 7896, 8054]"
36.865776,"[-0.039062, 0.019531, -1.164062]","[0.019004, 0.005074, -0.010845]","[0.070000, 0.009998, -0.002296]","[0.126837, 0.034167, -0.072650]","[-0.004639, -0.018311, -0.056641]","[-0.009186, -0.002106, -0.028320, 0.999542]","[-0.001007, 0.002777, -0.017181, 0.999847]","[-0.050537, -0.124756, -0.080566]","[[0.998291, -0.056641, 0.004700], [0.056641, 0.998169, -0.018311], [-0.003723, 0.018433, 0.999756]]",0.998291,"[8044, 8004, 7900, 8088]"
36.898979,"[-0.039062, 0.019531, -1.164062]","[0.024444, 0.006542, -0.013963]","[0.049999, 0.029999, -0.019829]","[0.152094, 0.041108, -0.087240]","[-0.004639, -0.017578, -0.058105]","[-0.008942, -0.002167, -0.029053, 0.999512]","[-0.001831, 0.001526, -0.017181, 0.999847]","[0.059326, 0.112793, -0.007080]","[[0.998169, -0.058105, 0.004822], [0.058105, 0.998047, -0.017761], [-0.003845, 0.018005, 0.999695]]",0.998169,"[8066, 8030, 7891, 8052]"
36.934135,"[-0.039062, 0.019531, -1.167969]","[0.030919, 0.008295, -0.017680]","[0.049999, 0.019999, -0.036880]","[0.179887, 0.048791, -0.103334]","[-0.004639, -0.018311, -0.060059]","[-0.009216, -0.002045, -0.030029, 0.999481]","[-0.001221, 0.001190, -0.017181, 0.999847]","[0.073242, -0.152832, -0.104492]","[[0.998047, -0.060059, 0.004639], [0.060059, 0.997925, -0.018311], [-0.003540, 0.018555, 0.999695]]",0.998047,"[8071, 8039, 7924, 8114]"
36.967339,"[-0.039062, 0.019531, -1.167969]","[0.038529, 0.010363, -0.022055]","[0.070000, 0.029999, -0.052832]","[0.210148, 0.057208, -0.120902]","[-0.002686, -0.020020, -0.061523]","[-0.010071, -0.001129, -0.030762, 0.999481]","[-0.001587, 0.001434, -0.017181, 0.999847]","[-0.284668, 0.418945, 0.009277]","[[0.998108, -0.061523, 0.002869], [0.061523, 0.997925, -0.020081], [-0.001648, 0.020203, 0.999817]]",0.998108,"[8056, 7981, 7925, 8133]"
37.000542,"[-0.039062, 0.019531, -1.171875]","[0.042788, 0.011524, -0.024506]","[0.059999, 0.029999, -0.092705]","[0.226166, 0.061685, -0.130222]","[-0.003662, -0.018799, -0.062988]","[-0.009521, -0.001587, -0.031586, 0.999451]","[-0.001465, 0.000458, -0.017181, 0.999847]","[0.194580, -0.538086, -0.104492]","[[0.997925, -0.063171, 0.003723], [0.063171, 0.997803, -0.018982], [-0.002625, 0.019104, 0.999756]]",0.997925,"[8043, 8030, 7928, 8119]"
37.033745,"[-0.039062, 0.019531, -1.175781]","[0.052276, 0.014116, -0.029973]","[0.070000, 0.039999, -0.127636]","[0.259907, 0.071168, -0.149898]","[-0.003906, -0.019287, -0.064453]","[-0.009674, -0.001678, -0.032227, 0.999420]","[-0.001709, 0.000092, -0.017181, 0.999847]","[-0.206543, 0.384277, -0.017822]","[[0.997864, -0.064453, 0.003967], [0.064453, 0.997681, -0.019287], [-0.002747, 0.019409, 0.999756]]",0.997864,"[8054, 8070, 7938, 8095]"
37.066948,"[-0.027344, 0.019531, -1.175781]","[0.063121, 0.017092, -0.036234]","[0.089998, 0.039999, -0.150049]","[0.295765, 0.081323, -0.170876]","[-0.003418, -0.019531, -0.065674]","[-0.009888, -0.001495, -0.032837, 0.999420]","[-0.001343, 0.000946, -0.017181, 0.999847]","[0.050781, -0.224854, -0.075195]","[[0.997864, -0.065674, 0.003601], [0.065674, 0.997681, -0.019714], [-0.002380, 0.019836, 0.999817]]",0.997864,"[8057, 8031, 7920, 8157]"
37.135303,"[-0.027344, 0.027344, -1.179688]","[0.082113, 0.022332, -0.047222]","[0.109999, 0.049999, -0.174618]","[0.353123, 0.097737, -0.204583]","[-0.004395, -0.019287, -0.068604]","[-0.009796, -0.001862, -0.034332, 0.999359]","[-0.002075, 0.000183, -0.017181, 0.999847]","[0.145020, -0.131592, -0.074219]","[[0.997620, -0.068665, 0.004395], [0.068665, 0.997437, -0.019470], [-0.003052, 0.019714, 0.999756]]",0.99762,"[8102, 8088, 7933, 8182]"
37.16851,"[-0.019531, 0.027344, -1.183594]","[0.096690, 0.026376, -0.055676]","[0.089998, 0.039999, -0.183626]","[0.393411, 0.109399, -0.228375]","[-0.003418, -0.020508, -0.069824]","[-0.010376, -0.001434, -0.034882, 0.999329]","[-0.001312, -0.001343, -0.017212, 0.999847]","[-0.114990, 0.025635, -0.008789]","[[0.997498, -0.069763, 0.003540], [0.069763, 0.997314, -0.020691], [-0.002197, 0.020813, 0.999695]]",0.997498,"[8102, 8052, 7966, 8195]"
