t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
126.772995,"[-0.066406, 0.066406, -0.964844]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.000000, -0.197874]","[-0.000000, 0.000002, -0.000001]","[0.011475, -0.015869, -0.007812]","[-0.007996, 0.005859, -0.003845, 0.999939]","[0.000000, 0.000702, -0.003998, 0.999969]","[-0.127930, 0.204834, -0.108887]","[[0.999878, -0.007812, -0.011597], [0.007568, 0.999817, -0.016052], [0.011719, 0.015930, 0.999756]]",0.999878,"[7503, 7492, 7499, 7415]"
126.913635,"[-0.066406, 0.066406, -0.976562]","[-0.000000, 0.000003, -0.000002]","[0.000000, 0.000000, -0.303782]","[-0.000005, 0.000065, -0.000035]","[0.003174, -0.008545, -0.007812]","[-0.004333, 0.001648, -0.003906, 1.000000]","[0.000000, 0.000092, -0.003998, 0.999969]","[-0.122070, 0.092041, -0.152100]","[[1.000000, -0.007874, -0.003296], [0.007751, 1.000000, -0.008728], [0.003296, 0.008606, 1.000000]]",1.0,"[7686, 7672, 7615, 7626]"
126.915565,"[-0.066406, 0.066406, -0.976562]","[-0.000000, 0.000003, -0.000002]","[0.009998, 0.009998, -0.303782]","[-0.000005, 0.000065, -0.000035]","[0.003174, -0.008545, -0.007812]","[-0.004333, 0.001648, -0.003906, 1.000000]","[-0.000610, 0.000702, -0.003998, 0.999969]","[-0.122070, 0.092041, -0.152100]","[[1.000000, -0.007874, -0.003296], [0.007751, 1.000000, -0.008728], [0.003296, 0.008606, 1.000000]]",1.0,"[7668, 7657, 7624, 7614]"
126.933144,"[-0.066406, 0.066406, -0.953125]","[-0.000000, 0.000005, -0.000002]","[0.019999, 0.009998, -0.334497]","[-0.000007, 0.000089, -0.000048]","[0.004395, -0.006836, -0.008301]","[-0.003510, 0.002258, -0.004211, 1.000000]","[-0.000610, 0.001190, -0.003998, 0.999969]","[0.056885, 0.255371, 0.016846]","[[1.000000, -0.008484, -0.004517], [0.008362, 1.000000, -0.007080], [0.004517, 0.006958, 1.000000]]",1.0,"[7664, 7670, 7584, 7639]"
127.08744,"[-0.058594, 0.066406, -0.910156]","[-0.000004, 0.000048, -0.000026]","[0.049999, 0.009998, 0.278244]","[-0.000041, 0.000562, -0.000303]","[0.002930, -0.005615, -0.010986]","[-0.002869, 0.001556, -0.005524, 1.000000]","[-0.000610, 0.003143, -0.003998, 0.999969]","[0.044678, 0.246338, -0.054199]","[[1.000000, -0.011108, -0.003113], [0.010986, 1.000000, -0.005798], [0.003113, 0.005676, 1.000000]]",1.0,"[7851, 7846, 7860, 7930]"
127.210503,"[-0.058594, 0.066406, -0.878906]","[-0.000012, 0.000160, -0.000086]","[0.059999, 0.039999, 0.340652]","[-0.000105, 0.001447, -0.000780]","[0.002930, -0.005371, -0.017822]","[-0.002716, 0.001495, -0.008972, 0.999969]","[-0.002075, 0.003754, -0.003998, 0.999969]","[0.105957, -0.171631, -0.067871]","[[0.999878, -0.018005, -0.002930], [0.017883, 0.999878, -0.005493], [0.002930, 0.005371, 1.000000]]",0.999878,"[8027, 8032, 7978, 8090]"
127.212448,"[-0.046875, 0.066406, -0.859375]","[-0.000012, 0.000160, -0.000086]","[0.089998, 0.049999, 0.432941]","[-0.000105, 0.001447, -0.000780]","[0.003174, -0.005371, -0.018066]","[-0.002686, 0.001678, -0.009033, 0.999969]","[-0.002563, 0.005951, -0.003998, 0.999969]","[0.019775, 0.186768, -0.056152]","[[0.999878, -0.018127, -0.003296], [0.018005, 0.999878, -0.005432], [0.003296, 0.005310, 1.000000]]",0.999878,"[8027, 8028, 7963, 8100]"
127.360886,"[-0.046875, 0.078125, -0.816406]","[-0.000039, 0.000547, -0.000295]","[0.099998, 0.059999, 0.442936]","[-0.000269, 0.003767, -0.002033]","[0.008301, -0.008301, -0.029541]","[-0.004089, 0.004303, -0.014801, 0.999847]","[-0.003784, 0.006439, -0.003998, 0.999939]","[0.043213, 0.319824, -0.086670]","[[0.999390, -0.029663, -0.008484], [0.029541, 0.999390, -0.008362], [0.008606, 0.007996, 0.999817]]",0.99939,"[8086, 8140, 8068, 8220]"
127.362839,"[-0.039062, 0.089844, -0.816406]","[-0.000039, 0.000547, -0.000295]","[0.109999, 0.059999, 0.442936]","[-0.000269, 0.003767, -0.002033]","[0.008301, -0.008301, -0.029541]","[-0.004089, 0.004303, -0.014801, 0.999847]","[-0.004639, 0.007538, -0.003967, 0.999939]","[0.043213, 0.319824, -0.086670]","[[0.999390, -0.029663, -0.008484], [0.029541, 0.999390, -0.008362], [0.008606, 0.007996, 0.999817]]",0.99939,"[8098, 8147, 8066, 8201]"
127.370644,"[-0.027344, 0.089844, -0.796875]","[-0.000039, 0.000547, -0.000295]","[0.099998, 0.039999, 0.486982]","[-0.000269, 0.003767, -0.002033]","[0.008789, -0.008545, -0.030518]","[-0.004211, 0.004578, -0.015259, 0.999847]","[-0.003571, 0.007660, -0.003998, 0.999939]","[-0.083740, -0.044434, -0.092041]","[[0.999390, -0.030579, -0.008972], [0.030457, 0.999390, -0.008606], [0.009216, 0.008240, 0.999817]]",0.99939,"[8073, 8162, 8102, 8200]"
127.487839,"[-0.027344, 0.097656, -0.769531]","[-0.000082, 0.001147, -0.000619]","[0.119999, 0.059999, 0.501225]","[-0.000471, 0.006670, -0.003602]","[0.011963, -0.011475, -0.039795]","[-0.005707, 0.006134, -0.019867, 0.999756]","[-0.004913, 0.008881, -0.003967, 0.999939]","[-0.001953, 0.216553, -0.028564]","[[0.999084, -0.039856, -0.012024], [0.039612, 0.999084, -0.011658], [0.012390, 0.011169, 0.999756]]",0.999084,"[8141, 8229, 8151, 8314]"
127.505409,"[-0.019531, 0.097656, -0.753906]","[-0.000092, 0.001283, -0.000693]","[0.139999, 0.080000, 0.515921]","[-0.000512, 0.007269, -0.003926]","[0.011475, -0.011963, -0.041016]","[-0.005859, 0.005890, -0.020538, 0.999756]","[-0.005890, 0.010223, -0.003967, 0.999908]","[-0.142334, 0.136719, -0.065918]","[[0.999084, -0.041199, -0.011536], [0.040955, 0.999084, -0.011963], [0.011902, 0.011475, 0.999817]]",0.999084,"[8180, 8230, 8186, 8335]"
127.642143,"[-0.019531, 0.097656, -0.722656]","[-0.000185, 0.002614, -0.001412]","[0.119999, 0.059999, 0.422737]","[-0.000870, 0.012520, -0.006766]","[0.018066, -0.016357, -0.052002]","[-0.007965, 0.009277, -0.025970, 0.999603]","[-0.005035, 0.009735, -0.003967, 0.999908]","[0.052734, -0.020020, -0.185547]","[[0.998535, -0.052124, -0.018127], [0.051758, 0.998535, -0.016418], [0.018860, 0.015442, 0.999756]]",0.998535,"[8171, 8245, 8175, 8362]"
127.644089,"[0.000000, 0.109375, -0.722656]","[-0.000185, 0.002614, -0.001412]","[0.119999, 0.080000, 0.422737]","[-0.000870, 0.012520, -0.006766]","[0.018066, -0.016357, -0.052002]","[-0.007965, 0.009277, -0.025970, 0.999603]","[-0.006744, 0.010834, -0.003937, 0.999908]","[0.052734, -0.020020, -0.185547]","[[0.998535, -0.052124, -0.018127], [0.051758, 0.998535, -0.016418], [0.018860, 0.015442, 0.999756]]",0.998535,"[8190, 8265, 8177, 8357]"
127.675331,"[0.007812, 0.109375, -0.710938]","[-0.000221, 0.003139, -0.001695]","[0.150000, 0.089998, 0.318794]","[-0.000995, 0.014387, -0.007777]","[0.018066, -0.017822, -0.054199]","[-0.008698, 0.009308, -0.027008, 0.999542]","[-0.007233, 0.012909, -0.003906, 0.999878]","[-0.121582, 0.026611, 0.070068]","[[0.998291, -0.054199, -0.018127], [0.053833, 0.998291, -0.017944], [0.018982, 0.016846, 0.999573]]",0.998291,"[8137, 8246, 8127, 8324]"
127.823776,"[0.007812, 0.109375, -0.691406]","[-0.000392, 0.005624, -0.003039]","[0.129999, 0.080000, 0.270826]","[-0.001520, 0.022344, -0.012088]","[0.022461, -0.021729, -0.066895]","[-0.010529, 0.011627, -0.033295, 0.999329]","[-0.006866, 0.012299, -0.003937, 0.999878]","[-0.271729, 0.300049, -0.120117]","[[0.997498, -0.066895, -0.022522], [0.066284, 0.997559, -0.021851], [0.023865, 0.020264, 0.999512]]",0.997498,"[8103, 8240, 8061, 8284]"
127.827682,"[0.027344, 0.117188, -0.691406]","[-0.000422, 0.006074, -0.003282]","[0.119999, 0.089998, 0.203554]","[-0.001607, 0.023671, -0.012808]","[0.022217, -0.021484, -0.066895]","[-0.010437, 0.011475, -0.033356, 0.999298]","[-0.007843, 0.012878, -0.003906, 0.999878]","[0.177734, -0.051270, -0.000488]","[[0.997375, -0.066956, -0.022217], [0.066467, 0.997437, -0.021667], [0.023560, 0.020081, 0.999390]]",0.997375,"[8090, 8210, 8061, 8298]"
127.845268,"[0.027344, 0.117188, -0.691406]","[-0.000422, 0.006074, -0.003282]","[0.150000, 0.089998, 0.200991]","[-0.001607, 0.023671, -0.012808]","[0.022949, -0.021973, -0.068604]","[-0.010559, 0.011932, -0.034119, 0.999298]","[-0.007843, 0.014343, -0.003906, 0.999847]","[0.086182, -0.169922, -0.156250]","[[0.997375, -0.068542, -0.023132], [0.067932, 0.997437, -0.021973], [0.024475, 0.020264, 0.999512]]",0.997375,"[8065, 8218, 8079, 8299]"
127.966354,"[0.039062, 0.136719, -0.679688]","[-0.000687, 0.010013, -0.005415]","[0.129999, 0.080000, 0.173431]","[-0.002293, 0.034375, -0.018615]","[0.024902, -0.024658, -0.078857]","[-0.011902, 0.013000, -0.039246, 0.999084]","[-0.008209, 0.014465, -0.003906, 0.999847]","[-0.078369, 0.325195, -0.079102]","[[0.996582, -0.078796, -0.025024], [0.078064, 0.996643, -0.024841], [0.026855, 0.022766, 0.999390]]",0.996582,"[8074, 8200, 8005, 8295]"
