t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
52.062996,"[0.007812, 0.066406, -0.996094]","[0.000000, 0.000000, 0.000000]","[-0.039999, -0.029999, -0.090263]","[0.000000, 0.000004, 0.000000]","[0.020752, -0.022461, -0.015381]","[-0.011230, 0.010498, -0.007599, 0.999847]","[-0.000244, 0.000214, -0.007538, 0.999969]","[0.066650, 0.170654, 0.010498]","[[0.999634, -0.015442, -0.020813], [0.014954, 0.999573, -0.022644], [0.021057, 0.022278, 0.999451]]",0.999634,"[7804, 7687, 7735, 7822]"
52.115738,"[0.007812, 0.058594, -0.996094]","[0.000000, 0.000001, 0.000000]","[-0.009998, -0.039999, 0.020424]","[0.000006, 0.000068, 0.000003]","[0.012451, -0.019287, -0.016357]","[-0.009644, 0.006378, -0.008118, 0.999878]","[0.000732, -0.000092, -0.007538, 0.999969]","[0.050049, -0.393799, -0.056152]","[[0.999695, -0.016418, -0.012573], [0.016052, 0.999573, -0.019409], [0.012817, 0.019165, 0.999634]]",0.999695,"[7846, 7780, 7715, 7743]"
52.117683,"[0.000000, 0.058594, -1.000000]","[0.000000, 0.000001, 0.000000]","[-0.019999, -0.039999, 0.036654]","[0.000006, 0.000068, 0.000003]","[0.012695, -0.018555, -0.016602]","[-0.009277, 0.006531, -0.008301, 0.999908]","[0.000732, -0.000946, -0.007538, 0.999969]","[0.011230, 0.189209, 0.037842]","[[0.999756, -0.016724, -0.012878], [0.016479, 0.999695, -0.018677], [0.013123, 0.018433, 0.999756]]",0.999756,"[7834, 7782, 7702, 7766]"
52.131355,"[0.000000, 0.058594, -1.000000]","[0.000000, 0.000003, 0.000000]","[-0.029999, -0.029999, 0.054749]","[0.000014, 0.000163, 0.000008]","[0.010742, -0.017822, -0.016846]","[-0.008850, 0.005554, -0.008453, 0.999908]","[0.000244, -0.001556, -0.007538, 0.999969]","[0.156494, 0.093506, -0.049805]","[[0.999756, -0.017029, -0.010925], [0.016785, 0.999695, -0.017822], [0.011169, 0.017578, 0.999756]]",0.999756,"[7876, 7818, 7707, 7776]"
52.260265,"[0.007812, 0.058594, -0.996094]","[0.000019, 0.000225, 0.000011]","[-0.019999, -0.019999, 0.040718]","[0.000393, 0.004576, 0.000230]","[0.003174, -0.013916, -0.021240]","[-0.007050, 0.001740, -0.010681, 0.999939]","[0.000122, -0.000702, -0.007538, 0.999969]","[0.045898, -0.409668, -0.052979]","[[0.999817, -0.021423, -0.003296], [0.021301, 0.999756, -0.014160], [0.003540, 0.014038, 0.999939]]",0.999817,"[7923, 7890, 7781, 7881]"
52.266121,"[0.000000, 0.058594, -1.000000]","[0.000019, 0.000225, 0.000011]","[0.000000, -0.019999, 0.033682]","[0.000393, 0.004576, 0.000230]","[0.002686, -0.013428, -0.021729]","[-0.006714, 0.001465, -0.010925, 0.999939]","[0.000122, -0.000092, -0.007538, 0.999969]","[0.081055, -0.484619, -0.079102]","[[0.999817, -0.021912, -0.002747], [0.021790, 0.999756, -0.013489], [0.002991, 0.013367, 0.999939]]",0.999817,"[7889, 7910, 7809, 7888]"
52.322765,"[0.000000, 0.058594, -0.996094]","[0.000056, 0.000647, 0.000033]","[-0.009998, -0.009998, 0.100832]","[0.000893, 0.010375, 0.000526]","[0.001465, -0.012939, -0.024414]","[-0.006500, 0.000916, -0.012177, 0.999908]","[-0.000214, -0.000610, -0.007568, 0.999969]","[-0.018066, -0.182373, 0.003418]","[[0.999695, -0.024414, -0.001648], [0.024292, 0.999634, -0.013062], [0.001892, 0.012939, 0.999878]]",0.999695,"[7897, 7892, 7822, 7910]"
52.332527,"[0.000000, 0.046875, -0.992188]","[0.000056, 0.000647, 0.000033]","[0.029999, -0.029999, 0.048323]","[0.000893, 0.010375, 0.000526]","[0.003174, -0.013184, -0.024902]","[-0.006592, 0.001709, -0.012451, 0.999908]","[0.001312, 0.001343, -0.007568, 0.999969]","[-0.040283, 0.125977, 0.043701]","[[0.999695, -0.024963, -0.003235], [0.024841, 0.999634, -0.013245], [0.003479, 0.013123, 0.999939]]",0.999695,"[7924, 7881, 7821, 7952]"
52.365734,"[0.000000, 0.046875, -0.992188]","[0.000100, 0.001162, 0.000059]","[-0.009998, -0.009998, 0.074478]","[0.001404, 0.016289, 0.000830]","[0.001221, -0.011719, -0.027344]","[-0.005859, 0.000732, -0.013733, 0.999908]","[0.000488, -0.000580, -0.007538, 0.999969]","[0.085205, -0.447510, -0.199707]","[[0.999695, -0.027527, -0.001282], [0.027405, 0.999634, -0.011780], [0.001526, 0.011658, 1.000000]]",0.999695,"[7883, 7897, 7792, 7900]"
52.398933,"[0.007812, 0.046875, -0.988281]","[0.000168, 0.001945, 0.000099]","[0.019999, -0.009998, 0.154406]","[0.002085, 0.024172, 0.001238]","[0.001953, -0.010986, -0.028320]","[-0.005585, 0.001099, -0.014160, 0.999908]","[0.000580, 0.001221, -0.007568, 0.999969]","[0.013916, 0.252441, -0.027344]","[[0.999695, -0.028381, -0.002014], [0.028259, 0.999634, -0.011230], [0.002258, 0.011108, 1.000000]]",0.999695,"[7954, 7955, 7874, 7989]"
52.432148,"[0.007812, 0.046875, -0.984375]","[0.000212, 0.002463, 0.000125]","[0.009998, -0.009998, 0.154148]","[0.002497, 0.028937, 0.001487]","[0.001953, -0.010010, -0.029053]","[-0.005096, 0.001068, -0.014587, 0.999908]","[0.000458, 0.000732, -0.007568, 0.999969]","[0.035156, -0.148926, 0.047852]","[[0.999634, -0.029236, -0.001953], [0.029114, 0.999634, -0.010254], [0.002197, 0.010132, 1.000000]]",0.999634,"[7948, 7956, 7886, 7989]"
52.46534,"[0.007812, 0.046875, -0.980469]","[0.000328, 0.003806, 0.000195]","[0.039999, -0.009998, 0.115292]","[0.003478, 0.040258, 0.002080]","[0.001709, -0.010010, -0.030273]","[-0.005005, 0.001038, -0.015167, 0.999847]","[0.000580, 0.002197, -0.007568, 0.999939]","[0.004395, 0.031250, -0.124756]","[[0.999390, -0.030396, -0.001892], [0.030273, 0.999390, -0.010071], [0.002136, 0.009949, 0.999817]]",0.99939,"[7934, 7931, 7898, 7995]"
52.5005,"[0.007812, 0.046875, -0.976562]","[0.000487, 0.005642, 0.000290]","[0.049999, -0.009998, 0.132057]","[0.004684, 0.054151, 0.002815]","[0.001953, -0.009033, -0.031494]","[-0.004517, 0.001160, -0.015778, 0.999847]","[0.000702, 0.002686, -0.007568, 0.999939]","[0.048096, -0.213379, -0.052979]","[[0.999390, -0.031616, -0.002136], [0.031494, 0.999390, -0.009094], [0.002380, 0.008972, 0.999878]]",0.99939,"[7948, 7976, 7891, 7971]"
52.533707,"[0.007812, 0.046875, -0.968750]","[0.000697, 0.008073, 0.000417]","[0.039999, 0.000000, 0.152401]","[0.006131, 0.070794, 0.003703]","[0.001465, -0.008545, -0.033691]","[-0.004242, 0.000885, -0.016815, 0.999847]","[0.000458, 0.002197, -0.007568, 0.999939]","[0.066650, 0.023682, -0.084229]","[[0.999390, -0.033691, -0.001587], [0.033569, 0.999390, -0.008545], [0.001831, 0.008423, 0.999939]]",0.99939,"[7935, 7988, 7890, 7976]"
52.566906,"[0.007812, 0.046875, -0.968750]","[0.000825, 0.009547, 0.000494]","[0.049999, 0.009998, 0.134485]","[0.006949, 0.080196, 0.004209]","[0.002441, -0.008057, -0.035156]","[-0.004028, 0.001343, -0.017609, 0.999817]","[0.000214, 0.002686, -0.007568, 0.999939]","[0.001709, 0.122803, -0.039062]","[[0.999268, -0.035278, -0.002502], [0.035156, 0.999268, -0.008118], [0.002747, 0.007996, 0.999878]]",0.999268,"[7940, 7977, 7906, 8023]"
