t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
43.176308,"[-0.046875, 0.046875, -1.085938]","[0.000000, 0.000000, -0.000000]","[-0.019999, -0.039999, 0.036877]","[0.000003, 0.000001, -0.000001]","[0.016602, -0.016357, -0.034424]","[-0.008087, 0.008484, -0.017151, 0.999786]","[-0.000702, -0.000122, -0.016205, 0.999847]","[0.150146, 0.130127, -0.094727]","[[0.999268, -0.034485, -0.016663], [0.034119, 0.999268, -0.016479], [0.017151, 0.015869, 0.999695]]",0.999268,"[7928, 7933, 7966, 8034]"
43.201698,"[-0.046875, 0.046875, -1.082031]","[0.000000, 0.000000, -0.000000]","[-0.019999, -0.049999, 0.004244]","[0.000013, 0.000004, -0.000003]","[0.013672, -0.017578, -0.035889]","[-0.008698, 0.007080, -0.017914, 0.999756]","[0.002075, -0.000183, -0.016205, 0.999847]","[0.014404, -0.287354, -0.015869]","[[0.999146, -0.036011, -0.013794], [0.035645, 0.999084, -0.017700], [0.014404, 0.017090, 0.999634]]",0.999146,"[8000, 7853, 7860, 8035]"
43.234894,"[-0.058594, 0.046875, -1.082031]","[0.000002, 0.000001, -0.000000]","[0.000000, -0.029999, 0.017431]","[0.000092, 0.000032, -0.000019]","[0.010742, -0.017090, -0.038330]","[-0.008484, 0.005615, -0.019135, 0.999756]","[0.001190, 0.000122, -0.016205, 0.999847]","[0.007568, 0.047119, -0.120361]","[[0.999146, -0.038391, -0.010864], [0.038147, 0.999084, -0.017212], [0.011475, 0.016724, 0.999695]]",0.999146,"[7939, 7896, 7822, 7984]"
43.268097,"[-0.058594, 0.046875, -1.082031]","[0.000004, 0.000002, -0.000001]","[-0.009998, -0.059999, -0.113609]","[0.000188, 0.000065, -0.000038]","[0.008789, -0.015625, -0.041016]","[-0.007751, 0.004608, -0.020508, 0.999756]","[0.002686, -0.000427, -0.016205, 0.999847]","[0.126709, -0.076660, -0.090576]","[[0.999084, -0.041138, -0.008850], [0.040894, 0.999023, -0.015747], [0.009460, 0.015259, 0.999817]]",0.999084,"[7899, 7919, 7827, 7978]"
43.301315,"[-0.046875, 0.046875, -1.078125]","[0.000018, 0.000006, -0.000004]","[0.000000, -0.039999, 0.054226]","[0.000567, 0.000196, -0.000115]","[0.006348, -0.017090, -0.043213]","[-0.008514, 0.003479, -0.021576, 0.999725]","[0.001678, 0.000610, -0.016235, 0.999847]","[-0.107178, 0.034424, 0.021484]","[[0.999023, -0.043213, -0.006531], [0.043091, 0.998901, -0.017212], [0.007263, 0.016846, 0.999817]]",0.999023,"[7954, 7880, 7738, 7974]"
43.336456,"[-0.046875, 0.039062, -1.074219]","[0.000054, 0.000019, -0.000011]","[0.000000, -0.059999, 0.009220]","[0.001325, 0.000458, -0.000268]","[0.005859, -0.015381, -0.046387]","[-0.007599, 0.003204, -0.023224, 0.999695]","[0.003021, 0.000641, -0.016235, 0.999847]","[0.258545, -0.141602, -0.075439]","[[0.998840, -0.046509, -0.006042], [0.046387, 0.998779, -0.015381], [0.006653, 0.015015, 0.999817]]",0.99884,"[7903, 7914, 7824, 8003]"
43.369659,"[-0.046875, 0.039062, -1.070312]","[0.000085, 0.000029, -0.000017]","[-0.019999, -0.029999, 0.064957]","[0.001896, 0.000656, -0.000383]","[0.006104, -0.016113, -0.048828]","[-0.008057, 0.003296, -0.024384, 0.999664]","[0.001587, -0.000214, -0.016205, 0.999847]","[-0.191406, 0.188232, -0.129883]","[[0.998779, -0.048828, -0.006165], [0.048706, 0.998657, -0.016296], [0.006897, 0.015930, 0.999817]]",0.998779,"[7955, 7885, 7827, 8024]"
43.404816,"[-0.046875, 0.039062, -1.066406]","[0.000189, 0.000065, -0.000038]","[0.000000, -0.059999, 0.078506]","[0.003535, 0.001225, -0.000714]","[0.004150, -0.014404, -0.051514]","[-0.007141, 0.002350, -0.025757, 0.999634]","[0.003021, 0.000641, -0.016235, 0.999847]","[0.156494, -0.187744, -0.043701]","[[0.998596, -0.051575, -0.004272], [0.051453, 0.998535, -0.014404], [0.005005, 0.014160, 0.999817]]",0.998596,"[7917, 7977, 7863, 7982]"
43.438019,"[-0.046875, 0.039062, -1.062500]","[0.000372, 0.000129, -0.000075]","[0.019999, -0.049999, 0.101049]","[0.005987, 0.002077, -0.001209]","[0.003906, -0.015381, -0.053955]","[-0.007721, 0.002228, -0.026978, 0.999603]","[0.002655, 0.001617, -0.016235, 0.999847]","[-0.059814, 0.210938, -0.094727]","[[0.998474, -0.054016, -0.004028], [0.053894, 0.998413, -0.015564], [0.004761, 0.015320, 0.999817]]",0.998474,"[7976, 7947, 7830, 8028]"
43.471222,"[-0.046875, 0.039062, -1.058594]","[0.000669, 0.000232, -0.000135]","[0.009998, -0.059999, 0.135187]","[0.009433, 0.003276, -0.001904]","[0.003174, -0.014404, -0.056396]","[-0.007202, 0.001831, -0.028168, 0.999573]","[0.003143, 0.001129, -0.016235, 0.999847]","[0.051758, -0.400635, -0.066406]","[[0.998352, -0.056396, -0.003235], [0.056274, 0.998291, -0.014526], [0.003967, 0.014282, 0.999817]]",0.998352,"[7946, 7973, 7872, 8046]"
