t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
33.31208,"[0.019531, 0.046875, -1.214844]","[0.000000, 0.000000, -0.000000]","[-0.029999, -0.009998, -0.023590]","[0.000001, 0.000003, -0.000002]","[0.011230, -0.021973, -0.023926]","[-0.010956, 0.005859, -0.011902, 0.999847]","[-0.001190, -0.000732, -0.011353, 0.999908]","[-0.113037, 0.142090, 0.062988]","[[0.999573, -0.023987, -0.011414], [0.023621, 0.999451, -0.022095], [0.011902, 0.021729, 0.999634]]",0.999573,"[7916, 7887, 7908, 7982]"
33.33942,"[0.019531, 0.046875, -1.218750]","[0.000000, 0.000000, -0.000000]","[-0.019999, -0.019999, -0.045029]","[0.000005, 0.000014, -0.000010]","[0.006836, -0.019287, -0.024658]","[-0.009644, 0.003540, -0.012329, 0.999847]","[-0.000702, -0.000610, -0.011353, 0.999908]","[0.127930, 0.046875, -0.082031]","[[0.999573, -0.024780, -0.006836], [0.024536, 0.999390, -0.019409], [0.007202, 0.019165, 0.999634]]",0.999573,"[7948, 7938, 7878, 7908]"
33.374573,"[0.019531, 0.046875, -1.218750]","[0.000001, 0.000002, -0.000001]","[0.009998, -0.039999, -0.061384]","[0.000040, 0.000103, -0.000073]","[0.004395, -0.019287, -0.025635]","[-0.009705, 0.002350, -0.012787, 0.999878]","[0.000336, 0.000732, -0.011353, 0.999908]","[-0.256592, 0.249512, 0.023438]","[[0.999695, -0.025635, -0.004395], [0.025513, 0.999512, -0.019470], [0.004883, 0.019348, 0.999817]]",0.999695,"[7964, 7918, 7807, 7899]"
33.407776,"[0.019531, 0.046875, -1.218750]","[0.000002, 0.000005, -0.000004]","[-0.009998, -0.019999, -0.028498]","[0.000080, 0.000209, -0.000148]","[-0.001221, -0.016602, -0.027588]","[-0.008392, -0.000580, -0.013794, 0.999878]","[-0.000458, -0.000244, -0.011322, 0.999908]","[0.234863, 0.047363, -0.040039]","[[0.999634, -0.027588, 0.001343], [0.027588, 0.999512, -0.016785], [-0.000977, 0.016785, 0.999878]]",0.999634,"[7993, 7926, 7803, 7924]"
33.440979,"[0.019531, 0.046875, -1.218750]","[0.000008, 0.000020, -0.000014]","[0.009998, -0.009998, -0.080122]","[0.000243, 0.000630, -0.000446]","[-0.001709, -0.015381, -0.028564]","[-0.007751, -0.000793, -0.014343, 0.999878]","[-0.001221, 0.000702, -0.011322, 0.999908]","[-0.277344, 0.330078, 0.017578]","[[0.999573, -0.028687, 0.001770], [0.028687, 0.999512, -0.015503], [-0.001404, 0.015503, 0.999878]]",0.999573,"[7927, 7919, 7821, 7835]"
33.507389,"[0.019531, 0.046875, -1.218750]","[0.000055, 0.000143, -0.000101]","[0.009998, 0.000000, -0.055342]","[0.001116, 0.002901, -0.002056]","[-0.003662, -0.013916, -0.031250]","[-0.007080, -0.001770, -0.015656, 0.999878]","[-0.001465, 0.000824, -0.011322, 0.999908]","[-0.033447, 0.287842, 0.001465]","[[0.999573, -0.031311, 0.003723], [0.031311, 0.999512, -0.014160], [-0.003357, 0.014160, 1.000000]]",0.999573,"[7908, 7947, 7822, 7898]"
33.540588,"[0.019531, 0.046875, -1.218750]","[0.000080, 0.000209, -0.000148]","[0.009998, -0.009998, -0.040718]","[0.001500, 0.003901, -0.002766]","[-0.003174, -0.016602, -0.032227]","[-0.008301, -0.001465, -0.016113, 0.999847]","[-0.000977, 0.000824, -0.011322, 0.999908]","[-0.179443, 0.143799, 0.019775]","[[0.999512, -0.032227, 0.003174], [0.032227, 0.999390, -0.016602], [-0.002686, 0.016602, 0.999878]]",0.999512,"[7924, 7881, 7806, 7910]"
33.573792,"[0.019531, 0.046875, -1.222656]","[0.000158, 0.000410, -0.000291]","[0.009998, 0.000000, -0.063566]","[0.002532, 0.006588, -0.004675]","[-0.003662, -0.015625, -0.033203]","[-0.007812, -0.001801, -0.016602, 0.999817]","[-0.001343, 0.000824, -0.011322, 0.999908]","[0.255615, -0.278076, -0.067871]","[[0.999390, -0.033203, 0.003845], [0.033203, 0.999268, -0.015625], [-0.003357, 0.015625, 0.999817]]",0.99939,"[7921, 7914, 7814, 7930]"
33.608955,"[0.019531, 0.046875, -1.222656]","[0.000283, 0.000738, -0.000523]","[0.029999, 0.000000, -0.067419]","[0.003976, 0.010353, -0.007353]","[-0.003662, -0.015381, -0.034180]","[-0.007690, -0.001770, -0.017090, 0.999817]","[-0.001221, 0.001801, -0.011322, 0.999908]","[-0.111816, -0.018311, 0.017578]","[[0.999329, -0.034180, 0.003784], [0.034180, 0.999268, -0.015381], [-0.003296, 0.015381, 0.999817]]",0.999329,"[7909, 7910, 7814, 7922]"
33.642151,"[0.019531, 0.046875, -1.226562]","[0.000370, 0.000962, -0.000683]","[0.019999, 0.000000, -0.090984]","[0.004875, 0.012696, -0.009021]","[-0.004150, -0.015137, -0.035156]","[-0.007599, -0.002045, -0.017578, 0.999817]","[-0.001221, 0.001312, -0.011322, 0.999908]","[0.177979, -0.106689, -0.048584]","[[0.999329, -0.035156, 0.004333], [0.035156, 0.999268, -0.015137], [-0.003845, 0.015259, 0.999878]]",0.999329,"[7925, 7894, 7777, 7907]"
