t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
65.658775,"[0.039062, 0.019531, -1.210938]","[0.000000, 0.000000, -0.000000]","[-0.009998, -0.009998, -0.046259]","[0.000000, 0.000001, -0.000001]","[0.011719, -0.018799, -0.038818]","[-0.009308, 0.006104, -0.019348, 0.999756]","[-0.000366, 0.001068, -0.018158, 0.999817]","[-0.208984, 0.458984, 0.020020]","[[0.999146, -0.038818, -0.011841], [0.038574, 0.999084, -0.018860], [0.012451, 0.018372, 0.999756]]",0.999146,"[7831, 7728, 7685, 7801]"
65.660728,"[0.027344, 0.019531, -1.207031]","[0.000000, 0.000000, -0.000000]","[0.000000, -0.009998, -0.040874]","[0.000000, 0.000001, -0.000001]","[0.011719, -0.018555, -0.038818]","[-0.009247, 0.006104, -0.019348, 0.999756]","[-0.000366, 0.000824, -0.018158, 0.999817]","[0.072754, -0.040283, 0.010498]","[[0.999146, -0.038818, -0.011841], [0.038574, 0.999084, -0.018738], [0.012451, 0.018250, 0.999756]]",0.999146,"[7780, 7747, 7706, 7855]"
65.727119,"[0.027344, 0.019531, -1.203125]","[0.000000, 0.000000, -0.000000]","[0.000000, 0.000000, -0.052258]","[0.000001, 0.000008, -0.000009]","[0.002197, -0.013916, -0.042480]","[-0.007019, 0.001251, -0.021301, 0.999756]","[-0.000732, 0.000336, -0.018158, 0.999817]","[-0.316895, 0.483398, -0.020752]","[[0.999084, -0.042664, -0.002197], [0.042542, 0.999023, -0.014099], [0.002686, 0.013977, 0.999878]]",0.999084,"[7847, 7919, 7663, 7736]"
65.760323,"[0.027344, 0.019531, -1.203125]","[0.000000, 0.000001, -0.000001]","[0.009998, 0.000000, -0.073782]","[0.000002, 0.000023, -0.000024]","[0.002441, -0.016357, -0.043945]","[-0.008118, 0.001434, -0.022003, 0.999725]","[-0.000732, 0.000946, -0.018158, 0.999817]","[-0.385742, 0.345703, -0.037354]","[[0.999023, -0.044067, -0.002502], [0.043945, 0.998901, -0.016357], [0.003113, 0.016113, 0.999817]]",0.999023,"[7841, 7857, 7683, 7797]"
65.826736,"[0.027344, 0.019531, -1.203125]","[0.000000, 0.000003, -0.000004]","[0.019999, 0.000000, -0.026058]","[0.000005, 0.000070, -0.000074]","[0.000000, -0.015137, -0.047852]","[-0.007568, 0.000153, -0.023926, 0.999695]","[-0.000732, 0.001434, -0.018158, 0.999817]","[0.048340, 0.057373, -0.065430]","[[0.998840, -0.047913, 0.000061], [0.047791, 0.998779, -0.015198], [0.000549, 0.015076, 0.999878]]",0.99884,"[7846, 7854, 7735, 7824]"
65.85994,"[0.039062, 0.019531, -1.203125]","[0.000000, 0.000007, -0.000008]","[0.029999, 0.000000, -0.017546]","[0.000008, 0.000126, -0.000135]","[-0.000488, -0.015869, -0.050049]","[-0.008026, -0.000122, -0.025085, 0.999664]","[-0.000641, 0.002533, -0.018158, 0.999817]","[-0.143555, -0.012207, -0.070801]","[[0.998779, -0.050171, 0.000610], [0.050171, 0.998657, -0.016052], [0.000122, 0.016052, 0.999878]]",0.998779,"[7888, 7852, 7741, 7882]"
65.895096,"[0.039062, 0.019531, -1.195312]","[0.000001, 0.000014, -0.000014]","[0.039999, 0.000000, 0.006418]","[0.000014, 0.000211, -0.000225]","[-0.001465, -0.015137, -0.052734]","[-0.007599, -0.000549, -0.026428, 0.999634]","[-0.000641, 0.003021, -0.018158, 0.999817]","[0.068604, 0.139648, -0.050537]","[[0.998596, -0.052856, 0.001465], [0.052856, 0.998535, -0.015198], [-0.000732, 0.015198, 0.999878]]",0.998596,"[7900, 7894, 7741, 7887]"
65.930252,"[0.039062, 0.019531, -1.195312]","[0.000001, 0.000018, -0.000019]","[0.039999, 0.009998, 0.006512]","[0.000017, 0.000266, -0.000284]","[-0.001709, -0.014893, -0.055420]","[-0.007507, -0.000763, -0.027802, 0.999603]","[-0.001129, 0.003021, -0.018158, 0.999817]","[0.064209, -0.262695, -0.106934]","[[0.998474, -0.055603, 0.001892], [0.055603, 0.998413, -0.015015], [-0.001160, 0.015015, 0.999939]]",0.998474,"[7887, 7915, 7786, 7900]"
65.961494,"[0.027344, 0.019531, -1.191406]","[0.000002, 0.000031, -0.000033]","[0.049999, 0.000000, 0.025389]","[0.000026, 0.000407, -0.000434]","[-0.002197, -0.014648, -0.058105]","[-0.007385, -0.000946, -0.029144, 0.999542]","[-0.000641, 0.002777, -0.018158, 0.999817]","[0.197266, -0.234619, -0.093750]","[[0.998230, -0.058289, 0.002319], [0.058289, 0.998169, -0.014771], [-0.001465, 0.014771, 0.999817]]",0.99823,"[7902, 7929, 7783, 7916]"
65.994705,"[0.039062, 0.019531, -1.187500]","[0.000003, 0.000051, -0.000054]","[0.059999, 0.009998, 0.042294]","[0.000037, 0.000594, -0.000634]","[-0.000977, -0.015137, -0.061279]","[-0.007660, -0.000275, -0.030731, 0.999512]","[-0.001160, 0.004120, -0.018158, 0.999817]","[-0.255371, 0.394531, -0.100586]","[[0.998108, -0.061462, 0.000977], [0.061462, 0.998047, -0.015320], [-0.000122, 0.015320, 0.999878]]",0.998108,"[7898, 7925, 7788, 7950]"
66.027908,"[0.039062, 0.019531, -1.183594]","[0.000004, 0.000063, -0.000068]","[0.070000, 0.009998, 0.042900]","[0.000044, 0.000708, -0.000755]","[-0.002686, -0.014893, -0.064209]","[-0.007477, -0.001129, -0.032196, 0.999451]","[-0.001160, 0.004608, -0.018158, 0.999817]","[0.214844, -0.617188, -0.103271]","[[0.997864, -0.064392, 0.002686], [0.064392, 0.997803, -0.014893], [-0.001831, 0.015015, 0.999817]]",0.997864,"[7919, 8008, 7794, 7919]"
66.129471,"[0.046875, 0.019531, -1.175781]","[0.000012, 0.000200, -0.000214]","[0.080000, 0.019999, 0.053585]","[0.000103, 0.001741, -0.001856]","[0.000244, -0.016113, -0.072266]","[-0.008087, 0.000458, -0.036194, 0.999329]","[-0.001556, 0.005707, -0.018158, 0.999817]","[-0.293457, 0.529297, -0.105957]","[[0.997437, -0.072449, -0.000305], [0.072327, 0.997314, -0.016235], [0.001404, 0.016113, 0.999878]]",0.997437,"[7949, 7984, 7791, 8003]"
66.229073,"[0.058594, 0.027344, -1.171875]","[0.000026, 0.000436, -0.000465]","[0.109999, 0.029999, 0.049633]","[0.000180, 0.003183, -0.003389]","[0.001709, -0.016113, -0.079834]","[-0.008087, 0.001251, -0.039917, 0.999146]","[-0.002563, 0.007874, -0.018158, 0.999786]","[-0.165283, 0.062012, -0.081543]","[[0.996704, -0.079834, -0.001831], [0.079712, 0.996582, -0.016296], [0.003052, 0.016052, 0.999756]]",0.996704,"[7915, 7977, 7813, 8001]"
66.262283,"[0.066406, 0.027344, -1.171875]","[0.000030, 0.000502, -0.000535]","[0.089998, 0.029999, 0.039146]","[0.000199, 0.003547, -0.003776]","[0.001465, -0.016113, -0.082764]","[-0.007996, 0.001068, -0.041351, 0.999084]","[-0.002686, 0.007385, -0.018158, 0.999786]","[0.176025, -0.213867, -0.087891]","[[0.996460, -0.082703, -0.001465], [0.082581, 0.996338, -0.016113], [0.002686, 0.015869, 0.999756]]",0.99646,"[7922, 8006, 7800, 8019]"
66.295486,"[0.066406, 0.027344, -1.167969]","[0.000038, 0.000656, -0.000699]","[0.109999, 0.039999, 0.034086]","[0.000240, 0.004362, -0.004641]","[0.003662, -0.017090, -0.085693]","[-0.008514, 0.002289, -0.042847, 0.999054]","[-0.003082, 0.008484, -0.018158, 0.999786]","[-0.239258, 0.368652, -0.074463]","[[0.996338, -0.085693, -0.003845], [0.085571, 0.996216, -0.017273], [0.005188, 0.016785, 0.999878]]",0.996338,"[7895, 7960, 7809, 8029]"
66.330643,"[0.066406, 0.027344, -1.167969]","[0.000048, 0.000844, -0.000899]","[0.099998, 0.039999, 0.009859]","[0.000287, 0.005297, -0.005634]","[0.003662, -0.017090, -0.088623]","[-0.008453, 0.002289, -0.044312, 0.998993]","[-0.003052, 0.007996, -0.018158, 0.999786]","[-0.122803, 0.452148, -0.101562]","[[0.996094, -0.088623, -0.003784], [0.088501, 0.995972, -0.017151], [0.005249, 0.016663, 0.999878]]",0.996094,"[7909, 7991, 7801, 8032]"
66.363846,"[0.078125, 0.039062, -1.167969]","[0.000061, 0.001071, -0.001140]","[0.129999, 0.039999, 0.003069]","[0.000338, 0.006361, -0.006763]","[0.004639, -0.018066, -0.091309]","[-0.008972, 0.002838, -0.045624, 0.998932]","[-0.003845, 0.010284, -0.018127, 0.999756]","[-0.178711, 0.262695, -0.045166]","[[0.995850, -0.091248, -0.004822], [0.091125, 0.995728, -0.018250], [0.006409, 0.017639, 0.999878]]",0.99585,"[7899, 8014, 7783, 7983]"
66.397041,"[0.078125, 0.039062, -1.167969]","[0.000067, 0.001201, -0.001279]","[0.119999, 0.039999, -0.021416]","[0.000365, 0.006944, -0.007381]","[0.005127, -0.018066, -0.093750]","[-0.008911, 0.003082, -0.046844, 0.998871]","[-0.003815, 0.009796, -0.018127, 0.999756]","[0.456055, -0.492188, 0.028564]","[[0.995605, -0.093689, -0.005310], [0.093567, 0.995483, -0.018127], [0.006897, 0.017517, 0.999817]]",0.995605,"[7900, 8022, 7750, 8080]"
66.430252,"[0.078125, 0.046875, -1.167969]","[0.000083, 0.001497, -0.001593]","[0.109999, 0.049999, 0.018517]","[0.000423, 0.008217, -0.008730]","[0.007324, -0.018555, -0.095459]","[-0.009064, 0.004211, -0.047699, 0.998810]","[-0.004669, 0.009430, -0.018127, 0.999756]","[-0.471924, 0.567139, -0.047363]","[[0.995361, -0.095459, -0.007507], [0.095215, 0.995239, -0.018555], [0.009216, 0.017700, 0.999756]]",0.995361,"[7893, 8021, 7797, 7991]"
66.465408,"[0.089844, 0.046875, -1.164062]","[0.000101, 0.001845, -0.001963]","[0.139999, 0.049999, -0.009232]","[0.000486, 0.009638, -0.010235]","[0.007812, -0.018311, -0.097412]","[-0.008972, 0.004425, -0.048645, 0.998779]","[-0.004700, 0.011627, -0.018127, 0.999756]","[0.077148, -0.037109, -0.062256]","[[0.995239, -0.097351, -0.007935], [0.097107, 0.995117, -0.018433], [0.009644, 0.017456, 0.999817]]",0.995239,"[7909, 8028, 7812, 8041]"
66.498611,"[0.089844, 0.046875, -1.164062]","[0.000121, 0.002252, -0.002394]","[0.119999, 0.039999, 0.006950]","[0.000553, 0.011215, -0.011904]","[0.009521, -0.020996, -0.099365]","[-0.010284, 0.005341, -0.049622, 0.998688]","[-0.004211, 0.010651, -0.018127, 0.999756]","[-0.188232, 0.034424, -0.055420]","[[0.994934, -0.099243, -0.009644], [0.098999, 0.994751, -0.021118], [0.011597, 0.020020, 0.999634]]",0.994934,"[7932, 7966, 7783, 8056]"
66.529861,"[0.097656, 0.046875, -1.164062]","[0.000132, 0.002479, -0.002636]","[0.150000, 0.059999, -0.005814]","[0.000588, 0.012063, -0.012801]","[0.010498, -0.020996, -0.101074]","[-0.010223, 0.005768, -0.050537, 0.998627]","[-0.005219, 0.012695, -0.018097, 0.999725]","[0.001953, -0.152100, -0.071289]","[[0.994690, -0.101074, -0.010498], [0.100830, 0.994568, -0.021057], [0.012451, 0.019836, 0.999573]]",0.99469,"[7882, 7969, 7791, 8044]"
66.565018,"[0.097656, 0.046875, -1.164062]","[0.000156, 0.002985, -0.003173]","[0.129999, 0.009998, -0.006798]","[0.000661, 0.013886, -0.014729]","[0.011963, -0.021240, -0.103027]","[-0.010284, 0.006622, -0.051453, 0.998596]","[-0.002899, 0.011902, -0.018127, 0.999756]","[-0.172852, 0.268066, 0.005859]","[[0.994568, -0.102966, -0.012146], [0.102600, 0.994446, -0.021301], [0.014221, 0.019836, 0.999634]]",0.994568,"[7890, 8004, 7798, 8017]"
66.596268,"[0.097656, 0.046875, -1.164062]","[0.000184, 0.003566, -0.003789]","[0.119999, 0.080000, -0.054844]","[0.000737, 0.015881, -0.016837]","[0.013184, -0.021973, -0.104492]","[-0.010590, 0.007202, -0.052155, 0.998535]","[-0.006165, 0.011353, -0.018097, 0.999725]","[0.018555, -0.270752, -0.035645]","[[0.994324, -0.104370, -0.013245], [0.104004, 0.994202, -0.021973], [0.015442, 0.020386, 0.999573]]",0.994324,"[7873, 7941, 7803, 8059]"
66.631424,"[0.117188, 0.058594, -1.167969]","[0.000198, 0.003887, -0.004128]","[0.150000, 0.059999, -0.053707]","[0.000777, 0.016945, -0.017959]","[0.013428, -0.021484, -0.106201]","[-0.010376, 0.007385, -0.053040, 0.998505]","[-0.005981, 0.014038, -0.018097, 0.999695]","[-0.144531, 0.386230, -0.019287]","[[0.994202, -0.106140, -0.013611], [0.105774, 0.994080, -0.021545], [0.015808, 0.019958, 0.999634]]",0.994202,"[7885, 8004, 7771, 8007]"
66.664635,"[0.117188, 0.058594, -1.167969]","[0.000230, 0.004592, -0.004876]","[0.129999, 0.049999, -0.082485]","[0.000858, 0.019208, -0.020348]","[0.014160, -0.022949, -0.107666]","[-0.011139, 0.007690, -0.053772, 0.998444]","[-0.005463, 0.013184, -0.018097, 0.999725]","[0.077148, -0.379395, 0.006348]","[[0.994019, -0.107605, -0.014160], [0.107239, 0.993835, -0.023132], [0.016479, 0.021423, 0.999512]]",0.994019,"[7889, 7970, 7759, 8034]"
66.69783,"[0.117188, 0.058594, -1.167969]","[0.000265, 0.005389, -0.005720]","[0.129999, 0.059999, -0.082983]","[0.000940, 0.021655, -0.022929]","[0.014648, -0.021973, -0.109375]","[-0.010559, 0.007996, -0.054596, 0.998413]","[-0.005951, 0.013306, -0.018097, 0.999725]","[0.037109, 0.138672, -0.090576]","[[0.993835, -0.109253, -0.014832], [0.108887, 0.993774, -0.022034], [0.017029, 0.020203, 0.999573]]",0.993835,"[7866, 7983, 7751, 7975]"
66.731041,"[0.128906, 0.058594, -1.167969]","[0.000284, 0.005825, -0.006182]","[0.169998, 0.059999, -0.100811]","[0.000983, 0.022950, -0.024293]","[0.016357, -0.024414, -0.110107]","[-0.011719, 0.008942, -0.054962, 0.998383]","[-0.006012, 0.015991, -0.018066, 0.999664]","[-0.099365, -0.037109, 0.053467]","[[0.993774, -0.110046, -0.016541], [0.109558, 0.993652, -0.024475], [0.019104, 0.022400, 0.999512]]",0.993774,"[7885, 7942, 7752, 8037]"
