t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
32.37841,"[-0.019531, 0.019531, -1.210938]","[-0.000000, -0.000000, 0.000000]","[-0.029999, -0.009998, -0.024097]","[-0.000003, -0.000002, 0.000000]","[0.016602, -0.026611, -0.044434]","[-0.013123, 0.008698, -0.022095, 0.999634]","[0.000366, -0.000092, -0.021210, 0.999756]","[0.047607, 0.239990, -0.087402]","[[0.998840, -0.044434, -0.016785], [0.043945, 0.998657, -0.026672], [0.017883, 0.025818, 0.999451]]",0.99884,"[7929, 7795, 7822, 7934]"
32.388176,"[-0.019531, 0.019531, -1.207031]","[-0.000000, -0.000000, 0.000000]","[-0.019999, -0.009998, -0.017237]","[-0.000003, -0.000002, 0.000000]","[0.015381, -0.025879, -0.044678]","[-0.012787, 0.007996, -0.022247, 0.999664]","[0.000336, 0.000122, -0.021210, 0.999756]","[-0.110352, -0.014648, 0.020508]","[[0.998962, -0.044739, -0.015381], [0.044250, 0.998779, -0.025940], [0.016479, 0.025208, 0.999634]]",0.998962,"[7867, 7829, 7822, 7926]"
32.50732,"[-0.027344, 0.019531, -1.210938]","[-0.000023, -0.000016, 0.000003]","[-0.019999, 0.000000, 0.022516]","[-0.000721, -0.000511, 0.000090]","[0.003174, -0.020996, -0.049561]","[-0.010529, 0.001953, -0.024750, 0.999634]","[0.000000, -0.000214, -0.021210, 0.999756]","[-0.043945, 0.534912, -0.064453]","[[0.998718, -0.049561, -0.003357], [0.049438, 0.998535, -0.021179], [0.004333, 0.020935, 0.999756]]",0.998718,"[7941, 7895, 7776, 7975]"
32.522957,"[-0.027344, 0.019531, -1.207031]","[-0.000041, -0.000029, 0.000005]","[-0.009998, 0.000000, 0.011982]","[-0.001128, -0.000799, 0.000140]","[0.003174, -0.020264, -0.050049]","[-0.010162, 0.001923, -0.025024, 0.999634]","[0.000000, 0.000214, -0.021210, 0.999756]","[-0.143799, 0.481201, -0.042236]","[[0.998718, -0.050110, -0.003296], [0.049988, 0.998535, -0.020447], [0.004272, 0.020203, 0.999756]]",0.998718,"[7913, 7886, 7805, 7950]"
32.651848,"[-0.027344, 0.019531, -1.207031]","[-0.000635, -0.000450, 0.000078]","[0.000000, 0.000000, -0.007254]","[-0.009503, -0.006748, 0.001156]","[-0.004639, -0.016602, -0.056885]","[-0.008362, -0.002197, -0.028503, 0.999542]","[-0.000366, 0.000702, -0.021210, 0.999756]","[0.023682, 0.055420, -0.069336]","[[0.998291, -0.057007, 0.004822], [0.057007, 0.998169, -0.016602], [-0.003967, 0.016846, 0.999756]]",0.998291,"[7936, 7936, 7753, 7877]"
32.657707,"[-0.027344, 0.019531, -1.207031]","[-0.000635, -0.000450, 0.000078]","[0.000000, 0.009998, -0.016132]","[-0.009503, -0.006748, 0.001156]","[-0.005127, -0.016602, -0.057373]","[-0.008453, -0.002350, -0.028717, 0.999542]","[-0.000854, 0.000702, -0.021210, 0.999756]","[0.143311, -0.183350, -0.085693]","[[0.998291, -0.057434, 0.005127], [0.057434, 0.998169, -0.016785], [-0.004272, 0.017029, 0.999817]]",0.998291,"[7921, 7935, 7783, 7888]"
32.808125,"[-0.027344, 0.019531, -1.210938]","[-0.004096, -0.002913, 0.000493]","[-0.009998, 0.019999, -0.054228]","[-0.039360, -0.028041, 0.004670]","[-0.007568, -0.018066, -0.067871]","[-0.009125, -0.003479, -0.034058, 0.999390]","[-0.001587, 0.000305, -0.021210, 0.999756]","[0.321533, -0.457275, -0.069336]","[[0.997681, -0.068054, 0.007568], [0.068176, 0.997559, -0.018066], [-0.006348, 0.018433, 0.999878]]",0.997681,"[7915, 7909, 7748, 7946]"
32.810059,"[-0.027344, 0.019531, -1.210938]","[-0.004096, -0.002913, 0.000493]","[0.009998, 0.019999, -0.054228]","[-0.039360, -0.028041, 0.004670]","[-0.007568, -0.018066, -0.067871]","[-0.009125, -0.003479, -0.034058, 0.999390]","[-0.001587, 0.001282, -0.021210, 0.999756]","[0.321533, -0.457275, -0.069336]","[[0.997681, -0.068054, 0.007568], [0.068176, 0.997559, -0.018066], [-0.006348, 0.018433, 0.999878]]",0.997681,"[7889, 7887, 7753, 7929]"
32.812008,"[-0.027344, 0.019531, -1.207031]","[-0.004096, -0.002913, 0.000493]","[0.029999, 0.019999, -0.063719]","[-0.039360, -0.028041, 0.004670]","[-0.006104, -0.018066, -0.068359]","[-0.009186, -0.002838, -0.034210, 0.999359]","[-0.001617, 0.002258, -0.021210, 0.999756]","[-0.088379, 0.391602, -0.087891]","[[0.997559, -0.068420, 0.006287], [0.068420, 0.997437, -0.018188], [-0.005066, 0.018555, 0.999756]]",0.997559,"[7901, 7900, 7763, 7942]"
32.825676,"[-0.019531, 0.019531, -1.210938]","[-0.004096, -0.002913, 0.000493]","[0.039999, 0.019999, -0.023586]","[-0.039360, -0.028041, 0.004670]","[-0.005615, -0.018311, -0.069824]","[-0.009277, -0.002563, -0.034912, 0.999329]","[-0.001648, 0.003235, -0.021210, 0.999756]","[-0.212891, 0.417236, -0.092773]","[[0.997437, -0.069824, 0.005737], [0.069824, 0.997314, -0.018433], [-0.004517, 0.018677, 0.999695]]",0.997437,"[7911, 7945, 7741, 7856]"
32.950684,"[-0.019531, 0.019531, -1.203125]","[-0.012727, -0.009073, 0.001502]","[0.029999, 0.029999, -0.035774]","[-0.091390, -0.065330, 0.010556]","[-0.002686, -0.019043, -0.077637]","[-0.009613, -0.001068, -0.038910, 0.999207]","[-0.002625, 0.003601, -0.021210, 0.999756]","[0.093262, -0.127441, -0.023926]","[[0.997009, -0.077759, 0.002869], [0.077759, 0.996826, -0.019165], [-0.001404, 0.019287, 0.999817]]",0.997009,"[7852, 7863, 7760, 7969]"
32.952644,"[-0.019531, 0.027344, -1.203125]","[-0.012727, -0.009073, 0.001502]","[0.029999, 0.039999, -0.023283]","[-0.091390, -0.065330, 0.010556]","[-0.003174, -0.018555, -0.077881]","[-0.009308, -0.001343, -0.038971, 0.999207]","[-0.003601, 0.003571, -0.021210, 0.999756]","[0.287598, -0.201904, -0.081055]","[[0.996948, -0.077881, 0.003357], [0.077881, 0.996826, -0.018555], [-0.002014, 0.018677, 0.999817]]",0.996948,"[7885, 7860, 7746, 7985]"
32.958488,"[-0.007812, 0.027344, -1.203125]","[-0.012727, -0.009073, 0.001502]","[0.089998, 0.029999, -0.020170]","[-0.091390, -0.065330, 0.010556]","[-0.002441, -0.018799, -0.077881]","[-0.009430, -0.000916, -0.039032, 0.999207]","[-0.003204, 0.007355, -0.021210, 0.999725]","[0.066162, -0.086914, -0.010254]","[[0.996948, -0.078003, 0.002563], [0.078003, 0.996826, -0.018799], [-0.001099, 0.018921, 0.999817]]",0.996948,"[7841, 7866, 7759, 7986]"
32.991695,"[-0.007812, 0.027344, -1.203125]","[-0.016678, -0.011900, 0.001956]","[0.049999, 0.029999, -0.002163]","[-0.111324, -0.079665, 0.012748]","[-0.001465, -0.019287, -0.080078]","[-0.009705, -0.000366, -0.040039, 0.999146]","[-0.003265, 0.005524, -0.021210, 0.999725]","[0.025146, 0.073486, -0.124512]","[[0.996765, -0.080017, 0.001465], [0.080017, 0.996582, -0.019409], [0.000000, 0.019409, 0.999756]]",0.996765,"[7889, 7920, 7750, 7929]"
33.134281,"[-0.007812, 0.027344, -1.203125]","[-0.037584, -0.026893, 0.004307]","[0.059999, 0.029999, 0.033613]","[-0.199111, -0.143072, 0.022036]","[0.002930, -0.022705, -0.085205]","[-0.011292, 0.001984, -0.042572, 0.999023]","[-0.004913, 0.008179, -0.021179, 0.999725]","[-0.064941, 0.119873, -0.094727]","[[0.996338, -0.085144, -0.002991], [0.085022, 0.996094, -0.022766], [0.004822, 0.022400, 0.999695]]",0.996338,"[7917, 7920, 7749, 7949]"
33.136223,"[0.000000, 0.039062, -1.199219]","[-0.037584, -0.026893, 0.004307]","[0.089998, 0.049999, 0.054855]","[-0.199111, -0.143072, 0.022036]","[0.003174, -0.022705, -0.085205]","[-0.011292, 0.002075, -0.042572, 0.999023]","[-0.006683, 0.010101, -0.021149, 0.999695]","[-0.011475, 0.091064, -0.008057]","[[0.996338, -0.085144, -0.003174], [0.085022, 0.996094, -0.022766], [0.005005, 0.022400, 0.999695]]",0.996338,"[7898, 7921, 7743, 7946]"
