t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
35.056435,"[-0.078125, 0.019531, -1.027344]","[0.000000, 0.000000, -0.000000]","[-0.009998, -0.019999, -0.111839]","[0.000002, 0.000003, -0.000002]","[0.011719, -0.022949, -0.012207]","[-0.011475, 0.005981, -0.006012, 0.999908]","[-0.000366, 0.000336, -0.005829, 0.999969]","[0.115479, 0.055664, 0.020752]","[[0.999878, -0.012207, -0.011780], [0.011841, 0.999695, -0.023071], [0.012024, 0.022827, 0.999695]]",0.999878,"[7716, 7632, 7657, 7799]"
35.11113,"[-0.078125, 0.019531, -1.031250]","[0.000000, 0.000001, -0.000001]","[-0.019999, -0.019999, -0.099152]","[0.000026, 0.000050, -0.000036]","[0.008057, -0.022461, -0.012939]","[-0.011200, 0.004120, -0.006409, 0.999908]","[-0.000214, -0.000732, -0.005859, 0.999969]","[0.031982, 0.010498, -0.076904]","[[0.999878, -0.012939, -0.008057], [0.012695, 0.999634, -0.022461], [0.008301, 0.022339, 0.999695]]",0.999878,"[7724, 7667, 7608, 7724]"
35.113075,"[-0.078125, 0.019531, -1.019531]","[0.000000, 0.000001, -0.000001]","[-0.009998, -0.019999, -0.064941]","[0.000026, 0.000050, -0.000036]","[0.007568, -0.021973, -0.012695]","[-0.011017, 0.003937, -0.006378, 0.999939]","[-0.000214, -0.000244, -0.005859, 0.999969]","[-0.005859, -0.136719, 0.046875]","[[0.999939, -0.012878, -0.007690], [0.012634, 0.999756, -0.022095], [0.007935, 0.021973, 0.999817]]",0.999939,"[7739, 7657, 7583, 7709]"
35.144333,"[-0.066406, 0.019531, -1.019531]","[0.000003, 0.000006, -0.000004]","[0.009998, -0.029999, -0.070345]","[0.000124, 0.000241, -0.000176]","[0.006836, -0.021484, -0.013428]","[-0.010742, 0.003510, -0.006683, 0.999939]","[0.000336, 0.001465, -0.005859, 0.999969]","[0.045166, 0.141846, 0.054932]","[[0.999939, -0.013489, -0.006836], [0.013245, 0.999756, -0.021545], [0.007080, 0.021423, 0.999817]]",0.999939,"[7796, 7694, 7648, 7767]"
35.275192,"[-0.078125, 0.019531, -1.015625]","[0.000123, 0.000241, -0.000176]","[-0.009998, -0.019999, 0.018280]","[0.002300, 0.004510, -0.003295]","[0.004395, -0.020752, -0.018799]","[-0.010406, 0.002319, -0.009460, 0.999908]","[-0.000092, -0.000122, -0.005829, 0.999969]","[0.201904, -0.039307, -0.042969]","[[0.999817, -0.018982, -0.004395], [0.018860, 0.999634, -0.020874], [0.004761, 0.020752, 0.999756]]",0.999817,"[7863, 7809, 7744, 7903]"
35.277138,"[-0.066406, 0.019531, -0.996094]","[0.000123, 0.000241, -0.000176]","[-0.009998, -0.029999, 0.072197]","[0.002300, 0.004510, -0.003295]","[0.005615, -0.021484, -0.018799]","[-0.010773, 0.002960, -0.009430, 0.999908]","[0.000336, 0.000610, -0.005859, 0.999969]","[-0.039551, 0.020752, -0.039062]","[[0.999817, -0.018982, -0.005676], [0.018738, 0.999634, -0.021606], [0.006042, 0.021484, 0.999756]]",0.999817,"[7891, 7815, 7758, 7910]"
35.279095,"[-0.078125, 0.007812, -0.996094]","[0.000123, 0.000241, -0.000176]","[0.009998, -0.029999, 0.073902]","[0.002300, 0.004510, -0.003295]","[0.004883, -0.021240, -0.018799]","[-0.010590, 0.002625, -0.009460, 0.999908]","[0.000946, 0.000854, -0.005859, 0.999969]","[0.240967, -0.363281, -0.061523]","[[0.999817, -0.018982, -0.005005], [0.018860, 0.999634, -0.021240], [0.005371, 0.021118, 0.999756]]",0.999817,"[7905, 7832, 7750, 7897]"
35.339642,"[-0.078125, 0.019531, -0.992188]","[0.000327, 0.000642, -0.000469]","[-0.009998, -0.009998, 0.147520]","[0.004893, 0.009634, -0.007039]","[0.004639, -0.021973, -0.021484]","[-0.011017, 0.002502, -0.010712, 0.999878]","[-0.000458, -0.000122, -0.005859, 0.999969]","[0.184082, -0.528564, -0.083252]","[[0.999695, -0.021484, -0.004761], [0.021362, 0.999512, -0.022095], [0.005127, 0.021973, 0.999695]]",0.999695,"[7952, 7871, 7823, 7997]"
35.345505,"[-0.078125, 0.019531, -0.976562]","[0.000327, 0.000642, -0.000469]","[0.000000, -0.029999, 0.233450]","[0.004893, 0.009634, -0.007039]","[0.005615, -0.021973, -0.021484]","[-0.010986, 0.003021, -0.010712, 0.999878]","[0.000458, 0.000366, -0.005859, 0.999969]","[0.002930, 0.107910, -0.007812]","[[0.999695, -0.021545, -0.005798], [0.021301, 0.999512, -0.022095], [0.006165, 0.021851, 0.999695]]",0.999695,"[7948, 7872, 7842, 8004]"
35.3787,"[-0.066406, 0.019531, -0.976562]","[0.000566, 0.001113, -0.000813]","[0.000000, -0.019999, 0.084505]","[0.007449, 0.014706, -0.010744]","[0.003906, -0.020996, -0.022217]","[-0.010468, 0.002167, -0.011108, 0.999878]","[0.000092, 0.001099, -0.005859, 0.999969]","[0.326416, -0.537109, -0.083740]","[[0.999695, -0.022278, -0.004089], [0.022156, 0.999512, -0.020996], [0.004456, 0.020874, 0.999756]]",0.999695,"[8008, 7918, 7926, 8083]"
