t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
45.638897,"[-0.066406, 0.398438, -0.968750]","[0.000000, -0.000000, -0.000000]","[-0.029999, -0.009998, 0.097170]","[0.000000, -0.000001, -0.000001]","[0.018066, -0.014404, 0.123291]","[-0.007812, 0.008606, 0.061737, 0.998047]","[-0.000427, -0.001068, 0.058289, 0.998291]","[0.134766, -0.141846, 0.038574]","[[0.992310, 0.123047, -0.018127], [-0.123413, 0.992310, -0.014587], [0.016174, 0.016663, 0.999756]]",0.99231,"[7924, 7922, 7896, 7758]"
45.660381,"[-0.058594, 0.398438, -0.972656]","[0.000000, -0.000000, -0.000000]","[0.009998, 0.000000, 0.061705]","[0.000000, -0.000004, -0.000002]","[0.010742, -0.011719, 0.126465]","[-0.006165, 0.005035, 0.063293, 0.997986]","[-0.000793, 0.000885, 0.058289, 0.998291]","[0.284668, -0.526611, 0.132324]","[[0.992004, 0.126160, -0.010803], [-0.126404, 0.991943, -0.011719], [0.009216, 0.012939, 0.999939]]",0.992004,"[7996, 8006, 7843, 7672]"
45.693584,"[-0.058594, 0.398438, -0.968750]","[0.000000, -0.000000, -0.000000]","[-0.019999, 0.000000, 0.129993]","[0.000001, -0.000009, -0.000005]","[0.002686, -0.006592, 0.130371]","[-0.003357, 0.001160, 0.065277, 0.997864]","[-0.000732, -0.000427, 0.058289, 0.998291]","[0.221436, 0.127197, 0.109375]","[[0.991455, 0.130188, -0.002747], [-0.130310, 0.991455, -0.006592], [0.001770, 0.006836, 0.999939]]",0.991455,"[8022, 8078, 7868, 7613]"
45.726791,"[-0.058594, 0.398438, -0.964844]","[0.000000, -0.000001, -0.000000]","[0.000000, 0.000000, 0.124500]","[0.000003, -0.000033, -0.000018]","[-0.001709, -0.004150, 0.135010]","[-0.002014, -0.001068, 0.067596, 0.997711]","[-0.000702, 0.000275, 0.058289, 0.998291]","[0.129395, -0.329102, 0.139160]","[[0.990845, 0.134827, 0.001831], [-0.134827, 0.990845, -0.004211], [-0.002441, 0.003845, 0.999939]]",0.990845,"[8025, 8023, 7914, 7748]"
45.759998,"[-0.058594, 0.398438, -0.964844]","[0.000000, -0.000003, -0.000002]","[-0.019999, 0.000000, 0.164806]","[0.000008, -0.000087, -0.000047]","[-0.005859, -0.001953, 0.139893]","[-0.000793, -0.002991, 0.069946, 0.997559]","[-0.000763, -0.000671, 0.058289, 0.998291]","[-0.095947, -0.376465, 0.189697]","[[0.990234, 0.139526, 0.005859], [-0.139526, 0.990234, -0.002014], [-0.006104, 0.001160, 1.000000]]",0.990234,"[8039, 8023, 7957, 7744]"
45.793201,"[-0.066406, 0.398438, -0.960938]","[0.000000, -0.000005, -0.000003]","[0.009998, 0.009998, 0.197510]","[0.000012, -0.000131, -0.000071]","[-0.009277, -0.001221, 0.144287]","[-0.000336, -0.004730, 0.072144, 0.997406]","[-0.001190, 0.000427, 0.058289, 0.998291]","[0.207031, -0.191895, 0.158203]","[[0.989624, 0.143860, 0.009399], [-0.143860, 0.989624, -0.001404], [-0.009521, -0.000061, 1.000000]]",0.989624,"[8114, 8025, 7939, 7753]"
45.826405,"[-0.058594, 0.398438, -0.953125]","[0.000001, -0.000013, -0.000007]","[0.039999, 0.029999, 0.237461]","[0.000024, -0.000266, -0.000143]","[-0.011963, -0.000488, 0.149170]","[0.000183, -0.006073, 0.074554, 0.997223]","[-0.002045, 0.002319, 0.058319, 0.998291]","[0.070312, -0.114746, 0.091309]","[[0.988892, 0.148621, 0.012146], [-0.148743, 0.988953, -0.000610], [-0.012146, -0.001221, 1.000000]]",0.988892,"[8131, 8026, 7966, 7763]"
45.861561,"[-0.058594, 0.398438, -0.949219]","[0.000002, -0.000027, -0.000015]","[0.049999, 0.029999, 0.253815]","[0.000043, -0.000481, -0.000259]","[-0.012939, 0.000977, 0.154297]","[0.001038, -0.006500, 0.077148, 0.997009]","[-0.001892, 0.002899, 0.058319, 0.998291]","[-0.025879, 0.013428, 0.174316]","[[0.988037, 0.153748, 0.013123], [-0.153870, 0.988098, 0.000977], [-0.012878, -0.003052, 0.999939]]",0.988037,"[8132, 8027, 8017, 7784]"
45.89476,"[-0.058594, 0.398438, -0.941406]","[0.000005, -0.000052, -0.000028]","[0.039999, 0.039999, 0.292128]","[0.000072, -0.000800, -0.000430]","[-0.014648, 0.001709, 0.159668]","[0.001587, -0.007294, 0.079895, 0.996796]","[-0.002411, 0.002441, 0.058319, 0.998291]","[0.003906, 0.210693, 0.108887]","[[0.987183, 0.159180, 0.014832], [-0.159302, 0.987244, 0.001892], [-0.014343, -0.004333, 0.999939]]",0.987183,"[8128, 8003, 8050, 7790]"
45.927975,"[-0.058594, 0.406250, -0.937500]","[0.000006, -0.000069, -0.000037]","[0.049999, 0.049999, 0.336542]","[0.000091, -0.001007, -0.000540]","[-0.015869, 0.003418, 0.164795]","[0.002472, -0.007782, 0.082397, 0.996582]","[-0.003357, 0.002991, 0.058319, 0.998260]","[-0.020752, -0.068848, 0.184326]","[[0.986328, 0.164124, 0.015930], [-0.164246, 0.986389, 0.003540], [-0.015198, -0.006226, 0.999878]]",0.986328,"[8195, 8103, 8082, 7808]"
45.963116,"[-0.058594, 0.406250, -0.933594]","[0.000011, -0.000118, -0.000064]","[0.070000, 0.059999, 0.281797]","[0.000139, -0.001532, -0.000821]","[-0.016357, 0.002686, 0.170166]","[0.002136, -0.008026, 0.085052, 0.996338]","[-0.003784, 0.003998, 0.058319, 0.998260]","[0.090088, -0.203613, 0.104980]","[[0.985352, 0.169373, 0.016357], [-0.169495, 0.985474, 0.002808], [-0.015747, -0.005615, 0.999817]]",0.985352,"[8189, 8055, 8093, 7825]"
