t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
45.801456,"[0.117188, 0.187500, -0.945312]","[-0.000000, 0.000000, -0.000000]","[-0.009998, 0.000000, 0.059675]","[-0.000000, 0.000001, -0.000000]","[0.004150, -0.018799, 0.060547]","[-0.009430, 0.001892, 0.030365, 0.999512]","[0.000000, 0.000336, 0.026093, 0.999634]","[0.012207, -0.267090, 0.046387]","[[0.998169, 0.060608, -0.004333], [-0.060730, 0.998047, -0.018799], [0.003113, 0.018921, 0.999878]]",0.998169,"[8105, 7869, 7734, 7800]"
45.819035,"[0.128906, 0.187500, -0.941406]","[-0.000000, 0.000000, -0.000000]","[0.000000, 0.009998, 0.083763]","[-0.000000, 0.000001, -0.000000]","[0.000977, -0.018311, 0.062012]","[-0.009247, 0.000305, 0.031158, 0.999481]","[-0.000671, 0.001465, 0.026093, 0.999634]","[-0.027100, -0.100098, 0.093018]","[[0.998047, 0.062195, -0.001160], [-0.062317, 0.997925, -0.018494], [-0.000061, 0.018494, 0.999817]]",0.998047,"[8084, 7894, 7757, 7762]"
45.959667,"[0.128906, 0.199219, -0.933594]","[-0.000000, 0.000003, -0.000002]","[0.009998, 0.009998, 0.157530]","[-0.000005, 0.000065, -0.000035]","[-0.010986, -0.018555, 0.075684]","[-0.009094, -0.005859, 0.037811, 0.999237]","[-0.001282, 0.001740, 0.026093, 0.999634]","[-0.124268, -0.115479, 0.116455]","[[0.997070, 0.075623, 0.010986], [-0.075500, 0.997009, -0.018677], [-0.012451, 0.017700, 0.999756]]",0.99707,"[8161, 7955, 7875, 7875]"
45.961617,"[0.128906, 0.199219, -0.933594]","[-0.000000, 0.000003, -0.000002]","[0.029999, 0.000000, 0.168541]","[-0.000005, 0.000065, -0.000035]","[-0.011230, -0.018066, 0.075684]","[-0.008850, -0.006042, 0.037811, 0.999207]","[-0.000763, 0.002563, 0.026093, 0.999634]","[0.132080, -0.092529, 0.023438]","[[0.996948, 0.075623, 0.011414], [-0.075500, 0.996887, -0.018188], [-0.012756, 0.017212, 0.999634]]",0.996948,"[8145, 7938, 7863, 7867]"
45.98505,"[0.128906, 0.199219, -0.929688]","[-0.000000, 0.000005, -0.000002]","[0.029999, 0.009998, 0.197071]","[-0.000007, 0.000089, -0.000048]","[-0.012207, -0.017822, 0.077393]","[-0.008728, -0.006500, 0.038757, 0.999207]","[-0.001251, 0.002594, 0.026123, 0.999634]","[0.047363, 0.126465, 0.092041]","[[0.996948, 0.077454, 0.012268], [-0.077332, 0.996887, -0.018005], [-0.013733, 0.016907, 0.999817]]",0.996948,"[8159, 7958, 7884, 7896]"
46.033901,"[0.128906, 0.199219, -0.917969]","[-0.000001, 0.000009, -0.000005]","[0.059999, 0.009998, 0.224262]","[-0.000011, 0.000155, -0.000084]","[-0.012451, -0.019043, 0.081787]","[-0.009277, -0.006653, 0.040955, 0.999115]","[-0.001221, 0.004181, 0.026123, 0.999634]","[-0.068359, -0.106445, 0.126709]","[[0.996582, 0.081909, 0.012512], [-0.081665, 0.996521, -0.019104], [-0.014099, 0.018005, 0.999756]]",0.996582,"[8174, 7957, 7943, 7946]"
46.051456,"[0.128906, 0.199219, -0.914062]","[-0.000001, 0.000013, -0.000007]","[0.070000, -0.009998, 0.244967]","[-0.000015, 0.000199, -0.000107]","[-0.012695, -0.019043, 0.083252]","[-0.009308, -0.006836, 0.041687, 0.999084]","[-0.000244, 0.004517, 0.026093, 0.999634]","[0.224609, -0.236084, 0.062256]","[[0.996460, 0.083374, 0.012878], [-0.083130, 0.996399, -0.019226], [-0.014465, 0.018005, 0.999756]]",0.99646,"[8204, 7965, 7938, 7938]"
46.178417,"[0.136719, 0.187500, -0.902344]","[-0.000005, 0.000074, -0.000040]","[0.089998, -0.009998, 0.254206]","[-0.000058, 0.000793, -0.000427]","[-0.010986, -0.019287, 0.095703]","[-0.009399, -0.005981, 0.047882, 0.998810]","[0.000519, 0.006195, 0.026093, 0.999634]","[0.192139, -0.187744, 0.088867]","[[0.995361, 0.095703, 0.011047], [-0.095581, 0.995300, -0.019409], [-0.012878, 0.018188, 0.999817]]",0.995361,"[8240, 7975, 7980, 7982]"
46.186222,"[0.148438, 0.187500, -0.898438]","[-0.000005, 0.000074, -0.000040]","[0.099998, 0.009998, 0.264168]","[-0.000058, 0.000793, -0.000427]","[-0.010986, -0.019287, 0.096436]","[-0.009369, -0.005981, 0.048279, 0.998779]","[-0.000397, 0.007202, 0.026093, 0.999603]","[0.116699, -0.163818, 0.055420]","[[0.995239, 0.096497, 0.011047], [-0.096375, 0.995178, -0.019348], [-0.012878, 0.018127, 0.999756]]",0.995239,"[8224, 7980, 8007, 7943]"
46.219425,"[0.148438, 0.187500, -0.890625]","[-0.000008, 0.000110, -0.000060]","[0.099998, 0.000000, 0.279428]","[-0.000079, 0.001085, -0.000585]","[-0.009766, -0.019287, 0.099609]","[-0.009460, -0.005463, 0.049896, 0.998688]","[0.000061, 0.007324, 0.026093, 0.999603]","[-0.032471, 0.241943, 0.113281]","[[0.994873, 0.099670, 0.009949], [-0.099548, 0.994751, -0.019470], [-0.011902, 0.018372, 0.999695]]",0.994873,"[8287, 7982, 7990, 7920]"
46.254581,"[0.156250, 0.187500, -0.882812]","[-0.000012, 0.000160, -0.000086]","[0.129999, 0.000000, 0.293766]","[-0.000105, 0.001447, -0.000780]","[-0.008301, -0.019287, 0.103271]","[-0.009460, -0.004669, 0.051697, 0.998627]","[0.000122, 0.009369, 0.026093, 0.999603]","[0.145752, -0.130371, 0.101074]","[[0.994629, 0.103271, 0.008301], [-0.103149, 0.994507, -0.019409], [-0.010376, 0.018433, 0.999817]]",0.994629,"[8268, 7978, 8034, 7994]"
46.287785,"[0.156250, 0.187500, -0.875000]","[-0.000014, 0.000190, -0.000102]","[0.119999, 0.009998, 0.324394]","[-0.000120, 0.001656, -0.000893]","[-0.005859, -0.019775, 0.106689]","[-0.009674, -0.003510, 0.053314, 0.998535]","[-0.000366, 0.009033, 0.026093, 0.999603]","[-0.147705, 0.327148, 0.093750]","[[0.994324, 0.106506, 0.005981], [-0.106384, 0.994141, -0.019775], [-0.008057, 0.018921, 0.999817]]",0.994324,"[8272, 7965, 8020, 7974]"
46.43037,"[0.179688, 0.199219, -0.855469]","[-0.000045, 0.000624, -0.000337]","[0.160000, 0.000000, 0.330669]","[-0.000298, 0.004173, -0.002253]","[-0.001709, -0.018311, 0.119141]","[-0.009094, -0.001404, 0.059631, 0.998169]","[-0.000397, 0.012573, 0.026093, 0.999573]","[-0.177490, 0.233887, 0.115234]","[[0.992798, 0.119019, 0.001709], [-0.119019, 0.992676, -0.018372], [-0.003906, 0.018005, 0.999756]]",0.992798,"[8297, 7999, 8089, 8014]"
46.43232,"[0.179688, 0.199219, -0.851562]","[-0.000045, 0.000624, -0.000337]","[0.179998, 0.000000, 0.331844]","[-0.000298, 0.004173, -0.002253]","[-0.001709, -0.018311, 0.119385]","[-0.009094, -0.001465, 0.059723, 0.998169]","[-0.000366, 0.013550, 0.026093, 0.999542]","[0.012207, -0.105957, 0.088135]","[[0.992798, 0.119202, 0.001831], [-0.119202, 0.992676, -0.018372], [-0.004028, 0.018005, 0.999756]]",0.992798,"[8307, 8011, 8082, 8017]"
46.584667,"[0.187500, 0.199219, -0.832031]","[-0.000113, 0.001592, -0.000860]","[0.169998, -0.009998, 0.325745]","[-0.000602, 0.008576, -0.004632]","[0.008057, -0.017822, 0.130371]","[-0.009155, 0.003448, 0.065216, 0.997833]","[0.000092, 0.013916, 0.026093, 0.999542]","[0.219238, -0.007324, 0.069336]","[[0.991455, 0.130005, -0.008057], [-0.130249, 0.991333, -0.017883], [0.005615, 0.018738, 0.999817]]",0.991455,"[8325, 7975, 8123, 8025]"
46.586632,"[0.199219, 0.199219, -0.828125]","[-0.000113, 0.001592, -0.000860]","[0.199999, 0.000000, 0.334278]","[-0.000602, 0.008576, -0.004632]","[0.008545, -0.017578, 0.130371]","[-0.009094, 0.003754, 0.065247, 0.997833]","[-0.000305, 0.016235, 0.026093, 0.999512]","[0.062744, 0.314697, 0.074219]","[[0.991455, 0.130066, -0.008667], [-0.130310, 0.991333, -0.017700], [0.006226, 0.018677, 0.999817]]",0.991455,"[8329, 7969, 8106, 8012]"
46.590519,"[0.218750, 0.199219, -0.824219]","[-0.000113, 0.001592, -0.000860]","[0.230000, -0.009998, 0.332533]","[-0.000602, 0.008576, -0.004632]","[0.008545, -0.017822, 0.130859]","[-0.009125, 0.003693, 0.065491, 0.997803]","[0.000244, 0.018768, 0.026093, 0.999481]","[0.076172, -0.297363, 0.105713]","[[0.991333, 0.130554, -0.008545], [-0.130798, 0.991211, -0.017822], [0.006104, 0.018677, 0.999756]]",0.991333,"[8289, 7975, 8116, 8027]"
46.737007,"[0.218750, 0.199219, -0.792969]","[-0.000221, 0.003139, -0.001695]","[0.189999, -0.009998, 0.401947]","[-0.000995, 0.014386, -0.007777]","[0.018311, -0.016357, 0.138916]","[-0.008850, 0.008575, 0.069519, 0.997498]","[0.000305, 0.017426, 0.026093, 0.999481]","[-0.112549, 0.231689, 0.031738]","[[0.990112, 0.138489, -0.018372], [-0.138855, 0.990112, -0.016541], [0.015808, 0.018860, 0.999634]]",0.990112,"[8339, 7998, 8183, 8080]"
46.738956,"[0.238281, 0.187500, -0.792969]","[-0.000241, 0.003430, -0.001853]","[0.189999, 0.000000, 0.401947]","[-0.001062, 0.015385, -0.008318]","[0.018311, -0.016357, 0.138916]","[-0.008850, 0.008575, 0.069519, 0.997498]","[0.000580, 0.018524, 0.026093, 0.999481]","[-0.112549, 0.231689, 0.031738]","[[0.990112, 0.138489, -0.018372], [-0.138855, 0.990112, -0.016541], [0.015808, 0.018860, 0.999634]]",0.990112,"[8338, 8005, 8163, 8076]"
46.758492,"[0.250000, 0.187500, -0.785156]","[-0.000263, 0.003741, -0.002021]","[0.219999, 0.000000, 0.427082]","[-0.001131, 0.016429, -0.008883]","[0.018311, -0.015625, 0.139648]","[-0.008392, 0.008667, 0.069916, 0.997498]","[0.000641, 0.020844, 0.026062, 0.999420]","[-0.042969, 0.198730, -0.001709]","[[0.990112, 0.139282, -0.018494], [-0.139648, 0.990112, -0.015625], [0.016052, 0.017944, 0.999756]]",0.990112,"[8332, 8021, 8204, 8103]"
46.852238,"[0.269531, 0.199219, -0.761719]","[-0.000363, 0.005200, -0.002810]","[0.230000, -0.009998, 0.411726]","[-0.001437, 0.021066, -0.011395]","[0.022217, -0.014404, 0.142090]","[-0.007935, 0.010559, 0.071167, 0.997375]","[0.000580, 0.022797, 0.026062, 0.999390]","[0.090576, -0.003662, -0.000488]","[[0.989624, 0.141724, -0.022217], [-0.142090, 0.989685, -0.014404], [0.019897, 0.017334, 0.999573]]",0.989624,"[8364, 8064, 8216, 8086]"
46.856148,"[0.277344, 0.199219, -0.761719]","[-0.000392, 0.005624, -0.003039]","[0.199999, 0.000000, 0.416636]","[-0.001520, 0.022344, -0.012088]","[0.022217, -0.014404, 0.142334]","[-0.007996, 0.010590, 0.071228, 0.997375]","[0.000061, 0.021973, 0.026093, 0.999390]","[-0.120605, 0.100830, 0.060303]","[[0.989624, 0.141846, -0.022278], [-0.142212, 0.989685, -0.014526], [0.019958, 0.017456, 0.999634]]",0.989624,"[8377, 8048, 8206, 8069]"
46.891304,"[0.277344, 0.199219, -0.750000]","[-0.000422, 0.006073, -0.003282]","[0.189999, -0.009998, 0.417452]","[-0.001607, 0.023671, -0.012807]","[0.024414, -0.013428, 0.143066]","[-0.007629, 0.011810, 0.071594, 0.997345]","[0.000671, 0.021576, 0.026062, 0.999420]","[-0.005859, -0.024414, 0.009521]","[[0.989441, 0.142578, -0.024597], [-0.142944, 0.989624, -0.013611], [0.022400, 0.016907, 0.999573]]",0.989441,"[8372, 8062, 8209, 8094]"
46.92255,"[0.277344, 0.199219, -0.742188]","[-0.000488, 0.007052, -0.003812]","[0.209999, -0.009998, 0.407280]","[-0.001788, 0.026473, -0.014327]","[0.026123, -0.014404, 0.143799]","[-0.008179, 0.012604, 0.072021, 0.997314]","[0.000702, 0.022552, 0.026062, 0.999390]","[-0.018066, 0.183350, 0.030029]","[[0.989380, 0.143372, -0.026306], [-0.143860, 0.989563, -0.014587], [0.023865, 0.018127, 0.999573]]",0.98938,"[8401, 8028, 8199, 8125]"
46.955753,"[0.289062, 0.199219, -0.730469]","[-0.000562, 0.008144, -0.004403]","[0.199999, 0.000000, 0.402584]","[-0.001982, 0.029478, -0.015958]","[0.027344, -0.014404, 0.144775]","[-0.008179, 0.013184, 0.072540, 0.997253]","[0.000336, 0.023041, 0.026062, 0.999390]","[-0.017090, -0.116943, 0.055176]","[[0.989136, 0.144409, -0.027466], [-0.144897, 0.989319, -0.014465], [0.025024, 0.018250, 0.999512]]",0.989136,"[8399, 8052, 8196, 8125]"
46.990917,"[0.296875, 0.187500, -0.722656]","[-0.000602, 0.008735, -0.004723]","[0.209999, -0.009998, 0.387922]","[-0.002083, 0.031058, -0.016815]","[0.027832, -0.012207, 0.145508]","[-0.007141, 0.013489, 0.072815, 0.997253]","[0.001709, 0.024109, 0.026031, 0.999359]","[0.101807, 0.045654, 0.080078]","[[0.989075, 0.144958, -0.027954], [-0.145447, 0.989319, -0.012329], [0.025757, 0.016235, 0.999573]]",0.989075,"[8372, 8109, 8222, 8063]"
47.02412,"[0.296875, 0.187500, -0.714844]","[-0.000687, 0.010013, -0.005415]","[0.189999, 0.000000, 0.438730]","[-0.002293, 0.034374, -0.018615]","[0.028564, -0.013428, 0.145752]","[-0.007721, 0.013763, 0.073029, 0.997223]","[0.001343, 0.023407, 0.026062, 0.999359]","[-0.076416, 0.132324, -0.031006]","[[0.988953, 0.145386, -0.028564], [-0.145874, 0.989258, -0.013489], [0.026245, 0.017395, 0.999512]]",0.988953,"[8449, 8066, 8199, 8123]"
47.057316,"[0.308594, 0.187500, -0.707031]","[-0.000781, 0.011423, -0.006179]","[0.169998, -0.009998, 0.445925]","[-0.002515, 0.037901, -0.020530]","[0.030029, -0.012207, 0.145752]","[-0.007141, 0.014587, 0.073029, 0.997192]","[0.001801, 0.023010, 0.026031, 0.999390]","[-0.018066, 0.060059, 0.033203]","[[0.988831, 0.145386, -0.030151], [-0.145874, 0.989136, -0.012207], [0.027954, 0.016357, 0.999390]]",0.988831,"[8396, 8079, 8235, 8101]"
47.090523,"[0.316406, 0.187500, -0.699219]","[-0.000884, 0.012977, -0.007020]","[0.179998, -0.009998, 0.459887]","[-0.002748, 0.041643, -0.022563]","[0.031250, -0.012939, 0.145752]","[-0.007568, 0.015198, 0.072998, 0.997192]","[0.001953, 0.024353, 0.026031, 0.999359]","[0.038330, 0.093506, -0.054199]","[[0.988831, 0.145325, -0.031433], [-0.145813, 0.989197, -0.012939], [0.029114, 0.017334, 0.999390]]",0.988831,"[8442, 8092, 8234, 8172]"
47.125675,"[0.316406, 0.187500, -0.695312]","[-0.000939, 0.013809, -0.007471]","[0.199999, 0.000000, 0.438143]","[-0.002869, 0.043594, -0.023623]","[0.032227, -0.011963, 0.145020]","[-0.007111, 0.015656, 0.072632, 0.997192]","[0.001617, 0.025452, 0.026031, 0.999329]","[0.071289, 0.018555, -0.018555]","[[0.988831, 0.144592, -0.032227], [-0.145081, 0.989258, -0.011963], [0.030151, 0.016479, 0.999268]]",0.988831,"[8423, 8130, 8236, 8156]"
47.158878,"[0.328125, 0.187500, -0.691406]","[-0.001055, 0.015590, -0.008437]","[0.160000, -0.009998, 0.454710]","[-0.003119, 0.047660, -0.025833]","[0.032959, -0.011719, 0.144043]","[-0.007080, 0.016022, 0.072144, 0.997223]","[0.002075, 0.024353, 0.026031, 0.999359]","[0.058594, -0.071289, -0.020752]","[[0.988953, 0.143616, -0.032959], [-0.144104, 0.989380, -0.011902], [0.030884, 0.016418, 0.999268]]",0.988953,"[8441, 8124, 8206, 8180]"
47.192081,"[0.339844, 0.187500, -0.683594]","[-0.001182, 0.017535, -0.009491]","[0.209999, -0.009998, 0.428267]","[-0.003380, 0.051945, -0.028164]","[0.033936, -0.011230, 0.143311]","[-0.006836, 0.016510, 0.071808, 0.997253]","[0.002533, 0.027527, 0.026001, 0.999268]","[-0.014893, 0.089111, -0.000488]","[[0.989075, 0.142944, -0.033936], [-0.143433, 0.989502, -0.011353], [0.031860, 0.015991, 0.999268]]",0.989075,"[8425, 8114, 8237, 8168]"
47.229191,"[0.339844, 0.187500, -0.679688]","[-0.001320, 0.019651, -0.010638]","[0.139999, 0.000000, 0.398108]","[-0.003652, 0.056448, -0.030614]","[0.034424, -0.010742, 0.142334]","[-0.006622, 0.016785, 0.071289, 0.997284]","[0.002075, 0.024231, 0.026031, 0.999359]","[0.085693, 0.109375, -0.064453]","[[0.989197, 0.141907, -0.034424], [-0.142395, 0.989685, -0.010864], [0.032471, 0.015625, 0.999268]]",0.989197,"[8458, 8145, 8209, 8161]"
47.258503,"[0.347656, 0.187500, -0.675781]","[-0.001392, 0.020777, -0.011249]","[0.150000, -0.009998, 0.390209]","[-0.003792, 0.058783, -0.031885]","[0.035156, -0.010010, 0.141602]","[-0.006287, 0.017181, 0.070862, 0.997314]","[0.002838, 0.025421, 0.026001, 0.999329]","[-0.036621, 0.118408, -0.038818]","[[0.989319, 0.141052, -0.035156], [-0.141541, 0.989807, -0.010193], [0.033325, 0.014954, 0.999268]]",0.989319,"[8403, 8155, 8266, 8151]"
