t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
70.584541,"[-0.199219, 0.347656, -0.777344]","[-0.000000, 0.000000, -0.000000]","[0.000000, 0.009998, 0.089466]","[-0.000013, 0.000003, -0.000002]","[0.011719, -0.012695, 0.215332]","[-0.006958, 0.005219, 0.107605, 0.994141]","[-0.001190, 0.000122, 0.101624, 0.994812]","[0.142090, -0.246094, 0.248047]","[[0.976685, 0.213806, -0.011841], [-0.214050, 0.976624, -0.012756], [0.008789, 0.014954, 0.999756]]",0.976685,"[8085, 7964, 7974, 7829]"
70.686104,"[-0.199219, 0.347656, -0.773438]","[-0.000020, 0.000004, -0.000003]","[0.009998, 0.019999, 0.196350]","[-0.000619, 0.000115, -0.000093]","[-0.004150, -0.006104, 0.238525]","[-0.002777, -0.002502, 0.119080, 0.992859]","[-0.001495, 0.000763, 0.101624, 0.994812]","[0.228760, -0.179199, 0.278320]","[[0.971497, 0.236450, 0.004333], [-0.236450, 0.971497, -0.006165], [-0.005676, 0.004944, 0.999817]]",0.971497,"[8133, 8009, 7989, 7803]"
70.754456,"[-0.199219, 0.347656, -0.765625]","[-0.000141, 0.000026, -0.000021]","[0.019999, 0.039999, 0.282585]","[-0.002893, 0.000535, -0.000436]","[-0.008301, -0.005127, 0.254150]","[-0.001984, -0.004456, 0.126831, 0.991913]","[-0.002411, 0.001465, 0.101624, 0.994812]","[-0.015869, -0.395752, 0.281738]","[[0.967773, 0.251587, 0.008301], [-0.251587, 0.967773, -0.005127], [-0.009399, 0.002808, 0.999939]]",0.967773,"[8197, 7995, 8071, 7822]"
70.820862,"[-0.199219, 0.347656, -0.753906]","[-0.000410, 0.000076, -0.000062]","[0.029999, 0.039999, 0.299978]","[-0.006647, 0.001220, -0.001005]","[-0.010254, -0.004150, 0.270264]","[-0.001404, -0.005432, 0.134766, 0.990875]","[-0.002350, 0.002197, 0.101624, 0.994812]","[-0.004150, -0.103027, 0.169434]","[[0.963623, 0.267029, 0.010376], [-0.267029, 0.963623, -0.004272], [-0.011230, 0.001343, 0.999939]]",0.963623,"[8236, 7979, 8113, 7808]"
70.85408,"[-0.199219, 0.347656, -0.746094]","[-0.000741, 0.000136, -0.000112]","[0.049999, 0.049999, 0.325249]","[-0.010526, 0.001924, -0.001594]","[-0.011963, -0.004395, 0.278076]","[-0.001312, -0.006256, 0.138702, 0.990326]","[-0.002716, 0.003204, 0.101624, 0.994812]","[0.134521, -0.097656, 0.255127]","[[0.961487, 0.274719, 0.012085], [-0.274719, 0.961548, -0.004395], [-0.012817, 0.000854, 0.999939]]",0.961487,"[8279, 7957, 8107, 7824]"
70.887276,"[-0.199219, 0.347656, -0.742188]","[-0.000970, 0.000178, -0.000147]","[0.039999, 0.059999, 0.349451]","[-0.012959, 0.002363, -0.001964]","[-0.011719, -0.002930, 0.286133]","[-0.000671, -0.006042, 0.142670, 0.989746]","[-0.003387, 0.002777, 0.101624, 0.994781]","[-0.004883, -0.044434, 0.282715]","[[0.959167, 0.282410, 0.011719], [-0.282410, 0.959229, -0.003113], [-0.012207, -0.000427, 0.999817]]",0.959167,"[8281, 7987, 8175, 7817]"
70.922424,"[-0.187500, 0.359375, -0.730469]","[-0.001588, 0.000291, -0.000240]","[0.059999, 0.059999, 0.377115]","[-0.018951, 0.003438, -0.002876]","[-0.011719, -0.002930, 0.294678]","[-0.000641, -0.006073, 0.146881, 0.989105]","[-0.003937, 0.004547, 0.101624, 0.994781]","[-0.005859, -0.012451, 0.283203]","[[0.956604, 0.290527, 0.011780], [-0.290527, 0.956665, -0.003113], [-0.012268, -0.000549, 0.999695]]",0.956604,"[8284, 7984, 8203, 7848]"
70.955627,"[-0.187500, 0.359375, -0.722656]","[-0.002472, 0.000450, -0.000375]","[0.070000, 0.059999, 0.419643]","[-0.026608, 0.004802, -0.004046]","[-0.012207, -0.002686, 0.302246]","[-0.000427, -0.006287, 0.150604, 0.988586]","[-0.003876, 0.005157, 0.101624, 0.994781]","[0.185791, 0.026123, 0.196045]","[[0.954590, 0.297729, 0.012268], [-0.297729, 0.954651, -0.002808], [-0.012634, -0.001099, 0.999939]]",0.95459,"[8338, 8023, 8206, 7831]"
70.988831,"[-0.179688, 0.359375, -0.710938]","[-0.003691, 0.000670, -0.000560]","[0.070000, 0.070000, 0.467121]","[-0.036124, 0.006484, -0.005503]","[-0.011230, -0.002686, 0.309326]","[-0.000458, -0.005798, 0.154114, 0.988037]","[-0.004303, 0.005829, 0.101624, 0.994781]","[-0.031982, 0.211670, 0.210205]","[[0.952393, 0.304504, 0.011292], [-0.304504, 0.952454, -0.002747], [-0.011658, -0.000916, 0.999878]]",0.952393,"[8374, 8037, 8252, 7870]"
71.023987,"[-0.179688, 0.359375, -0.699219]","[-0.004450, 0.000806, -0.000676]","[0.089998, 0.089998, 0.497955]","[-0.041636, 0.007453, -0.006348]","[-0.010498, -0.002197, 0.316895]","[-0.000275, -0.005402, 0.157867, 0.987457]","[-0.005157, 0.007019, 0.101654, 0.994751]","[0.120850, -0.221680, 0.190674]","[[0.950134, 0.311768, 0.010559], [-0.311768, 0.950134, -0.002258], [-0.010803, -0.001160, 0.999939]]",0.950134,"[8376, 8036, 8295, 7890]"
