t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
37.315056,"[-0.296875, 0.398438, -0.843750]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.009998, -0.047892]","[-0.000001, 0.000003, -0.000001]","[0.021484, -0.020752, 0.115967]","[-0.011047, 0.010101, 0.058167, 0.998199]","[-0.001282, 0.000793, 0.054657, 0.998474]","[0.217041, -0.255371, 0.177246]","[[0.992981, 0.115845, -0.021484], [-0.116333, 0.992981, -0.020935], [0.018799, 0.023254, 0.999512]]",0.992981,"[7778, 7688, 7699, 7623]"
37.326771,"[-0.296875, 0.398438, -0.843750]","[-0.000000, 0.000000, -0.000000]","[0.019999, 0.000000, -0.025309]","[-0.000001, 0.000003, -0.000001]","[0.016602, -0.016846, 0.117920]","[-0.008942, 0.007782, 0.059052, 0.998199]","[-0.000763, 0.001251, 0.054657, 0.998474]","[0.476807, -0.616699, 0.092529]","[[0.992920, 0.117676, -0.016602], [-0.118042, 0.992859, -0.016968], [0.014404, 0.018799, 0.999756]]",0.99292,"[7763, 7759, 7688, 7512]"
37.387329,"[-0.289062, 0.398438, -0.839844]","[-0.000001, 0.000002, -0.000001]","[0.029999, 0.000000, 0.062462]","[-0.000039, 0.000092, -0.000031]","[0.000000, -0.004150, 0.125977]","[-0.002136, -0.000214, 0.063049, 0.998016]","[-0.000610, 0.002106, 0.054657, 0.998474]","[0.178223, -0.205322, 0.151611]","[[0.992065, 0.125793, 0.000122], [-0.125793, 0.992065, -0.004333], [-0.000732, 0.004211, 1.000000]]",0.992065,"[7873, 7995, 7739, 7438]"
37.420525,"[-0.289062, 0.398438, -0.839844]","[-0.000004, 0.000010, -0.000003]","[0.039999, 0.000000, 0.129770]","[-0.000142, 0.000340, -0.000114]","[-0.004883, 0.000000, 0.130859]","[0.000122, -0.002441, 0.065491, 0.997864]","[-0.000580, 0.002716, 0.054657, 0.998474]","[-0.006836, -0.220703, 0.163818]","[[0.991455, 0.130615, 0.004883], [-0.130737, 0.991455, -0.000183], [-0.004883, -0.000549, 1.000000]]",0.991455,"[7933, 7997, 7831, 7541]"
37.455681,"[-0.289062, 0.398438, -0.832031]","[-0.000014, 0.000032, -0.000011]","[0.039999, 0.019999, 0.156363]","[-0.000373, 0.000892, -0.000299]","[-0.008301, 0.002441, 0.136230]","[0.001556, -0.004089, 0.068146, 0.997650]","[-0.001556, 0.002747, 0.054657, 0.998474]","[0.250000, -0.277100, 0.089355]","[[0.990601, 0.135864, 0.008362], [-0.135986, 0.990601, 0.002441], [-0.007996, -0.003662, 0.999878]]",0.990601,"[7997, 7955, 7888, 7669]"
37.48888,"[-0.289062, 0.398438, -0.828125]","[-0.000023, 0.000054, -0.000018]","[0.039999, 0.029999, 0.221218]","[-0.000557, 0.001332, -0.000446]","[-0.011230, 0.005615, 0.140625]","[0.003296, -0.005493, 0.070312, 0.997498]","[-0.002045, 0.002777, 0.054657, 0.998474]","[0.017090, -0.030273, 0.136230]","[[0.989990, 0.140198, 0.011414], [-0.140320, 0.989990, 0.005737], [-0.010559, -0.007324, 0.999878]]",0.98999,"[7970, 7990, 7944, 7625]"
37.55529,"[-0.289062, 0.398438, -0.820312]","[-0.000113, 0.000270, -0.000091]","[0.059999, 0.039999, 0.227921]","[-0.001965, 0.004704, -0.001576]","[-0.015625, 0.009033, 0.150146]","[0.005188, -0.007477, 0.075134, 0.997131]","[-0.002350, 0.003906, 0.054657, 0.998474]","[0.445312, -0.314453, 0.181885]","[[0.988525, 0.149658, 0.015686], [-0.149902, 0.988586, 0.009155], [-0.014221, -0.011475, 0.999756]]",0.988525,"[8071, 8035, 7989, 7749]"
37.559196,"[-0.289062, 0.398438, -0.816406]","[-0.000113, 0.000270, -0.000091]","[0.070000, 0.049999, 0.232025]","[-0.001965, 0.004704, -0.001576]","[-0.015381, 0.009521, 0.150635]","[0.005402, -0.007355, 0.075439, 0.997131]","[-0.002808, 0.004303, 0.054657, 0.998474]","[-0.059326, 0.028564, 0.129883]","[[0.988525, 0.150269, 0.015503], [-0.150513, 0.988586, 0.009583], [-0.013916, -0.011902, 0.999878]]",0.988525,"[8049, 8017, 8018, 7748]"
37.596306,"[-0.277344, 0.398438, -0.808594]","[-0.000213, 0.000509, -0.000171]","[0.080000, 0.059999, 0.221603]","[-0.003212, 0.007687, -0.002577]","[-0.018066, 0.011963, 0.156494]","[0.006744, -0.008514, 0.078278, 0.996887]","[-0.003204, 0.005676, 0.054657, 0.998474]","[-0.122803, 0.197266, 0.147949]","[[0.987610, 0.155945, 0.018066], [-0.156189, 0.987671, 0.012085], [-0.015991, -0.014771, 0.999756]]",0.98761,"[8070, 8084, 8032, 7659]"
37.656849,"[-0.269531, 0.406250, -0.792969]","[-0.000476, 0.001140, -0.000382]","[0.109999, 0.099998, 0.148262]","[-0.005983, 0.014325, -0.004804]","[-0.018555, 0.014160, 0.163818]","[0.007935, -0.008728, 0.082001, 0.996552]","[-0.005554, 0.007751, 0.054688, 0.998444]","[0.288818, -0.488525, 0.150146]","[[0.986328, 0.163208, 0.018738], [-0.163574, 0.986328, 0.014343], [-0.016174, -0.017273, 0.999634]]",0.986328,"[8031, 8040, 8049, 7683]"
37.690071,"[-0.269531, 0.406250, -0.789062]","[-0.000758, 0.001815, -0.000608]","[0.109999, 0.089998, 0.142860]","[-0.008545, 0.020460, -0.006863]","[-0.018066, 0.015869, 0.168213]","[0.008759, -0.008301, 0.084229, 0.996368]","[-0.005066, 0.007843, 0.054688, 0.998444]","[0.276123, -0.005371, 0.212402]","[[0.985596, 0.167603, 0.018066], [-0.167969, 0.985596, 0.015991], [-0.015137, -0.018799, 0.999634]]",0.985596,"[8069, 8062, 8071, 7657]"
37.723259,"[-0.257812, 0.406250, -0.777344]","[-0.000940, 0.002249, -0.000754]","[0.139999, 0.129999, 0.128780]","[-0.010067, 0.024107, -0.008087]","[-0.016113, 0.012939, 0.172119]","[0.007202, -0.007477, 0.086090, 0.996246]","[-0.006744, 0.010254, 0.054718, 0.998413]","[-0.236084, 0.190674, 0.125000]","[[0.985046, 0.171387, 0.016174], [-0.171631, 0.985046, 0.013000], [-0.013733, -0.015686, 0.999756]]",0.985046,"[8066, 8042, 8074, 7707]"
37.756458,"[-0.269531, 0.417969, -0.773438]","[-0.001400, 0.003352, -0.001124]","[0.119999, 0.109999, 0.116083]","[-0.013637, 0.032659, -0.010960]","[-0.015137, 0.011230, 0.175781]","[0.006287, -0.007080, 0.087952, 0.996094]","[-0.006592, 0.008667, 0.054688, 0.998413]","[-0.090332, -0.105469, 0.200684]","[[0.984436, 0.175049, 0.015259], [-0.175293, 0.984436, 0.011230], [-0.013062, -0.013794, 0.999817]]",0.984436,"[8089, 8015, 8068, 7755]"
37.78968,"[-0.250000, 0.429688, -0.761719]","[-0.002015, 0.004824, -0.001618]","[0.129999, 0.139999, 0.148300]","[-0.017954, 0.043006, -0.014437]","[-0.013428, 0.010254, 0.179688]","[0.005768, -0.006317, 0.089783, 0.995941]","[-0.008453, 0.010590, 0.054718, 0.998383]","[-0.015381, -0.033936, 0.179443]","[[0.983826, 0.178711, 0.013611], [-0.178955, 0.983826, 0.010315], [-0.011658, -0.012634, 0.999878]]",0.983826,"[8111, 8021, 8089, 7765]"
37.822868,"[-0.250000, 0.429688, -0.750000]","[-0.002813, 0.006737, -0.002261]","[0.169998, 0.150000, 0.196598]","[-0.023075, 0.055281, -0.018565]","[-0.012451, 0.011719, 0.182617]","[0.006470, -0.005676, 0.091339, 0.995789]","[-0.008820, 0.012695, 0.054749, 0.998352]","[0.187744, -0.010010, 0.097900]","[[0.983215, 0.181763, 0.012512], [-0.182007, 0.983215, 0.011841], [-0.010193, -0.013916, 0.999817]]",0.983215,"[8108, 8066, 8095, 7726]"
37.858028,"[-0.238281, 0.437500, -0.742188]","[-0.003292, 0.007883, -0.002646]","[0.160000, 0.150000, 0.222734]","[-0.025950, 0.062171, -0.020882]","[-0.009277, 0.009277, 0.186523]","[0.005066, -0.004181, 0.093201, 0.995636]","[-0.009186, 0.012970, 0.054749, 0.998352]","[0.015381, -0.149414, 0.075684]","[[0.982544, 0.185486, 0.009277], [-0.185608, 0.982544, 0.009277], [-0.007446, -0.010864, 0.999878]]",0.982544,"[8160, 8086, 8155, 7785]"
37.938107,"[-0.238281, 0.449219, -0.734375]","[-0.005831, 0.013968, -0.004690]","[0.189999, 0.209999, 0.214291]","[-0.039652, 0.095031, -0.031944]","[-0.004150, 0.009277, 0.195312]","[0.004883, -0.001617, 0.097595, 0.995209]","[-0.012482, 0.015106, 0.054810, 0.998291]","[0.016602, 0.190674, 0.119629]","[[0.980835, 0.194153, 0.004150], [-0.194275, 0.980835, 0.009338], [-0.002319, -0.010071, 0.999878]]",0.980835,"[8217, 8087, 8220, 7819]"
37.973259,"[-0.218750, 0.457031, -0.703125]","[-0.007537, 0.018058, -0.006065]","[0.189999, 0.179998, 0.319530]","[-0.047864, 0.114731, -0.038583]","[-0.002686, 0.008545, 0.198975]","[0.004456, -0.000916, 0.099365, 0.995026]","[-0.010925, 0.016479, 0.054810, 0.998291]","[-0.108398, 0.221191, 0.139160]","[[0.980103, 0.197632, 0.002686], [-0.197754, 0.980103, 0.008667], [-0.000977, -0.009033, 0.999817]]",0.980103,"[8229, 8161, 8266, 7815]"
37.99279,"[-0.218750, 0.457031, -0.695312]","[-0.008515, 0.020402, -0.006854]","[0.230000, 0.230000, 0.353313]","[-0.052314, 0.125409, -0.042183]","[-0.001465, 0.006592, 0.200439]","[0.003448, -0.000458, 0.100098, 0.994965]","[-0.013153, 0.018555, 0.054871, 0.998230]","[-0.019287, -0.039307, 0.094971]","[[0.979858, 0.199097, 0.001587], [-0.199219, 0.979858, 0.006714], [-0.000244, -0.006958, 0.999878]]",0.979858,"[8307, 8134, 8240, 7884]"
38.025993,"[-0.207031, 0.468750, -0.679688]","[-0.010743, 0.025743, -0.008651]","[0.199999, 0.199999, 0.380154]","[-0.061907, 0.148434, -0.049951]","[0.001709, 0.004883, 0.203857]","[0.002380, 0.001129, 0.101807, 0.994812]","[-0.012085, 0.018005, 0.054840, 0.998230]","[-0.094971, 0.133301, 0.161621]","[[0.979248, 0.202515, -0.001770], [-0.202515, 0.979248, 0.004883], [0.002625, -0.004517, 0.999939]]",0.979248,"[8310, 8164, 8306, 7928]"
38.059196,"[-0.207031, 0.476562, -0.667969]","[-0.013364, 0.032027, -0.010766]","[0.240000, 0.249998, 0.404480]","[-0.072415, 0.173660, -0.058468]","[0.003906, 0.004395, 0.206299]","[0.002014, 0.002228, 0.103027, 0.994659]","[-0.014648, 0.020355, 0.054901, 0.998169]","[0.291016, 0.284912, 0.100830]","[[0.978638, 0.204895, -0.004028], [-0.204895, 0.978638, 0.004395], [0.004761, -0.003540, 0.999817]]",0.978638,"[8361, 8185, 8335, 7971]"
38.094349,"[-0.187500, 0.488281, -0.652344]","[-0.014832, 0.035548, -0.011952]","[0.209999, 0.249998, 0.410454]","[-0.078005, 0.187085, -0.063004]","[0.007080, 0.004639, 0.209473]","[0.001984, 0.003815, 0.104614, 0.994507]","[-0.014740, 0.020477, 0.054932, 0.998169]","[0.087891, -0.138428, 0.002686]","[[0.978027, 0.208069, -0.007202], [-0.208069, 0.978027, 0.004700], [0.007935, -0.003113, 0.999878]]",0.978027,"[8335, 8249, 8423, 7944]"
38.127552,"[-0.187500, 0.500000, -0.640625]","[-0.018108, 0.043407, -0.014599]","[0.219999, 0.209999, 0.441408]","[-0.089850, 0.215536, -0.072623]","[0.009766, 0.002197, 0.211426]","[0.000671, 0.004974, 0.105621, 0.994385]","[-0.012970, 0.021484, 0.054901, 0.998169]","[-0.183350, 0.104492, 0.029053]","[[0.977600, 0.210022, -0.009766], [-0.210022, 0.977600, 0.002319], [0.010010, -0.000244, 0.999878]]",0.9776,"[8399, 8258, 8394, 8016]"
38.18615,"[-0.179688, 0.507812, -0.625000]","[-0.023930, 0.057374, -0.019307]","[0.259998, 0.279999, 0.423130]","[-0.109194, 0.262023, -0.088361]","[0.014404, -0.000977, 0.214844]","[-0.001343, 0.007202, 0.107269, 0.994202]","[-0.015503, 0.024567, 0.054993, 0.998047]","[0.013184, 0.145996, 0.090820]","[[0.976868, 0.213196, -0.014587], [-0.213318, 0.976929, -0.001160], [0.013977, 0.004211, 0.999878]]",0.976868,"[8455, 8272, 8417, 8086]"
38.197872,"[-0.167969, 0.519531, -0.613281]","[-0.026129, 0.062653, -0.021087]","[0.219999, 0.240000, 0.472042]","[-0.116045, 0.278492, -0.093943]","[0.014893, -0.001465, 0.215576]","[-0.001587, 0.007324, 0.107635, 0.994141]","[-0.014099, 0.023376, 0.054932, 0.998108]","[0.014404, -0.008057, 0.072021]","[[0.976624, 0.213928, -0.014893], [-0.214050, 0.976685, -0.001648], [0.014160, 0.004700, 0.999756]]",0.976624,"[8465, 8289, 8417, 8074]"
38.229115,"[-0.156250, 0.527344, -0.601562]","[-0.028464, 0.068257, -0.022978]","[0.269999, 0.289999, 0.451773]","[-0.123085, 0.295418, -0.099682]","[0.016846, -0.000488, 0.217041]","[-0.001190, 0.008423, 0.108368, 0.994080]","[-0.016083, 0.027161, 0.055023, 0.997955]","[-0.064209, 0.048828, 0.072754]","[[0.976379, 0.215332, -0.017029], [-0.215454, 0.976501, -0.000610], [0.016418, 0.004150, 0.999817]]",0.976379,"[8468, 8362, 8473, 8070]"
