t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
43.942791,"[-0.058594, 0.089844, -0.937500]","[0.000000, 0.000000, 0.000000]","[-0.009998, -0.009998, 0.051558]","[0.000000, 0.000004, 0.000000]","[0.016113, -0.022705, 0.102539]","[-0.011780, 0.007538, 0.051361, 0.998596]","[0.000000, 0.000336, 0.049164, 0.998779]","[0.405518, -0.304932, 0.083740]","[[0.994629, 0.102356, -0.016235], [-0.102722, 0.994446, -0.022827], [0.013794, 0.024292, 0.999634]]",0.994629,"[8011, 7886, 7901, 7907]"
43.966221,"[-0.058594, 0.097656, -0.937500]","[0.000000, 0.000000, 0.000000]","[-0.009998, 0.000000, 0.098145]","[0.000002, 0.000022, 0.000001]","[0.010254, -0.013184, 0.104980]","[-0.006866, 0.004791, 0.052582, 0.998596]","[-0.000824, 0.000031, 0.049164, 0.998779]","[0.631592, -0.210693, 0.027344]","[[0.994446, 0.104858, -0.010254], [-0.105103, 0.994385, -0.013245], [0.008789, 0.014221, 0.999878]]",0.994446,"[7945, 8086, 7953, 7702]"
44.032627,"[-0.058594, 0.097656, -0.937500]","[0.000001, 0.000008, 0.000000]","[0.000000, 0.000000, 0.050884]","[0.000028, 0.000330, 0.000016]","[-0.002686, -0.004395, 0.114258]","[-0.002136, -0.001556, 0.057159, 0.998352]","[-0.000702, 0.000275, 0.049164, 0.998779]","[-0.070557, -0.241455, 0.156250]","[[0.993408, 0.114075, 0.002808], [-0.114075, 0.993408, -0.004456], [-0.003418, 0.004089, 0.999939]]",0.993408,"[8020, 8080, 7956, 7683]"
44.065834,"[-0.058594, 0.097656, -0.933594]","[0.000003, 0.000032, 0.000002]","[0.000000, 0.009998, 0.089865]","[0.000085, 0.000994, 0.000050]","[-0.007568, -0.000732, 0.119629]","[-0.000183, -0.003876, 0.059814, 0.998199]","[-0.001190, 0.000397, 0.049164, 0.998779]","[0.331543, -0.218750, 0.173828]","[[0.992798, 0.119385, 0.007690], [-0.119385, 0.992798, -0.000854], [-0.007812, -0.000122, 0.999939]]",0.992798,"[8072, 8033, 7944, 7691]"
44.100994,"[-0.058594, 0.097656, -0.933594]","[0.000008, 0.000094, 0.000005]","[0.009998, 0.009998, 0.117708]","[0.000199, 0.002315, 0.000116]","[-0.010742, 0.003174, 0.125000]","[0.001953, -0.005280, 0.062622, 0.998016]","[-0.001160, 0.000885, 0.049164, 0.998779]","[-0.067871, -0.060547, 0.165771]","[[0.992065, 0.124878, 0.010803], [-0.125000, 0.992065, 0.003174], [-0.010315, -0.004517, 0.999878]]",0.992065,"[8031, 8030, 8001, 7710]"
44.136143,"[-0.058594, 0.097656, -0.929688]","[0.000013, 0.000149, 0.000007]","[0.019999, 0.019999, 0.095781]","[0.000284, 0.003308, 0.000166]","[-0.014648, 0.006836, 0.131104]","[0.003937, -0.007080, 0.065582, 0.997803]","[-0.001617, 0.001404, 0.049164, 0.998779]","[0.207520, -0.398193, 0.175293]","[[0.991211, 0.130798, 0.014648], [-0.130920, 0.991272, 0.006836], [-0.013672, -0.008789, 0.999756]]",0.991211,"[8053, 8073, 7997, 7656]"
44.167393,"[-0.046875, 0.097656, -0.925781]","[0.000028, 0.000329, 0.000017]","[0.029999, 0.039999, 0.214243]","[0.000529, 0.006148, 0.000310]","[-0.017334, 0.009277, 0.135742]","[0.005310, -0.008331, 0.067993, 0.997620]","[-0.002411, 0.002686, 0.049164, 0.998779]","[0.250488, -0.240234, 0.236572]","[[0.990479, 0.135498, 0.017334], [-0.135742, 0.990601, 0.009399], [-0.015991, -0.011719, 0.999695]]",0.990479,"[8084, 8094, 8003, 7647]"
44.200603,"[-0.046875, 0.097656, -0.921875]","[0.000056, 0.000647, 0.000033]","[0.039999, 0.059999, 0.221411]","[0.000893, 0.010375, 0.000526]","[-0.017334, 0.008301, 0.141113]","[0.004852, -0.008331, 0.070618, 0.997437]","[-0.003357, 0.003204, 0.049164, 0.998749]","[-0.126221, 0.250000, 0.145508]","[[0.989746, 0.140747, 0.017334], [-0.140991, 0.989868, 0.008423], [-0.015991, -0.010864, 0.999695]]",0.989746,"[8124, 8068, 8045, 7717]"
44.233803,"[-0.046875, 0.097656, -0.914062]","[0.000075, 0.000876, 0.000044]","[0.049999, 0.059999, 0.252586]","[0.001129, 0.013102, 0.000666]","[-0.017090, 0.008789, 0.145508]","[0.005096, -0.008209, 0.072845, 0.997284]","[-0.003235, 0.003693, 0.049164, 0.998749]","[0.002930, -0.224365, 0.048584]","[[0.989136, 0.145142, 0.017151], [-0.145386, 0.989258, 0.008911], [-0.015686, -0.011353, 0.999695]]",0.989136,"[8130, 8029, 8074, 7773]"
44.268963,"[-0.046875, 0.109375, -0.910156]","[0.000130, 0.001515, 0.000077]","[0.070000, 0.089998, 0.237413]","[0.001721, 0.019966, 0.001020]","[-0.017578, 0.010010, 0.151123]","[0.005737, -0.008453, 0.075623, 0.997070]","[-0.005371, 0.004761, 0.049194, 0.998749]","[0.191895, -0.041748, 0.214600]","[[0.988342, 0.150635, 0.017761], [-0.150879, 0.988403, 0.010132], [-0.016052, -0.012695, 0.999695]]",0.988342,"[8154, 8070, 8101, 7747]"
