t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
45.557243,"[-0.167969, 0.117188, -0.882812]","[-0.000000, -0.000000, 0.000000]","[0.009998, 0.000000, -0.018921]","[-0.000003, -0.000002, 0.000000]","[0.007568, -0.021973, 0.168701]","[-0.011353, 0.002930, 0.084442, 0.996338]","[0.000031, 0.000702, 0.082031, 0.996613]","[0.217285, -0.655029, 0.174316]","[[0.985596, 0.168091, -0.007751], [-0.168335, 0.985352, -0.022156], [0.003845, 0.023132, 0.999573]]",0.985596,"[7978, 7851, 7858, 7861]"
45.580673,"[-0.167969, 0.128906, -0.882812]","[-0.000000, -0.000000, 0.000000]","[0.000000, 0.009998, 0.007864]","[-0.000016, -0.000011, 0.000002]","[0.002441, -0.017334, 0.171875]","[-0.008820, 0.000519, 0.085968, 0.996246]","[-0.001434, 0.000214, 0.082031, 0.996613]","[0.508301, -0.754639, 0.164307]","[[0.985107, 0.171204, -0.002502], [-0.171326, 0.984985, -0.017517], [-0.000549, 0.017639, 0.999756]]",0.985107,"[7949, 7914, 7767, 7716]"
45.613876,"[-0.167969, 0.128906, -0.882812]","[-0.000001, -0.000001, 0.000000]","[0.000000, 0.019999, 0.001848]","[-0.000049, -0.000035, 0.000006]","[-0.003174, -0.011963, 0.177002]","[-0.005829, -0.002136, 0.088470, 0.996063]","[-0.001923, 0.000275, 0.082031, 0.996613]","[0.226318, 0.104980, 0.220215]","[[0.984314, 0.176208, 0.003235], [-0.176208, 0.984253, -0.012085], [-0.005310, 0.011230, 0.999878]]",0.984314,"[7950, 7990, 7825, 7618]"
45.647083,"[-0.167969, 0.128906, -0.878906]","[-0.000006, -0.000004, 0.000001]","[0.019999, 0.019999, 0.119076]","[-0.000239, -0.000169, 0.000030]","[-0.008301, -0.010010, 0.182129]","[-0.004608, -0.004639, 0.091003, 0.995819]","[-0.001831, 0.001373, 0.082062, 0.996613]","[-0.092773, 0.066650, 0.133301]","[[0.983276, 0.181213, 0.008423], [-0.181213, 0.983276, -0.010071], [-0.010132, 0.008362, 0.999817]]",0.983276,"[7993, 7952, 7806, 7619]"
45.680283,"[-0.167969, 0.128906, -0.875000]","[-0.000023, -0.000016, 0.000003]","[0.009998, 0.019999, 0.206656]","[-0.000721, -0.000510, 0.000090]","[-0.010986, -0.009033, 0.187500]","[-0.003967, -0.005920, 0.093658, 0.995575]","[-0.001862, 0.000885, 0.082062, 0.996613]","[0.089600, 0.237061, 0.247314]","[[0.982300, 0.186462, 0.011047], [-0.186462, 0.982361, -0.009094], [-0.012634, 0.006775, 0.999817]]",0.9823,"[8092, 7965, 7872, 7731]"
45.715439,"[-0.167969, 0.128906, -0.871094]","[-0.000068, -0.000048, 0.000008]","[0.019999, 0.029999, 0.251715]","[-0.001678, -0.001189, 0.000207]","[-0.014404, -0.006836, 0.193115]","[-0.002686, -0.007568, 0.096466, 0.995300]","[-0.002197, 0.001404, 0.082062, 0.996613]","[0.222900, -0.113281, 0.174805]","[[0.981201, 0.192017, 0.014526], [-0.192017, 0.981262, -0.006836], [-0.015625, 0.003906, 0.999756]]",0.981201,"[8118, 7995, 7938, 7776]"
45.748642,"[-0.167969, 0.128906, -0.863281]","[-0.000108, -0.000076, 0.000013]","[0.019999, 0.019999, 0.284409]","[-0.002398, -0.001700, 0.000296]","[-0.014648, -0.004395, 0.198242]","[-0.001495, -0.007538, 0.099030, 0.995056]","[-0.001831, 0.001373, 0.082062, 0.996613]","[-0.172119, 0.316406, 0.200439]","[[0.980225, 0.197021, 0.014709], [-0.197021, 0.980286, -0.004517], [-0.015320, 0.001465, 0.999817]]",0.980225,"[8113, 8007, 8001, 7784]"
45.781845,"[-0.167969, 0.128906, -0.859375]","[-0.000239, -0.000169, 0.000029]","[0.029999, 0.029999, 0.241850]","[-0.004457, -0.003161, 0.000547]","[-0.016846, -0.003906, 0.204102]","[-0.001160, -0.008636, 0.101990, 0.994751]","[-0.002136, 0.002136, 0.082062, 0.996613]","[-0.057373, -0.281494, 0.181885]","[[0.979004, 0.202881, 0.016968], [-0.202881, 0.979126, -0.004089], [-0.017456, 0.000549, 0.999756]]",0.979004,"[8153, 8042, 8020, 7797]"
45.815067,"[-0.156250, 0.136719, -0.851562]","[-0.000469, -0.000333, 0.000058]","[0.029999, 0.049999, 0.268404]","[-0.007522, -0.005340, 0.000918]","[-0.018311, -0.003174, 0.209961]","[-0.000610, -0.009369, 0.104828, 0.994446]","[-0.003906, 0.002991, 0.082062, 0.996613]","[0.258545, -0.106445, 0.177979]","[[0.977844, 0.208435, 0.018494], [-0.208435, 0.977966, -0.003235], [-0.018860, -0.000793, 0.999817]]",0.977844,"[8198, 8075, 8019, 7745]"
45.850204,"[-0.167969, 0.136719, -0.847656]","[-0.000842, -0.000598, 0.000103]","[0.039999, 0.049999, 0.343941]","[-0.011813, -0.008392, 0.001433]","[-0.017822, -0.005615, 0.216309]","[-0.001892, -0.009186, 0.107971, 0.994110]","[-0.004028, 0.002777, 0.082062, 0.996613]","[-0.082764, -0.013916, 0.188721]","[[0.976501, 0.214661, 0.017883], [-0.214661, 0.976624, -0.005798], [-0.018738, 0.001770, 0.999817]]",0.976501,"[8229, 8000, 8041, 7836]"
45.883408,"[-0.156250, 0.148438, -0.839844]","[-0.001098, -0.000780, 0.000134]","[0.059999, 0.059999, 0.314444]","[-0.014483, -0.010292, 0.001752]","[-0.018066, -0.004150, 0.222900]","[-0.001068, -0.009247, 0.111267, 0.993744]","[-0.005005, 0.004547, 0.082062, 0.996582]","[-0.066406, -0.046875, 0.240967]","[[0.975037, 0.221130, 0.018188], [-0.221130, 0.975159, -0.004211], [-0.018677, 0.000061, 0.999756]]",0.975037,"[8209, 8039, 8111, 7818]"
45.98497,"[-0.156250, 0.148438, -0.816406]","[-0.003379, -0.002402, 0.000408]","[0.070000, 0.080000, 0.432381]","[-0.034051, -0.024249, 0.004054]","[-0.016602, -0.005371, 0.241943]","[-0.001617, -0.008606, 0.120789, 0.992645]","[-0.006134, 0.005524, 0.082062, 0.996582]","[-0.038330, 0.260498, 0.158447]","[[0.970642, 0.239746, 0.016663], [-0.239746, 0.970764, -0.005371], [-0.017517, 0.001099, 0.999817]]",0.970642,"[8283, 8031, 8134, 7879]"
46.018173,"[-0.148438, 0.148438, -0.812500]","[-0.004919, -0.003500, 0.000590]","[0.070000, 0.070000, 0.402092]","[-0.045165, -0.032192, 0.005340]","[-0.014893, -0.005615, 0.248535]","[-0.001892, -0.007812, 0.124023, 0.992249]","[-0.005737, 0.005981, 0.082062, 0.996582]","[-0.312256, 0.238281, 0.197754]","[[0.969055, 0.246094, 0.015076], [-0.246094, 0.969177, -0.005737], [-0.016052, 0.001831, 0.999817]]",0.969055,"[8274, 8029, 8204, 7822]"
46.051376,"[-0.148438, 0.156250, -0.804688]","[-0.006934, -0.004937, 0.000828]","[0.089998, 0.089998, 0.447775]","[-0.058362, -0.041637, 0.006849]","[-0.014893, -0.006348, 0.254395]","[-0.002197, -0.007874, 0.126862, 0.991882]","[-0.007233, 0.007324, 0.082092, 0.996552]","[-0.340820, 0.111816, 0.204102]","[[0.967651, 0.251648, 0.015015], [-0.251648, 0.967773, -0.006409], [-0.016235, 0.002380, 0.999817]]",0.967651,"[8321, 8039, 8173, 7853]"
46.152939,"[-0.148438, 0.167969, -0.773438]","[-0.014604, -0.010415, 0.001718]","[0.109999, 0.109999, 0.461653]","[-0.101061, -0.072281, 0.011623]","[-0.011475, -0.008789, 0.273682]","[-0.003632, -0.006287, 0.136444, 0.990631]","[-0.009399, 0.009216, 0.082123, 0.996521]","[-0.178711, 0.429932, 0.165283]","[[0.962646, 0.270325, 0.011475], [-0.270325, 0.962708, -0.008972], [-0.013550, 0.005432, 0.999878]]",0.962646,"[8419, 8024, 8233, 7848]"
46.18811,"[-0.136719, 0.167969, -0.761719]","[-0.018956, -0.013530, 0.002216]","[0.099998, 0.099998, 0.468029]","[-0.122149, -0.087459, 0.013925]","[-0.011719, -0.009033, 0.279541]","[-0.003693, -0.006500, 0.139404, 0.990204]","[-0.009094, 0.009796, 0.082123, 0.996521]","[0.169678, -0.204590, 0.201416]","[[0.960999, 0.276062, 0.011841], [-0.276062, 0.961060, -0.009155], [-0.013916, 0.005493, 0.999817]]",0.960999,"[8383, 8082, 8254, 7857]"
