t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
52.383671,"[-0.066406, 0.269531, -0.960938]","[-0.000000, 0.000000, -0.000000]","[-0.019999, 0.000000, -0.050512]","[-0.000001, 0.000002, -0.000001]","[0.007080, -0.017822, 0.017822]","[-0.009033, 0.003540, 0.009033, 0.999908]","[0.000000, -0.000824, 0.007904, 0.999939]","[0.257812, -0.374023, 0.031982]","[[0.999756, 0.017883, -0.007202], [-0.018127, 0.999634, -0.018005], [0.006836, 0.018127, 0.999756]]",0.999756,"[7810, 7797, 7733, 7698]"
52.416874,"[-0.066406, 0.269531, -0.957031]","[-0.000000, 0.000000, -0.000000]","[0.000000, 0.000000, -0.004175]","[-0.000019, 0.000029, -0.000011]","[-0.000244, -0.012207, 0.019287]","[-0.006165, -0.000214, 0.009735, 0.999939]","[0.000000, 0.000000, 0.007904, 0.999939]","[0.150391, -0.259033, 0.127197]","[[0.999817, 0.019409, 0.000305], [-0.019409, 0.999756, -0.012390], [-0.000549, 0.012268, 0.999939]]",0.999817,"[7824, 7886, 7712, 7583]"
52.450077,"[-0.066406, 0.269531, -0.953125]","[-0.000001, 0.000001, -0.000001]","[-0.029999, 0.000000, 0.044296]","[-0.000046, 0.000070, -0.000026]","[-0.006104, -0.008545, 0.020996]","[-0.004303, -0.003113, 0.010620, 0.999939]","[0.000000, -0.001312, 0.007904, 0.999939]","[0.230713, -0.127197, -0.035889]","[[0.999756, 0.021179, 0.006104], [-0.021179, 0.999756, -0.008728], [-0.006348, 0.008484, 0.999939]]",0.999756,"[7921, 7922, 7721, 7618]"
52.485249,"[-0.066406, 0.269531, -0.949219]","[-0.000005, 0.000007, -0.000003]","[0.009998, 0.000000, 0.076057]","[-0.000171, 0.000258, -0.000097]","[-0.009766, -0.006592, 0.022461]","[-0.003357, -0.004974, 0.011292, 0.999939]","[0.000000, 0.000580, 0.007904, 0.999939]","[-0.198975, -0.212891, 0.092529]","[[0.999756, 0.022522, 0.009827], [-0.022522, 0.999756, -0.006836], [-0.010071, 0.006592, 1.000000]]",0.999756,"[7900, 7954, 7793, 7665]"
52.526249,"[-0.066406, 0.269531, -0.945312]","[-0.000016, 0.000025, -0.000009]","[0.029999, 0.000000, 0.138830]","[-0.000449, 0.000678, -0.000254]","[-0.014893, -0.003174, 0.023682]","[-0.001556, -0.007477, 0.011902, 0.999908]","[0.000000, 0.001434, 0.007904, 0.999939]","[0.251953, -0.358154, 0.057373]","[[0.999634, 0.023743, 0.014893], [-0.023743, 0.999695, -0.003296], [-0.015015, 0.002930, 0.999878]]",0.999634,"[7973, 8009, 7824, 7736]"
52.55164,"[-0.058594, 0.269531, -0.937500]","[-0.000043, 0.000065, -0.000024]","[0.019999, 0.019999, 0.216566]","[-0.000961, 0.001453, -0.000544]","[-0.015869, -0.001221, 0.024414]","[-0.000549, -0.008026, 0.012238, 0.999908]","[-0.001068, 0.001587, 0.007935, 0.999939]","[0.030518, 0.188232, 0.070801]","[[0.999634, 0.024414, 0.015991], [-0.024414, 0.999756, -0.001343], [-0.016113, 0.000854, 0.999878]]",0.999634,"[8015, 8046, 7875, 7738]"
52.584843,"[-0.066406, 0.269531, -0.929688]","[-0.000065, 0.000099, -0.000037]","[0.019999, 0.009998, 0.228224]","[-0.001332, 0.002017, -0.000754]","[-0.016602, -0.000977, 0.025391]","[-0.000397, -0.008331, 0.012817, 0.999878]","[-0.000580, 0.001221, 0.007935, 0.999939]","[-0.091064, -0.026123, 0.071777]","[[0.999512, 0.025574, 0.016602], [-0.025574, 0.999634, -0.001038], [-0.016724, 0.000549, 0.999817]]",0.999512,"[8048, 8053, 7906, 7826]"
52.619999,"[-0.058594, 0.269531, -0.925781]","[-0.000136, 0.000206, -0.000077]","[0.039999, 0.019999, 0.245897]","[-0.002366, 0.003586, -0.001340]","[-0.018066, -0.001953, 0.026855]","[-0.000885, -0.009094, 0.013458, 0.999878]","[-0.001068, 0.002686, 0.007935, 0.999939]","[0.017822, -0.031982, 0.019043]","[[0.999512, 0.026855, 0.018127], [-0.026855, 0.999634, -0.002075], [-0.018250, 0.001465, 0.999817]]",0.999512,"[8127, 8043, 7904, 7885]"
52.651264,"[-0.066406, 0.277344, -0.917969]","[-0.000256, 0.000388, -0.000145]","[0.029999, 0.029999, 0.292137]","[-0.003869, 0.005869, -0.002191]","[-0.018799, -0.000244, 0.027588]","[0.000061, -0.009430, 0.013947, 0.999878]","[-0.002045, 0.001587, 0.007935, 0.999939]","[0.020996, -0.065918, -0.067383]","[[0.999512, 0.027771, 0.018860], [-0.027893, 0.999634, -0.000244], [-0.018860, -0.000366, 0.999878]]",0.999512,"[8090, 8106, 7954, 7858]"
52.684456,"[-0.058594, 0.277344, -0.910156]","[-0.000341, 0.000516, -0.000193]","[0.089998, 0.029999, 0.331726]","[-0.004826, 0.007324, -0.002734]","[-0.019531, -0.000488, 0.028809]","[-0.000153, -0.009888, 0.014465, 0.999847]","[-0.002014, 0.005371, 0.007935, 0.999939]","[-0.070312, 0.093994, 0.067139]","[[0.999390, 0.028870, 0.019714], [-0.028870, 0.999573, -0.000610], [-0.019836, 0.000000, 0.999756]]",0.99939,"[8148, 8122, 7996, 7897]"
52.717655,"[-0.058594, 0.277344, -0.902344]","[-0.000574, 0.000870, -0.000325]","[0.049999, 0.039999, 0.311956]","[-0.007214, 0.010959, -0.004086]","[-0.020996, 0.000000, 0.029785]","[0.000122, -0.010590, 0.014984, 0.999847]","[-0.002411, 0.003418, 0.007935, 0.999939]","[0.089600, -0.354980, 0.026123]","[[0.999390, 0.029846, 0.021179], [-0.029968, 0.999573, -0.000183], [-0.021179, -0.000549, 0.999817]]",0.99939,"[8185, 8182, 7995, 7917]"
52.750862,"[-0.058594, 0.277344, -0.890625]","[-0.000914, 0.001387, -0.000517]","[0.099998, 0.049999, 0.368406]","[-0.010306, 0.015673, -0.005838]","[-0.019775, 0.000000, 0.030029]","[0.000153, -0.009918, 0.015076, 0.999847]","[-0.002869, 0.005859, 0.007935, 0.999939]","[-0.023682, 0.403564, 0.047363]","[[0.999390, 0.030029, 0.019836], [-0.030151, 0.999573, -0.000061], [-0.019836, -0.000549, 0.999817]]",0.99939,"[8199, 8166, 8017, 7927]"
