t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
46.750038,"[-0.187500, 0.250000, -0.937500]","[0.000000, 0.000000, -0.000000]","[-0.019999, 0.039999, 0.117203]","[0.000002, 0.000003, -0.000002]","[0.007568, -0.026123, 0.055420]","[-0.013153, 0.003540, 0.027832, 0.999512]","[-0.002197, -0.000183, 0.026093, 0.999634]","[0.367432, -0.352539, -0.012939]","[[0.998352, 0.055481, -0.007751], [-0.055725, 0.998047, -0.026123], [0.006287, 0.026489, 0.999573]]",0.998352,"[8169, 8037, 8042, 8090]"
46.781292,"[-0.187500, 0.250000, -0.937500]","[0.000000, 0.000000, -0.000000]","[-0.019999, 0.049999, 0.119907]","[0.000008, 0.000016, -0.000012]","[0.000244, -0.014404, 0.058105]","[-0.007294, 0.000031, 0.029175, 0.999542]","[-0.002563, -0.000641, 0.026093, 0.999634]","[0.149170, -0.323730, 0.125000]","[[0.998230, 0.058228, -0.000427], [-0.058350, 0.998169, -0.014587], [-0.000427, 0.014587, 0.999817]]",0.99823,"[8015, 8278, 8142, 7771]"
46.814491,"[-0.199219, 0.257812, -0.933594]","[0.000001, 0.000002, -0.000002]","[-0.009998, 0.049999, 0.093418]","[0.000061, 0.000119, -0.000087]","[-0.005615, -0.011719, 0.061279]","[-0.005829, -0.003021, 0.030762, 0.999512]","[-0.003052, -0.000763, 0.026093, 0.999634]","[0.284912, -0.445557, 0.093262]","[[0.998108, 0.061462, 0.005676], [-0.061462, 0.998047, -0.011902], [-0.006409, 0.011414, 0.999939]]",0.998108,"[8158, 8159, 8021, 7861]"
46.847698,"[-0.199219, 0.257812, -0.929688]","[0.000006, 0.000012, -0.000009]","[0.000000, 0.019999, 0.095030]","[0.000224, 0.000436, -0.000319]","[-0.008789, -0.007568, 0.064209]","[-0.003723, -0.004578, 0.032135, 0.999451]","[-0.001587, -0.000305, 0.026093, 0.999634]","[0.067871, 0.351807, 0.108887]","[[0.997803, 0.064209, 0.008911], [-0.064209, 0.997803, -0.007751], [-0.009399, 0.007141, 0.999817]]",0.997803,"[8097, 8151, 8016, 7834]"
46.880898,"[-0.199219, 0.257812, -0.929688]","[0.000012, 0.000023, -0.000017]","[0.000000, 0.059999, 0.102859]","[0.000373, 0.000727, -0.000531]","[-0.012451, -0.004639, 0.066650]","[-0.002106, -0.006378, 0.033417, 0.999420]","[-0.003540, -0.000244, 0.026093, 0.999634]","[0.299805, -0.405762, 0.093506]","[[0.997681, 0.066772, 0.012573], [-0.066772, 0.997742, -0.004639], [-0.012939, 0.003784, 0.999878]]",0.997681,"[8072, 8128, 7993, 7825]"
46.949272,"[-0.199219, 0.257812, -0.921875]","[0.000084, 0.000165, -0.000120]","[0.009998, 0.059999, 0.194464]","[0.001712, 0.003352, -0.002449]","[-0.017578, -0.000488, 0.072754]","[0.000092, -0.008881, 0.036407, 0.999298]","[-0.003632, 0.000214, 0.026093, 0.999634]","[-0.065430, 0.083496, 0.011719]","[[0.997192, 0.072693, 0.017761], [-0.072815, 0.997314, -0.000549], [-0.017761, -0.000793, 0.999817]]",0.997192,"[8128, 8138, 8023, 7815]"
46.982464,"[-0.199219, 0.269531, -0.917969]","[0.000123, 0.000241, -0.000176]","[0.019999, 0.080000, 0.183632]","[0.002300, 0.004510, -0.003295]","[-0.019043, -0.000244, 0.075439]","[0.000275, -0.009613, 0.037750, 0.999237]","[-0.005341, 0.000732, 0.026123, 0.999634]","[0.046631, -0.159424, 0.158447]","[[0.996948, 0.075378, 0.019226], [-0.075500, 0.997131, -0.000244], [-0.019226, -0.001221, 0.999756]]",0.996948,"[8118, 8122, 8034, 7838]"
47.04887,"[-0.199219, 0.269531, -0.910156]","[0.000434, 0.000853, -0.000623]","[0.039999, 0.089998, 0.194916]","[0.006080, 0.011986, -0.008757]","[-0.020264, 0.000244, 0.080322]","[0.000671, -0.010193, 0.040314, 0.999115]","[-0.005920, 0.001740, 0.026123, 0.999634]","[-0.442139, 0.015869, -0.006348]","[[0.996460, 0.080444, 0.020386], [-0.080566, 0.996643, 0.000427], [-0.020386, -0.002136, 0.999695]]",0.99646,"[8094, 8124, 8088, 7844]"
47.082073,"[-0.187500, 0.269531, -0.902344]","[0.000727, 0.001430, -0.001045]","[0.049999, 0.109999, 0.233076]","[0.009012, 0.017815, -0.013016]","[-0.020508, 0.003174, 0.082520]","[0.002075, -0.010223, 0.041321, 0.999084]","[-0.006744, 0.002960, 0.026123, 0.999603]","[0.338135, -0.286133, 0.038086]","[[0.996338, 0.082458, 0.020569], [-0.082581, 0.996521, 0.003235], [-0.020325, -0.004944, 0.999695]]",0.996338,"[8111, 8165, 8086, 7850]"
47.150429,"[-0.187500, 0.277344, -0.894531]","[0.001420, 0.002803, -0.002048]","[0.059999, 0.119999, 0.278214]","[0.014981, 0.029745, -0.021733]","[-0.020264, 0.000977, 0.087891]","[0.001068, -0.010101, 0.044006, 0.998962]","[-0.007721, 0.003357, 0.026123, 0.999603]","[0.020996, -0.108398, 0.144043]","[[0.995850, 0.087830, 0.020264], [-0.087952, 0.996033, 0.001160], [-0.020142, -0.002991, 0.999695]]",0.99585,"[8221, 8139, 8114, 7957]"
47.183632,"[-0.179688, 0.289062, -0.886719]","[0.002102, 0.004161, -0.003040]","[0.080000, 0.150000, 0.310232]","[0.020123, 0.040079, -0.029285]","[-0.019775, 0.000732, 0.090088]","[0.000854, -0.009888, 0.045166, 0.998932]","[-0.009644, 0.004639, 0.026154, 0.999573]","[0.085449, 0.065430, 0.016846]","[[0.995728, 0.090149, 0.019836], [-0.090271, 0.995911, 0.000732], [-0.019714, -0.002563, 0.999756]]",0.995728,"[8211, 8168, 8134, 7920]"
47.216846,"[-0.179688, 0.289062, -0.878906]","[0.002524, 0.005000, -0.003654]","[0.080000, 0.139999, 0.288074]","[0.023067, 0.046016, -0.033624]","[-0.018311, -0.000244, 0.093018]","[0.000336, -0.009155, 0.046539, 0.998871]","[-0.009155, 0.004486, 0.026154, 0.999603]","[-0.205322, 0.124512, 0.132812]","[[0.995483, 0.092896, 0.018311], [-0.093018, 0.995605, -0.000244], [-0.018311, -0.001465, 0.999756]]",0.995483,"[8180, 8170, 8173, 7940]"
47.250038,"[-0.179688, 0.296875, -0.871094]","[0.003551, 0.007054, -0.005154]","[0.089998, 0.150000, 0.256620]","[0.029733, 0.059512, -0.043485]","[-0.017822, 0.000488, 0.095215]","[0.000793, -0.008972, 0.047699, 0.998810]","[-0.009979, 0.005127, 0.026154, 0.999573]","[0.197266, -0.126953, -0.048340]","[[0.995239, 0.095215, 0.018005], [-0.095337, 0.995361, 0.000610], [-0.017883, -0.002441, 0.999756]]",0.995239,"[8189, 8195, 8175, 7936]"
47.283241,"[-0.179688, 0.308594, -0.863281]","[0.004860, 0.009679, -0.007072]","[0.099998, 0.179998, 0.273951]","[0.037466, 0.075249, -0.054985]","[-0.015137, -0.000977, 0.097656]","[-0.000183, -0.007629, 0.048828, 0.998779]","[-0.012177, 0.005554, 0.026184, 0.999542]","[-0.185791, 0.392822, 0.076416]","[[0.995117, 0.097534, 0.015198], [-0.097534, 0.995178, -0.001160], [-0.015320, -0.000427, 0.999878]]",0.995117,"[8215, 8125, 8151, 7939]"
47.316448,"[-0.167969, 0.316406, -0.859375]","[0.006493, 0.012964, -0.009473]","[0.099998, 0.169998, 0.255165]","[0.046283, 0.093298, -0.068174]","[-0.015137, -0.001709, 0.100342]","[-0.000458, -0.007599, 0.050201, 0.998718]","[-0.011902, 0.006165, 0.026184, 0.999542]","[0.154541, -0.377441, 0.122070]","[[0.994873, 0.100220, 0.015137], [-0.100220, 0.994934, -0.001709], [-0.015259, 0.000122, 0.999878]]",0.994873,"[8218, 8211, 8215, 7948]"
47.351604,"[-0.156250, 0.316406, -0.847656]","[0.007443, 0.014881, -0.010873]","[0.129999, 0.209999, 0.320786]","[0.051098, 0.103197, -0.075408]","[-0.012207, -0.004883, 0.103271]","[-0.002136, -0.006317, 0.051636, 0.998627]","[-0.013702, 0.008270, 0.026215, 0.999512]","[-0.261719, 0.060791, 0.055176]","[[0.994507, 0.103088, 0.012390], [-0.103088, 0.994568, -0.004944], [-0.012878, 0.003601, 0.999817]]",0.994507,"[8265, 8180, 8225, 8005]"
47.384804,"[-0.156250, 0.328125, -0.839844]","[0.009639, 0.019326, -0.014121]","[0.109999, 0.179998, 0.341295]","[0.061540, 0.124772, -0.091174]","[-0.011230, -0.005371, 0.105713]","[-0.002350, -0.005829, 0.052887, 0.998566]","[-0.012482, 0.007141, 0.026184, 0.999542]","[0.149170, 0.027100, 0.064697]","[[0.994263, 0.105591, 0.011353], [-0.105591, 0.994324, -0.005371], [-0.011963, 0.004028, 0.999817]]",0.994263,"[8305, 8212, 8246, 8007]"
47.421913,"[-0.148438, 0.339844, -0.828125]","[0.012265, 0.024659, -0.018019]","[0.139999, 0.219999, 0.382374]","[0.073039, 0.148691, -0.108653]","[-0.009766, -0.006592, 0.108643]","[-0.003082, -0.005066, 0.054321, 0.998505]","[-0.014893, 0.009033, 0.026245, 0.999481]","[0.121582, -0.097168, 0.150391]","[[0.994019, 0.108459, 0.009766], [-0.108459, 0.994019, -0.006775], [-0.010498, 0.005554, 0.999878]]",0.994019,"[8368, 8253, 8298, 8063]"
47.45121,"[-0.148438, 0.339844, -0.824219]","[0.013751, 0.027688, -0.020232]","[0.129999, 0.209999, 0.351507]","[0.079171, 0.161519, -0.118026]","[-0.009033, -0.006348, 0.110840]","[-0.002960, -0.004761, 0.055511, 0.998444]","[-0.014160, 0.008423, 0.026215, 0.999512]","[0.180664, -0.175781, 0.129150]","[[0.993774, 0.110840, 0.009155], [-0.110840, 0.993774, -0.006470], [-0.009888, 0.005371, 0.999878]]",0.993774,"[8360, 8305, 8326, 8053]"
47.582077,"[-0.136719, 0.359375, -0.796875]","[0.027828, 0.056656, -0.041399]","[0.139999, 0.219999, 0.354624]","[0.128512, 0.266512, -0.194742]","[-0.001953, -0.013428, 0.117188]","[-0.006714, -0.001404, 0.058624, 0.998260]","[-0.013672, 0.008636, 0.026215, 0.999512]","[-0.277344, -0.056152, 0.082764]","[[0.993103, 0.117004, 0.002014], [-0.117004, 0.993042, -0.013611], [-0.003601, 0.013245, 0.999878]]",0.993103,"[8520, 8307, 8419, 8276]"
47.585995,"[-0.128906, 0.367188, -0.789062]","[0.027828, 0.056656, -0.041399]","[0.169998, 0.259998, 0.389643]","[0.128512, 0.266512, -0.194742]","[-0.001953, -0.013428, 0.117188]","[-0.006683, -0.001404, 0.058655, 0.998260]","[-0.015808, 0.010651, 0.026276, 0.999451]","[-0.049561, 0.238281, 0.014648]","[[0.993103, 0.117065, 0.002014], [-0.117065, 0.993042, -0.013550], [-0.003601, 0.013184, 0.999878]]",0.993103,"[8520, 8327, 8388, 8295]"
47.722702,"[-0.117188, 0.386719, -0.765625]","[0.049273, 0.101581, -0.074225]","[0.150000, 0.240000, 0.297792]","[0.186175, 0.393742, -0.287679]","[0.002441, -0.015625, 0.122803]","[-0.007904, 0.000793, 0.061462, 0.998077]","[-0.012573, 0.008728, 0.026215, 0.999512]","[0.077393, 0.077148, 0.097656]","[[0.992432, 0.122620, -0.002502], [-0.122742, 0.992310, -0.015747], [0.000549, 0.015869, 0.999817]]",0.992432,"[8592, 8440, 8519, 8289]"
47.724648,"[-0.109375, 0.398438, -0.761719]","[0.049273, 0.101581, -0.074225]","[0.169998, 0.240000, 0.327133]","[0.186175, 0.393742, -0.287679]","[0.002930, -0.015625, 0.122803]","[-0.007904, 0.001068, 0.061462, 0.998077]","[-0.013153, 0.010101, 0.026245, 0.999512]","[-0.006104, 0.267090, 0.037109]","[[0.992432, 0.122620, -0.003052], [-0.122742, 0.992310, -0.015686], [0.001099, 0.015930, 0.999817]]",0.992432,"[8605, 8415, 8508, 8307]"
47.865295,"[-0.097656, 0.429688, -0.742188]","[0.083778, 0.175583, -0.128286]","[0.160000, 0.249998, 0.232206]","[0.255363, 0.555102, -0.405466]","[0.004150, -0.014404, 0.126221]","[-0.007385, 0.001678, 0.063202, 0.997986]","[-0.010529, 0.007721, 0.026184, 0.999542]","[-0.036865, 0.087891, 0.010742]","[[0.992004, 0.126038, -0.004272], [-0.126160, 0.991943, -0.014587], [0.002319, 0.014954, 0.999878]]",0.992004,"[8626, 8488, 8572, 8401]"
47.867233,"[-0.078125, 0.449219, -0.742188]","[0.083778, 0.175583, -0.128286]","[0.199999, 0.299999, 0.204733]","[0.255363, 0.555102, -0.405466]","[0.004395, -0.014404, 0.126221]","[-0.007355, 0.001770, 0.063202, 0.997955]","[-0.013977, 0.010986, 0.026245, 0.999481]","[0.062988, 0.004150, 0.070068]","[[0.991882, 0.126038, -0.004456], [-0.126160, 0.991821, -0.014526], [0.002502, 0.014893, 0.999756]]",0.991882,"[8649, 8515, 8568, 8410]"
47.890663,"[-0.078125, 0.457031, -0.738281]","[0.088848, 0.186626, -0.136352]","[0.169998, 0.269999, 0.202848]","[0.263820, 0.575720, -0.420506]","[0.005127, -0.013672, 0.126709]","[-0.006958, 0.002136, 0.063477, 0.997955]","[-0.011841, 0.009216, 0.026215, 0.999542]","[0.006104, 0.092529, 0.017822]","[[0.991882, 0.126587, -0.005127], [-0.126709, 0.991821, -0.013672], [0.003296, 0.014160, 0.999878]]",0.991882,"[8629, 8522, 8619, 8377]"
48.013718,"[-0.066406, 0.468750, -0.726562]","[0.122624, 0.261294, -0.190880]","[0.209999, 0.309999, 0.132334]","[0.311668, 0.697978, -0.509615]","[0.005371, -0.013184, 0.131592]","[-0.006775, 0.002319, 0.065796, 0.997803]","[-0.008545, 0.008881, 0.026184, 0.999573]","[-0.110107, 0.060303, 0.038086]","[[0.991272, 0.131226, -0.005493], [-0.131348, 0.991211, -0.013245], [0.003662, 0.013855, 0.999817]]",0.991272,"[8687, 8570, 8665, 8403]"
48.015663,"[-0.058594, 0.488281, -0.726562]","[0.122624, 0.261294, -0.190880]","[0.179998, 0.279999, 0.132334]","[0.311668, 0.697978, -0.509615]","[0.005371, -0.013184, 0.131592]","[-0.006775, 0.002319, 0.065796, 0.997803]","[-0.008087, 0.007782, 0.026154, 0.999573]","[-0.110107, 0.060303, 0.038086]","[[0.991272, 0.131226, -0.005493], [-0.131348, 0.991211, -0.013245], [0.003662, 0.013855, 0.999817]]",0.991272,"[8693, 8583, 8673, 8416]"
48.023476,"[-0.046875, 0.500000, -0.730469]","[0.128783, 0.275121, -0.200975]","[0.209999, 0.320000, 0.100292]","[0.318986, 0.717798, -0.524045]","[0.003662, -0.011230, 0.131836]","[-0.005768, 0.001556, 0.066010, 0.997803]","[-0.010223, 0.009766, 0.026215, 0.999542]","[0.308838, -0.262939, 0.088623]","[[0.991272, 0.131653, -0.003845], [-0.131775, 0.991211, -0.011353], [0.002258, 0.011719, 0.999878]]",0.991272,"[8698, 8594, 8680, 8406]"
48.154335,"[-0.027344, 0.527344, -0.726562]","[0.168514, 0.365958, -0.267274]","[0.219999, 0.329998, 0.048096]","[0.357347, 0.830384, -0.605878]","[0.005127, -0.011963, 0.137451]","[-0.006195, 0.002258, 0.068726, 0.997589]","[-0.004425, 0.008148, 0.026154, 0.999603]","[-0.145752, -0.064941, 0.004395]","[[0.990417, 0.137024, -0.005310], [-0.137146, 0.990356, -0.012085], [0.003601, 0.012695, 0.999756]]",0.990417,"[8752, 8545, 8697, 8455]"
48.158241,"[-0.019531, 0.539062, -0.730469]","[0.175545, 0.382344, -0.279229]","[0.199999, 0.289999, 0.010223]","[0.362661, 0.847798, -0.618507]","[0.003906, -0.011963, 0.137451]","[-0.006134, 0.001648, 0.068817, 0.997589]","[-0.003082, 0.007507, 0.026123, 0.999603]","[0.081787, -0.157471, 0.072266]","[[0.990417, 0.137207, -0.004089], [-0.137329, 0.990356, -0.012085], [0.002380, 0.012451, 0.999817]]",0.990417,"[8774, 8571, 8683, 8477]"
48.253948,"[-0.007812, 0.558594, -0.738281]","[0.212069, 0.469134, -0.342523]","[0.199999, 0.320000, -0.071354]","[0.383748, 0.927381, -0.676058]","[0.002930, -0.005127, 0.141846]","[-0.002716, 0.001343, 0.070953, 0.997467]","[0.000732, 0.005463, 0.026093, 0.999634]","[0.004639, 0.012939, -0.032959]","[[0.989868, 0.141479, -0.003052], [-0.141602, 0.989868, -0.005249], [0.002197, 0.005615, 0.999878]]",0.989868,"[8711, 8593, 8709, 8429]"
48.257851,"[0.000000, 0.566406, -0.738281]","[0.212069, 0.469134, -0.342523]","[0.209999, 0.299999, -0.128387]","[0.383748, 0.927381, -0.676058]","[0.002686, -0.004639, 0.142090]","[-0.002411, 0.001221, 0.071045, 0.997467]","[0.001617, 0.006165, 0.026093, 0.999634]","[0.226318, -0.067139, 0.112061]","[[0.989868, 0.141663, -0.002747], [-0.141785, 0.989868, -0.004700], [0.002014, 0.004944, 0.999939]]",0.989868,"[8736, 8580, 8706, 8421]"
48.293007,"[0.000000, 0.578125, -0.746094]","[0.227178, 0.505920, -0.369334]","[0.240000, 0.369999, -0.160404]","[0.389390, 0.955237, -0.696106]","[0.001465, -0.003906, 0.143066]","[-0.002075, 0.000641, 0.071594, 0.997406]","[-0.000061, 0.006836, 0.026093, 0.999634]","[0.093994, -0.159180, 0.106689]","[[0.989624, 0.142700, -0.001526], [-0.142822, 0.989624, -0.004089], [0.000916, 0.004211, 0.999817]]",0.989624,"[8730, 8521, 8613, 8407]"
48.326229,"[0.019531, 0.589844, -0.750000]","[0.234806, 0.524704, -0.383022]","[0.209999, 0.349998, -0.164900]","[0.391567, 0.968217, -0.705421]","[0.001221, -0.002441, 0.143799]","[-0.001282, 0.000549, 0.071899, 0.997406]","[0.002686, 0.005402, 0.026093, 0.999634]","[-0.092529, 0.021973, 0.009033]","[[0.989624, 0.143311, -0.001282], [-0.143433, 0.989624, -0.002502], [0.000793, 0.002625, 0.999939]]",0.989624,"[8699, 8526, 8609, 8368]"
48.445358,"[0.027344, 0.617188, -0.769531]","[0.281058, 0.642120, -0.468507]","[0.209999, 0.359999, -0.248177]","[0.395117, 1.031592, -0.750452]","[0.000244, 0.003418, 0.145752]","[0.001740, 0.000336, 0.072876, 0.997314]","[0.009460, 0.002533, 0.026093, 0.999603]","[0.155029, -0.153809, 0.038574]","[[0.989258, 0.145325, -0.000366], [-0.145325, 0.989258, 0.003418], [0.000854, -0.003418, 0.999878]]",0.989258,"[8668, 8478, 8623, 8392]"
48.447308,"[0.039062, 0.628906, -0.769531]","[0.281058, 0.642120, -0.468507]","[0.219999, 0.349998, -0.248177]","[0.395117, 1.031592, -0.750452]","[0.000244, 0.003418, 0.145752]","[0.001740, 0.000336, 0.072876, 0.997314]","[0.009735, 0.003754, 0.026062, 0.999603]","[0.155029, -0.153809, 0.038574]","[[0.989258, 0.145325, -0.000366], [-0.145325, 0.989258, 0.003418], [0.000854, -0.003418, 0.999878]]",0.989258,"[8669, 8470, 8605, 8398]"
48.460976,"[0.039062, 0.636719, -0.789062]","[0.288767, 0.662351, -0.483222]","[0.249998, 0.409998, -0.324036]","[0.394064, 1.039587, -0.756034]","[0.000488, 0.003906, 0.145996]","[0.002014, 0.000458, 0.072998, 0.997314]","[0.007446, 0.004913, 0.026062, 0.999603]","[0.010986, 0.114746, 0.037109]","[[0.989258, 0.145569, -0.000610], [-0.145569, 0.989258, 0.004028], [0.001099, -0.003906, 0.999878]]",0.989258,"[8646, 8466, 8600, 8340]"
