t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
75.058098,"[-0.128906, 0.238281, -0.789062]","[0.000000, 0.000000, -0.000000]","[0.000000, 0.009998, 0.044888]","[0.000001, 0.000003, -0.000002]","[0.022461, -0.020752, 0.183350]","[-0.011383, 0.010315, 0.091675, 0.995697]","[-0.000214, 0.000000, 0.088867, 0.996033]","[0.210205, -0.008301, 0.108887]","[[0.983032, 0.182312, -0.022644], [-0.182800, 0.982971, -0.020874], [0.018372, 0.024536, 0.999573]]",0.983032,"[8019, 7867, 8069, 7987]"
75.190918,"[-0.128906, 0.238281, -0.785156]","[0.000008, 0.000020, -0.000014]","[0.009998, 0.029999, 0.056858]","[0.000243, 0.000630, -0.000446]","[0.002686, -0.003662, 0.212402]","[-0.002014, 0.001129, 0.106110, 0.994354]","[-0.001160, 0.000702, 0.088867, 0.996033]","[-0.264160, 0.071289, 0.272217]","[[0.977478, 0.210938, -0.002686], [-0.211060, 0.977478, -0.003845], [0.001709, 0.004211, 0.999939]]",0.977478,"[7981, 7898, 7961, 7713]"
75.192871,"[-0.128906, 0.238281, -0.785156]","[0.000008, 0.000020, -0.000014]","[0.009998, 0.019999, 0.046883]","[0.000243, 0.000630, -0.000446]","[0.002197, -0.003418, 0.212646]","[-0.001892, 0.000916, 0.106262, 0.994324]","[-0.000671, 0.000671, 0.088867, 0.996033]","[0.132080, -0.301025, 0.246826]","[[0.977356, 0.211243, -0.002197], [-0.211365, 0.977356, -0.003601], [0.001343, 0.003967, 0.999939]]",0.977356,"[7989, 7882, 7989, 7735]"
75.194824,"[-0.117188, 0.238281, -0.785156]","[0.000014, 0.000036, -0.000025]","[0.019999, 0.019999, 0.044256]","[0.000379, 0.000986, -0.000698]","[0.001465, -0.002686, 0.213135]","[-0.001495, 0.000671, 0.106445, 0.994324]","[-0.000549, 0.001862, 0.088867, 0.996033]","[0.374023, -0.243896, 0.239746]","[[0.977356, 0.211609, -0.001648], [-0.211731, 0.977356, -0.002869], [0.000916, 0.003113, 1.000000]]",0.977356,"[8015, 7897, 7956, 7739]"
75.349121,"[-0.117188, 0.250000, -0.777344]","[0.000214, 0.000556, -0.000394]","[0.039999, 0.059999, 0.234304]","[0.003197, 0.008323, -0.005909]","[-0.004883, 0.003418, 0.248291]","[0.002136, -0.002228, 0.123932, 0.992279]","[-0.003265, 0.003082, 0.088867, 0.996002]","[0.114502, -0.178955, 0.213867]","[[0.969177, 0.245850, 0.004944], [-0.245972, 0.969177, 0.003601], [-0.003967, -0.004822, 0.999878]]",0.969177,"[8146, 7934, 8105, 7776]"
75.356934,"[-0.128906, 0.250000, -0.757812]","[0.000284, 0.000738, -0.000523]","[0.039999, 0.070000, 0.280476]","[0.003976, 0.010353, -0.007353]","[-0.004395, 0.003662, 0.249756]","[0.002136, -0.001953, 0.124695, 0.992188]","[-0.003815, 0.002411, 0.088867, 0.996002]","[-0.056152, 0.267090, 0.282471]","[[0.968872, 0.247375, 0.004395], [-0.247498, 0.968872, 0.003723], [-0.003418, -0.004700, 0.999939]]",0.968872,"[8153, 7931, 8127, 7755]"
75.507324,"[-0.117188, 0.250000, -0.734375]","[0.001655, 0.004316, -0.003069]","[0.049999, 0.089998, 0.387796]","[0.015195, 0.039670, -0.028269]","[-0.006836, 0.005371, 0.283203]","[0.003235, -0.003113, 0.141235, 0.989960]","[-0.004303, 0.003693, 0.088867, 0.996002]","[-0.322754, 0.175537, 0.206787]","[[0.960022, 0.279541, 0.007019], [-0.279663, 0.960022, 0.005432], [-0.005310, -0.007263, 0.999878]]",0.960022,"[8316, 8010, 8264, 7849]"
75.511223,"[-0.109375, 0.269531, -0.714844]","[0.001655, 0.004316, -0.003069]","[0.070000, 0.119999, 0.456648]","[0.015195, 0.039670, -0.028269]","[-0.007324, 0.004395, 0.283691]","[0.002747, -0.003326, 0.141449, 0.989929]","[-0.006866, 0.005371, 0.088898, 0.995972]","[0.093750, -0.087646, 0.198242]","[[0.959900, 0.279968, 0.007324], [-0.280090, 0.959900, 0.004456], [-0.005859, -0.006409, 0.999878]]",0.9599,"[8313, 8041, 8273, 7853]"
75.524902,"[-0.109375, 0.269531, -0.710938]","[0.001655, 0.004316, -0.003069]","[0.070000, 0.109999, 0.448748]","[0.015195, 0.039670, -0.028269]","[-0.006592, 0.004639, 0.285889]","[0.002869, -0.002960, 0.142517, 0.989777]","[-0.006256, 0.005310, 0.088898, 0.996002]","[-0.507812, 0.027100, 0.304199]","[[0.959290, 0.282043, 0.006714], [-0.282166, 0.959290, 0.004822], [-0.005127, -0.006531, 0.999878]]",0.95929,"[8286, 8036, 8337, 7893]"
75.647949,"[-0.097656, 0.277344, -0.675781]","[0.004912, 0.012829, -0.009148]","[0.089998, 0.139999, 0.463409]","[0.033963, 0.088899, -0.063574]","[-0.002686, 0.001465, 0.310059]","[0.000977, -0.001251, 0.154449, 0.988007]","[-0.007690, 0.006927, 0.088898, 0.995972]","[0.106445, 0.126221, 0.153076]","[[0.952271, 0.305115, 0.002747], [-0.305237, 0.952271, 0.001465], [-0.002258, -0.002319, 0.999939]]",0.952271,"[8452, 8078, 8447, 8013]"
