t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
41.442425,"[-0.089844, 0.199219, -0.914062]","[-0.000003, 0.000000, -0.000001]","[0.009998, 0.000000, -0.049120]","[-0.000157, 0.000023, -0.000057]","[-0.002930, -0.011475, 0.063721]","[-0.005737, -0.001678, 0.031952, 0.999481]","[-0.000336, 0.000610, 0.028656, 0.999573]","[0.001953, -0.543701, 0.092285]","[[0.997986, 0.063843, 0.002930], [-0.063843, 0.997925, -0.011597], [-0.003784, 0.011353, 0.999939]]",0.997986,"[7827, 7803, 7621, 7564]"
41.542034,"[-0.078125, 0.199219, -0.906250]","[-0.000091, 0.000013, -0.000033]","[0.019999, 0.009998, 0.135668]","[-0.002231, 0.000323, -0.000821]","[-0.010742, -0.007080, 0.069824]","[-0.003387, -0.005493, 0.035034, 0.999390]","[-0.000793, 0.001709, 0.028656, 0.999573]","[-0.049561, 0.036377, 0.019043]","[[0.997559, 0.070007, 0.010742], [-0.070007, 0.997559, -0.007202], [-0.011230, 0.006348, 1.000000]]",0.997559,"[7945, 7934, 7823, 7725]"
41.608437,"[-0.078125, 0.199219, -0.890625]","[-0.000318, 0.000046, -0.000117]","[0.029999, 0.009998, 0.210835]","[-0.005936, 0.000850, -0.002191]","[-0.014648, -0.006104, 0.075439]","[-0.002777, -0.007446, 0.037720, 0.999268]","[-0.000763, 0.002197, 0.028656, 0.999573]","[0.066895, -0.210693, 0.075439]","[[0.997070, 0.075378, 0.014648], [-0.075378, 0.997131, -0.006165], [-0.015137, 0.004944, 0.999878]]",0.99707,"[8066, 7997, 7892, 7804]"
41.643593,"[-0.078125, 0.199219, -0.878906]","[-0.000624, 0.000090, -0.000230]","[0.049999, 0.009998, 0.273470]","[-0.010030, 0.001427, -0.003710]","[-0.015625, -0.005371, 0.078125]","[-0.002380, -0.007996, 0.039093, 0.999207]","[-0.000763, 0.003174, 0.028656, 0.999573]","[-0.013428, 0.084717, 0.117432]","[[0.996826, 0.078064, 0.015747], [-0.078064, 0.996948, -0.005432], [-0.016235, 0.004089, 0.999878]]",0.996826,"[8117, 8027, 7923, 7824]"
41.709999,"[-0.078125, 0.199219, -0.859375]","[-0.001881, 0.000267, -0.000697]","[0.059999, 0.029999, 0.278593]","[-0.023430, 0.003284, -0.008706]","[-0.015381, -0.002930, 0.083984]","[-0.001190, -0.007843, 0.042114, 0.999084]","[-0.001709, 0.003693, 0.028687, 0.999573]","[-0.252197, 0.345947, 0.077393]","[[0.996338, 0.084106, 0.015564], [-0.084106, 0.996460, -0.003052], [-0.015808, 0.001709, 0.999878]]",0.996338,"[8120, 8057, 8007, 7847]"
41.743202,"[-0.066406, 0.199219, -0.847656]","[-0.002383, 0.000337, -0.000883]","[0.070000, 0.019999, 0.276220]","[-0.028068, 0.003919, -0.010441]","[-0.014648, -0.004883, 0.086914]","[-0.002197, -0.007507, 0.043549, 0.999023]","[-0.001190, 0.005035, 0.028687, 0.999573]","[-0.036865, -0.144531, 0.086426]","[[0.996094, 0.086975, 0.014771], [-0.086975, 0.996155, -0.005066], [-0.015259, 0.003723, 0.999878]]",0.996094,"[8159, 8028, 8000, 7934]"
41.776413,"[-0.066406, 0.199219, -0.835938]","[-0.003687, 0.000518, -0.001369]","[0.070000, 0.039999, 0.336948]","[-0.039107, 0.005416, -0.014583]","[-0.015137, -0.003418, 0.089600]","[-0.001373, -0.007660, 0.044830, 0.998962]","[-0.002167, 0.005188, 0.028687, 0.999542]","[0.274414, 0.243164, 0.162598]","[[0.995850, 0.089539, 0.015137], [-0.089539, 0.995911, -0.003479], [-0.015503, 0.002014, 0.999817]]",0.99585,"[8205, 8107, 8016, 7909]"
41.809612,"[-0.066406, 0.199219, -0.832031]","[-0.005472, 0.000764, -0.002035]","[0.089998, 0.039999, 0.358501]","[-0.052685, 0.007235, -0.019695]","[-0.012695, -0.003906, 0.092041]","[-0.001678, -0.006470, 0.046112, 0.998932]","[-0.002136, 0.006287, 0.028687, 0.999542]","[-0.207520, 0.234619, 0.046631]","[[0.995728, 0.092102, 0.012756], [-0.092102, 0.995789, -0.003967], [-0.013123, 0.002747, 0.999939]]",0.995728,"[8153, 8132, 8136, 7985]"
41.844765,"[-0.066406, 0.199219, -0.808594]","[-0.006576, 0.000916, -0.002448]","[0.080000, 0.039999, 0.448849]","[-0.060484, 0.008269, -0.022639]","[-0.011719, -0.005127, 0.095215]","[-0.002289, -0.006073, 0.047638, 0.998871]","[-0.002014, 0.006256, 0.028687, 0.999542]","[-0.227295, 0.410156, 0.138672]","[[0.995483, 0.095154, 0.011902], [-0.095154, 0.995544, -0.005188], [-0.012390, 0.003967, 1.000000]]",0.995483,"[8305, 8131, 8118, 8015]"
41.877972,"[-0.058594, 0.207031, -0.792969]","[-0.009275, 0.001283, -0.003460]","[0.119999, 0.049999, 0.498596]","[-0.078207, 0.010593, -0.029351]","[-0.011230, -0.006104, 0.097412]","[-0.002777, -0.005829, 0.048767, 0.998810]","[-0.002899, 0.008972, 0.028687, 0.999542]","[0.048828, -0.115234, 0.028564]","[[0.995239, 0.097412, 0.011353], [-0.097412, 0.995300, -0.006165], [-0.011963, 0.004944, 0.999939]]",0.995239,"[8335, 8195, 8159, 8053]"
