t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
50.00156,"[-0.109375, 0.378906, -0.730469]","[-0.000000, 0.000000, -0.000000]","[0.000000, -0.009998, -0.012035]","[-0.000001, 0.000002, -0.000002]","[0.015381, -0.018311, 0.059326]","[-0.009460, 0.007446, 0.029785, 0.999481]","[-0.000824, 0.000610, 0.028534, 0.999573]","[0.341553, -0.613525, 0.128906]","[[0.998047, 0.059326, -0.015442], [-0.059692, 0.997986, -0.018494], [0.014221, 0.019348, 0.999695]]",0.998047,"[7967, 7871, 7916, 7953]"
50.03476,"[-0.109375, 0.386719, -0.726562]","[-0.000000, 0.000001, -0.000000]","[0.009998, -0.009998, 0.138117]","[-0.000014, 0.000035, -0.000025]","[0.006836, -0.010742, 0.061035]","[-0.005554, 0.003357, 0.030579, 0.999512]","[-0.001160, 0.001251, 0.028534, 0.999573]","[0.274414, 0.045410, 0.070801]","[[0.998108, 0.061035, -0.007019], [-0.061157, 0.998047, -0.010925], [0.006287, 0.011292, 0.999878]]",0.998108,"[7933, 8094, 7884, 7699]"
50.101166,"[-0.109375, 0.386719, -0.718750]","[-0.000003, 0.000009, -0.000006]","[0.029999, -0.019999, 0.247036]","[-0.000119, 0.000305, -0.000215]","[-0.001709, -0.004639, 0.065918]","[-0.002319, -0.000977, 0.033051, 0.999451]","[-0.000549, 0.002075, 0.028534, 0.999573]","[0.210693, -0.337402, 0.155518]","[[0.997803, 0.066040, 0.001770], [-0.066040, 0.997803, -0.004761], [-0.002136, 0.004517, 0.999939]]",0.997803,"[8033, 8092, 7962, 7828]"
50.134369,"[-0.109375, 0.386719, -0.714844]","[-0.000011, 0.000029, -0.000020]","[0.029999, -0.009998, 0.294916]","[-0.000307, 0.000791, -0.000557]","[-0.003662, -0.003418, 0.068604]","[-0.001709, -0.001923, 0.034393, 0.999390]","[-0.001038, 0.002106, 0.028534, 0.999573]","[0.064453, 0.097168, 0.021484]","[[0.997559, 0.068726, 0.003723], [-0.068726, 0.997559, -0.003601], [-0.003967, 0.003235, 0.999878]]",0.997559,"[8108, 8075, 7998, 7858]"
50.167587,"[-0.109375, 0.386719, -0.710938]","[-0.000019, 0.000048, -0.000034]","[0.039999, 0.000000, 0.329359]","[-0.000455, 0.001174, -0.000826]","[-0.006348, -0.001953, 0.071289]","[-0.000916, -0.003235, 0.035675, 0.999359]","[-0.001373, 0.002716, 0.028534, 0.999573]","[-0.122803, -0.112305, 0.048584]","[[0.997437, 0.071289, 0.006348], [-0.071289, 0.997437, -0.002075], [-0.006592, 0.001587, 0.999939]]",0.997437,"[8086, 8108, 8028, 7866]"
50.235931,"[-0.109375, 0.386719, -0.695312]","[-0.000091, 0.000236, -0.000166]","[0.019999, 0.009998, 0.373629]","[-0.001562, 0.004054, -0.002844]","[-0.007812, 0.000000, 0.077881]","[0.000305, -0.003998, 0.039032, 0.999237]","[-0.002014, 0.001740, 0.028534, 0.999573]","[-0.079102, 0.185059, 0.132568]","[[0.996948, 0.077942, 0.007996], [-0.078064, 0.996948, 0.000183], [-0.007996, -0.000916, 0.999939]]",0.996948,"[8148, 8125, 8075, 7915]"
50.269135,"[-0.097656, 0.386719, -0.691406]","[-0.000170, 0.000441, -0.000309]","[0.059999, 0.009998, 0.413662]","[-0.002516, 0.006552, -0.004589]","[-0.008545, 0.002197, 0.081055]","[0.001373, -0.004333, 0.040649, 0.999146]","[-0.001923, 0.004425, 0.028564, 0.999573]","[0.216064, -0.332031, 0.076660]","[[0.996582, 0.081116, 0.008728], [-0.081238, 0.996582, 0.002319], [-0.008606, -0.003052, 0.999878]]",0.996582,"[8128, 8129, 8139, 7926]"
50.304291,"[-0.097656, 0.386719, -0.679688]","[-0.000225, 0.000584, -0.000409]","[0.049999, 0.009998, 0.454777]","[-0.003113, 0.008123, -0.005685]","[-0.009033, 0.002441, 0.083984]","[0.001465, -0.004456, 0.042145, 0.999084]","[-0.001953, 0.004059, 0.028564, 0.999573]","[-0.287598, 0.099365, 0.117188]","[[0.996338, 0.084106, 0.009033], [-0.084229, 0.996338, 0.002441], [-0.008789, -0.003296, 0.999878]]",0.996338,"[8206, 8160, 8152, 7929]"
50.337494,"[-0.097656, 0.386719, -0.671875]","[-0.000374, 0.000973, -0.000682]","[0.089998, 0.019999, 0.428921]","[-0.004579, 0.011994, -0.008380]","[-0.009521, 0.003174, 0.087402]","[0.001862, -0.004700, 0.043762, 0.999023]","[-0.002258, 0.006042, 0.028564, 0.999542]","[0.492676, -0.196777, 0.041504]","[[0.996094, 0.087341, 0.009521], [-0.087463, 0.996094, 0.003235], [-0.009277, -0.004089, 0.999878]]",0.996094,"[8234, 8166, 8127, 7960]"
50.370697,"[-0.089844, 0.386719, -0.664062]","[-0.000588, 0.001535, -0.001074]","[0.070000, 0.029999, 0.460501]","[-0.006436, 0.016926, -0.011804]","[-0.009033, 0.004883, 0.090820]","[0.002747, -0.004425, 0.045441, 0.998962]","[-0.002747, 0.005554, 0.028564, 0.999542]","[-0.085449, 0.139648, 0.105469]","[[0.995850, 0.090698, 0.009094], [-0.090820, 0.995850, 0.005005], [-0.008606, -0.005859, 0.999939]]",0.99585,"[8180, 8211, 8212, 7927]"
