t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
55.19186,"[-0.148438, 0.167969, -0.769531]","[0.000000, 0.000000, -0.000000]","[-0.009998, 0.000000, 0.033237]","[0.000004, 0.000001, -0.000002]","[0.016357, -0.019043, 0.097656]","[-0.009918, 0.007782, 0.049042, 0.998718]","[0.000000, -0.000336, 0.047211, 0.998871]","[0.133057, -0.303711, 0.052490]","[[0.995056, 0.097717, -0.016479], [-0.098083, 0.994934, -0.019104], [0.014526, 0.020569, 0.999634]]",0.995056,"[7906, 7851, 7912, 7879]"
55.199677,"[-0.148438, 0.167969, -0.769531]","[0.000000, 0.000000, -0.000000]","[-0.009998, 0.009998, 0.039673]","[0.000004, 0.000001, -0.000002]","[0.014648, -0.017334, 0.098389]","[-0.009003, 0.006897, 0.049316, 0.998718]","[-0.000732, -0.000305, 0.047211, 0.998871]","[0.205566, -0.394775, 0.051025]","[[0.994995, 0.098267, -0.014648], [-0.098633, 0.994934, -0.017334], [0.012817, 0.018677, 0.999695]]",0.994995,"[7903, 7872, 7871, 7829]"
55.234856,"[-0.148438, 0.167969, -0.765625]","[0.000001, 0.000000, -0.000001]","[0.000000, 0.009998, 0.090492]","[0.000056, 0.000015, -0.000032]","[0.006592, -0.012207, 0.102051]","[-0.006348, 0.003082, 0.051086, 0.998688]","[-0.000580, 0.000000, 0.047211, 0.998871]","[0.010742, -0.088867, 0.103760]","[[0.994812, 0.101929, -0.006775], [-0.102051, 0.994751, -0.012390], [0.005432, 0.013000, 0.999939]]",0.994812,"[7926, 7993, 7855, 7696]"
55.268036,"[-0.148438, 0.167969, -0.761719]","[0.000003, 0.000001, -0.000002]","[0.009998, 0.000000, 0.078297]","[0.000134, 0.000035, -0.000075]","[0.001953, -0.008545, 0.104980]","[-0.004364, 0.000854, 0.052612, 0.998627]","[-0.000092, 0.000488, 0.047211, 0.998871]","[0.281006, 0.043945, 0.036133]","[[0.994507, 0.104980, -0.002136], [-0.105103, 0.994507, -0.008667], [0.001160, 0.008789, 1.000000]]",0.994507,"[7957, 7984, 7866, 7721]"
55.301235,"[-0.136719, 0.167969, -0.757812]","[0.000014, 0.000004, -0.000008]","[0.000000, 0.009998, -0.029795]","[0.000490, 0.000128, -0.000277]","[-0.000488, -0.006104, 0.108887]","[-0.003113, -0.000427, 0.054443, 0.998505]","[-0.000549, 0.000732, 0.047211, 0.998871]","[-0.141357, 0.013184, 0.126465]","[[0.994019, 0.108704, 0.000488], [-0.108704, 0.994019, -0.006287], [-0.001221, 0.006165, 0.999939]]",0.994019,"[7922, 7961, 7905, 7734]"
55.334442,"[-0.148438, 0.167969, -0.753906]","[0.000047, 0.000012, -0.000026]","[0.009998, 0.009998, -0.053478]","[0.001278, 0.000334, -0.000723]","[-0.004395, -0.003418, 0.112793]","[-0.001587, -0.002319, 0.056396, 0.998413]","[-0.000580, 0.000610, 0.047211, 0.998871]","[0.197021, -0.470459, 0.156250]","[[0.993652, 0.112610, 0.004456], [-0.112610, 0.993652, -0.003479], [-0.004822, 0.002869, 1.000000]]",0.993652,"[7916, 7923, 7896, 7686]"
55.367649,"[-0.136719, 0.167969, -0.750000]","[0.000122, 0.000032, -0.000069]","[0.019999, 0.019999, 0.100109]","[0.002721, 0.000712, -0.001540]","[-0.006104, -0.002686, 0.117188]","[-0.001190, -0.003235, 0.058594, 0.998291]","[-0.001007, 0.001862, 0.047211, 0.998871]","[-0.183838, 0.337646, 0.101562]","[[0.993164, 0.116943, 0.006287], [-0.116943, 0.993164, -0.002808], [-0.006653, 0.001953, 1.000000]]",0.993164,"[8000, 7907, 7861, 7667]"
55.402802,"[-0.148438, 0.167969, -0.742188]","[0.000185, 0.000048, -0.000105]","[0.019999, 0.029999, 0.221138]","[0.003763, 0.000986, -0.002131]","[-0.007568, -0.000732, 0.121582]","[-0.000153, -0.003815, 0.060760, 0.998138]","[-0.001526, 0.001160, 0.047211, 0.998871]","[0.320312, -0.319336, 0.125000]","[[0.992554, 0.121277, 0.007568], [-0.121277, 0.992554, -0.000793], [-0.007690, -0.000183, 0.999878]]",0.992554,"[8028, 7990, 7958, 7800]"
55.434052,"[-0.136719, 0.167969, -0.738281]","[0.000385, 0.000101, -0.000218]","[0.029999, 0.029999, 0.242430]","[0.006647, 0.001746, -0.003768]","[-0.008057, 0.000000, 0.125244]","[0.000397, -0.004059, 0.062683, 0.998016]","[-0.001465, 0.002380, 0.047211, 0.998871]","[0.110107, -0.302734, 0.104736]","[[0.992065, 0.125000, 0.008118], [-0.125122, 0.992065, 0.000183], [-0.008118, -0.001282, 0.999878]]",0.992065,"[8069, 8006, 8044, 7809]"
55.467255,"[-0.136719, 0.167969, -0.722656]","[0.000721, 0.000189, -0.000408]","[0.039999, 0.039999, 0.245052]","[0.010805, 0.002844, -0.006130]","[-0.009033, 0.000488, 0.129883]","[0.000610, -0.004547, 0.065033, 0.997894]","[-0.001923, 0.002899, 0.047211, 0.998871]","[0.074463, -0.119141, 0.139893]","[[0.991577, 0.129700, 0.009155], [-0.129822, 0.991577, 0.000549], [-0.009033, -0.001770, 1.000000]]",0.991577,"[8132, 8014, 8032, 7845]"
55.535614,"[-0.136719, 0.179688, -0.703125]","[0.001604, 0.000422, -0.000910]","[0.039999, 0.049999, 0.360651]","[0.019967, 0.005274, -0.011344]","[-0.010498, 0.002686, 0.139160]","[0.001831, -0.005219, 0.069672, 0.997528]","[-0.003143, 0.002838, 0.047211, 0.998871]","[0.098389, -0.137695, 0.099854]","[[0.990112, 0.138916, 0.010681], [-0.139038, 0.990112, 0.002869], [-0.010193, -0.004333, 0.999817]]",0.990112,"[8148, 8086, 8160, 7884]"
55.568817,"[-0.128906, 0.187500, -0.695312]","[0.002541, 0.000670, -0.001442]","[0.059999, 0.070000, 0.347961]","[0.028353, 0.007508, -0.016124]","[-0.009277, 0.001953, 0.143555]","[0.001343, -0.004578, 0.071869, 0.997375]","[-0.004547, 0.004242, 0.047241, 0.998840]","[0.148926, 0.295166, 0.074463]","[[0.989502, 0.143250, 0.009338], [-0.143372, 0.989502, 0.001953], [-0.008972, -0.003296, 0.999817]]",0.989502,"[8242, 8076, 8190, 7959]"
55.60202,"[-0.128906, 0.187500, -0.683594]","[0.003846, 0.001016, -0.002185]","[0.059999, 0.080000, 0.407045]","[0.038804, 0.010301, -0.022091]","[-0.009766, 0.002686, 0.147949]","[0.001831, -0.004822, 0.074005, 0.997223]","[-0.005035, 0.004364, 0.047241, 0.998840]","[-0.092285, -0.375244, 0.153076]","[[0.988892, 0.147522, 0.009888], [-0.147644, 0.988892, 0.002869], [-0.009399, -0.004333, 0.999817]]",0.988892,"[8203, 8165, 8234, 7920]"
