t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
48.189465,"[-0.066406, 0.437500, -0.929688]","[0.000000, -0.000000, -0.000000]","[-0.009998, 0.000000, 0.037289]","[0.000001, -0.000001, -0.000001]","[0.008789, -0.022705, 0.024170]","[-0.011475, 0.004272, 0.012238, 0.999847]","[-0.000824, 0.001221, 0.010986, 0.999908]","[0.244141, -0.125244, 0.008057]","[[0.999634, 0.024292, -0.008789], [-0.024536, 0.999390, -0.022888], [0.008179, 0.023010, 0.999634]]",0.999634,"[7928, 7880, 7802, 7789]"
48.208996,"[-0.066406, 0.437500, -0.929688]","[0.000000, -0.000000, -0.000000]","[-0.029999, 0.000000, 0.052565]","[0.000005, -0.000003, -0.000002]","[0.002930, -0.018066, 0.025391]","[-0.009033, 0.001404, 0.012756, 0.999878]","[-0.000824, 0.000244, 0.010986, 0.999939]","[0.227539, -0.459961, 0.099121]","[[0.999634, 0.025391, -0.002991], [-0.025513, 0.999512, -0.018066], [0.002502, 0.018066, 0.999817]]",0.999634,"[7921, 8012, 7797, 7649]"
48.242195,"[-0.058594, 0.437500, -0.925781]","[0.000000, -0.000000, -0.000000]","[-0.019999, 0.009998, 0.142382]","[0.000011, -0.000007, -0.000004]","[-0.003906, -0.013184, 0.026855]","[-0.006561, -0.002106, 0.013519, 0.999878]","[-0.001190, 0.001099, 0.010986, 0.999908]","[0.254150, -0.139160, -0.011230]","[[0.999573, 0.026978, 0.004028], [-0.026978, 0.999512, -0.013184], [-0.004395, 0.013062, 0.999817]]",0.999573,"[8001, 8057, 7789, 7671]"
48.277355,"[-0.066406, 0.437500, -0.921875]","[0.000001, -0.000001, -0.000000]","[-0.009998, 0.009998, 0.214020]","[0.000042, -0.000025, -0.000015]","[-0.008789, -0.010254, 0.028564]","[-0.005035, -0.004547, 0.014313, 0.999878]","[-0.001190, 0.000977, 0.010986, 0.999908]","[-0.120850, -0.634033, 0.034424]","[[0.999512, 0.028564, 0.008911], [-0.028564, 0.999512, -0.010254], [-0.009277, 0.009888, 0.999878]]",0.999512,"[8017, 8081, 7875, 7764]"
48.343773,"[-0.066406, 0.437500, -0.914062]","[0.000007, -0.000004, -0.000002]","[0.009998, 0.019999, 0.277843]","[0.000168, -0.000098, -0.000061]","[-0.013428, -0.004639, 0.031738]","[-0.002289, -0.006866, 0.015961, 0.999847]","[-0.001678, 0.002075, 0.010986, 0.999908]","[-0.045410, 0.133057, -0.014404]","[[0.999390, 0.031860, 0.013611], [-0.031860, 0.999451, -0.004822], [-0.013855, 0.004333, 0.999878]]",0.99939,"[8086, 8107, 7948, 7820]"
48.376965,"[-0.058594, 0.437500, -0.910156]","[0.000016, -0.000010, -0.000006]","[0.019999, 0.009998, 0.283674]","[0.000338, -0.000197, -0.000124]","[-0.016846, -0.003418, 0.033691]","[-0.001648, -0.008484, 0.016907, 0.999817]","[-0.001160, 0.002930, 0.010986, 0.999908]","[0.006104, -0.181152, 0.053955]","[[0.999268, 0.033752, 0.016907], [-0.033752, 0.999390, -0.003601], [-0.017029, 0.002991, 0.999817]]",0.999268,"[8106, 8131, 7943, 7830]"
48.410164,"[-0.058594, 0.437500, -0.902344]","[0.000034, -0.000020, -0.000013]","[0.019999, 0.019999, 0.310097]","[0.000610, -0.000355, -0.000223]","[-0.018555, -0.002930, 0.035645]","[-0.001312, -0.009399, 0.017883, 0.999786]","[-0.001526, 0.002930, 0.010986, 0.999908]","[0.103516, -0.122070, 0.059814]","[[0.999146, 0.035706, 0.018738], [-0.035706, 0.999268, -0.002991], [-0.018860, 0.002258, 0.999756]]",0.999146,"[8161, 8130, 7956, 7855]"
48.445324,"[-0.058594, 0.437500, -0.894531]","[0.000066, -0.000038, -0.000024]","[0.029999, 0.039999, 0.357870]","[0.001012, -0.000588, -0.000370]","[-0.019531, -0.001221, 0.037598]","[-0.000427, -0.009888, 0.018890, 0.999756]","[-0.002502, 0.003296, 0.010986, 0.999908]","[-0.107910, 0.100586, 0.142334]","[[0.999023, 0.037720, 0.019714], [-0.037720, 0.999207, -0.001282], [-0.019836, 0.000427, 0.999695]]",0.999023,"[8116, 8135, 7999, 7858]"
48.478531,"[-0.058594, 0.437500, -0.886719]","[0.000088, -0.000051, -0.000032]","[0.019999, 0.049999, 0.362467]","[0.001272, -0.000739, -0.000465]","[-0.020752, -0.000244, 0.039551]","[0.000031, -0.010468, 0.019836, 0.999725]","[-0.002991, 0.002960, 0.010986, 0.999908]","[0.237061, -0.195557, 0.027832]","[[0.998901, 0.039551, 0.020935], [-0.039673, 0.999084, -0.000427], [-0.020935, -0.000427, 0.999634]]",0.998901,"[8178, 8172, 8054, 7905]"
48.51368,"[-0.058594, 0.449219, -0.878906]","[0.000150, -0.000087, -0.000055]","[0.049999, 0.059999, 0.383434]","[0.001930, -0.001119, -0.000704]","[-0.020752, 0.000000, 0.041504]","[0.000336, -0.010406, 0.020874, 0.999725]","[-0.004211, 0.004669, 0.010986, 0.999908]","[-0.135742, -0.045898, 0.057129]","[[0.998901, 0.041626, 0.020813], [-0.041748, 0.999084, 0.000122], [-0.020813, -0.001099, 0.999756]]",0.998901,"[8145, 8179, 8076, 7902]"
