t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
45.037266,"[0.027344, 0.179688, -0.921875]","[0.000000, 0.000000, -0.000000]","[0.009998, 0.000000, 0.050562]","[0.000000, 0.000001, -0.000001]","[0.004395, -0.023682, 0.094971]","[-0.011993, 0.001740, 0.047577, 0.998779]","[0.000000, 0.000214, 0.043915, 0.999023]","[0.034912, -0.293213, 0.050537]","[[0.995361, 0.094971, -0.004578], [-0.095093, 0.995117, -0.023865], [0.002258, 0.024109, 0.999634]]",0.995361,"[8177, 8018, 7870, 7854]"
45.06461,"[0.027344, 0.179688, -0.917969]","[0.000000, 0.000000, -0.000000]","[0.019999, 0.000000, 0.044949]","[0.000000, 0.000002, -0.000002]","[-0.000977, -0.022949, 0.097656]","[-0.011444, -0.001160, 0.048920, 0.998749]","[0.000031, 0.001190, 0.043915, 0.999023]","[-0.001709, -0.240967, 0.171387]","[[0.995239, 0.097656, 0.001160], [-0.097656, 0.994995, -0.023010], [-0.003479, 0.022766, 0.999756]]",0.995239,"[8173, 8016, 7842, 7853]"
45.09782,"[0.027344, 0.179688, -0.917969]","[0.000000, 0.000000, -0.000000]","[0.029999, 0.000000, 0.056063]","[0.000001, 0.000008, -0.000009]","[-0.005127, -0.021973, 0.101318]","[-0.010803, -0.003204, 0.050720, 0.998657]","[0.000061, 0.001556, 0.043915, 0.999023]","[0.176514, -0.299072, 0.113281]","[[0.994812, 0.101318, 0.005310], [-0.101196, 0.994629, -0.021973], [-0.007507, 0.021240, 0.999756]]",0.994812,"[8175, 7995, 7811, 7846]"
45.238438,"[0.039062, 0.187500, -0.906250]","[0.000000, 0.000007, -0.000008]","[0.019999, 0.019999, 0.164194]","[0.000008, 0.000126, -0.000135]","[-0.012207, -0.021240, 0.117432]","[-0.010254, -0.006805, 0.058685, 0.998199]","[-0.001495, 0.001892, 0.043915, 0.999023]","[-0.172852, 0.297852, 0.119629]","[[0.992981, 0.117249, 0.012390], [-0.117004, 0.992859, -0.021362], [-0.014832, 0.019653, 0.999634]]",0.992981,"[8150, 7896, 7897, 7919]"
45.240395,"[0.039062, 0.187500, -0.902344]","[0.000000, 0.000007, -0.000008]","[0.049999, 0.000000, 0.152597]","[0.000008, 0.000126, -0.000135]","[-0.012939, -0.020996, 0.117676]","[-0.010162, -0.007141, 0.058807, 0.998199]","[-0.000458, 0.003296, 0.043915, 0.999023]","[0.100342, -0.388428, 0.186768]","[[0.992981, 0.117493, 0.013062], [-0.117249, 0.992859, -0.021179], [-0.015503, 0.019470, 0.999695]]",0.992981,"[8151, 7909, 7890, 7935]"
45.263836,"[0.039062, 0.187500, -0.898438]","[0.000001, 0.000010, -0.000011]","[0.080000, 0.019999, 0.193304]","[0.000011, 0.000165, -0.000176]","[-0.014893, -0.019775, 0.120605]","[-0.009430, -0.008026, 0.060303, 0.998108]","[-0.001373, 0.004822, 0.043915, 0.998993]","[0.277588, -0.573486, 0.093018]","[[0.992554, 0.120483, 0.014893], [-0.120239, 0.992554, -0.019836], [-0.017212, 0.017883, 0.999695]]",0.992554,"[8204, 7997, 7907, 7877]"
45.382969,"[0.046875, 0.187500, -0.886719]","[0.000003, 0.000051, -0.000054]","[0.109999, 0.009998, 0.213539]","[0.000037, 0.000594, -0.000634]","[-0.012451, -0.020264, 0.133789]","[-0.009644, -0.006927, 0.066925, 0.997681]","[-0.000793, 0.006866, 0.043915, 0.998993]","[-0.184082, 0.147217, 0.138428]","[[0.990906, 0.133606, 0.012512], [-0.133362, 0.990784, -0.020264], [-0.015198, 0.018311, 0.999634]]",0.990906,"[8193, 7875, 7972, 7976]"
45.38493,"[0.046875, 0.187500, -0.882812]","[0.000003, 0.000051, -0.000054]","[0.059999, 0.019999, 0.208303]","[0.000037, 0.000594, -0.000634]","[-0.013184, -0.020020, 0.134033]","[-0.009521, -0.007294, 0.067047, 0.997681]","[-0.001373, 0.004456, 0.043915, 0.999023]","[0.125977, -0.378906, 0.131836]","[[0.990845, 0.133850, 0.013306], [-0.133606, 0.990784, -0.020081], [-0.015869, 0.018005, 0.999695]]",0.990845,"[8198, 7891, 7952, 7983]"
45.398598,"[0.046875, 0.187500, -0.882812]","[0.000004, 0.000063, -0.000068]","[0.089998, 0.019999, 0.239380]","[0.000044, 0.000708, -0.000755]","[-0.012451, -0.020020, 0.135498]","[-0.009521, -0.006897, 0.067749, 0.997620]","[-0.001312, 0.005920, 0.043915, 0.998993]","[-0.095703, -0.077637, 0.095703]","[[0.990601, 0.135254, 0.012451], [-0.135010, 0.990540, -0.020020], [-0.015137, 0.018066, 0.999634]]",0.990601,"[8209, 7921, 7979, 7902]"
45.545086,"[0.058594, 0.187500, -0.863281]","[0.000017, 0.000278, -0.000296]","[0.099998, 0.019999, 0.261442]","[0.000130, 0.002246, -0.002393]","[-0.008301, -0.019531, 0.152100]","[-0.009430, -0.004944, 0.075989, 0.997070]","[-0.001251, 0.007263, 0.043915, 0.998993]","[0.172852, -0.173828, 0.097412]","[[0.988403, 0.151550, 0.008423], [-0.151428, 0.988281, -0.019653], [-0.011353, 0.018066, 0.999817]]",0.988403,"[8245, 7936, 8050, 7950]"
45.547028,"[0.078125, 0.199219, -0.863281]","[0.000017, 0.000278, -0.000296]","[0.150000, 0.029999, 0.261442]","[0.000130, 0.002246, -0.002393]","[-0.008301, -0.019531, 0.152100]","[-0.009430, -0.004944, 0.075989, 0.997070]","[-0.002319, 0.010956, 0.043945, 0.998962]","[0.172852, -0.173828, 0.097412]","[[0.988403, 0.151550, 0.008423], [-0.151428, 0.988281, -0.019653], [-0.011353, 0.018066, 0.999817]]",0.988403,"[8243, 7928, 8016, 7935]"
