t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
45.692921,"[0.046875, 0.468750, -0.796875]","[-0.000000, 0.000000, -0.000000]","[0.009998, 0.000000, 0.119040]","[-0.000003, 0.000001, -0.000002]","[0.018555, -0.021973, 0.047852]","[-0.011292, 0.009033, 0.024078, 0.999603]","[0.000000, 0.000092, 0.023285, 0.999725]","[0.510986, 0.361816, -0.051270]","[[0.998657, 0.047852, -0.018555], [-0.048340, 0.998535, -0.022156], [0.017456, 0.023010, 0.999512]]",0.998657,"[8062, 7877, 7907, 7974]"
45.794479,"[0.058594, 0.468750, -0.789062]","[-0.000011, 0.000002, -0.000006]","[0.029999, 0.000000, 0.077316]","[-0.000400, 0.000087, -0.000207]","[0.002441, -0.007324, 0.052002]","[-0.003754, 0.001160, 0.026123, 0.999664]","[0.000031, 0.001923, 0.023285, 0.999725]","[-0.104492, -0.231201, 0.009766]","[[0.998657, 0.052124, -0.002502], [-0.052246, 0.998657, -0.007507], [0.002014, 0.007507, 1.000000]]",0.998657,"[7947, 7993, 7897, 7824]"
45.860889,"[0.058594, 0.468750, -0.785156]","[-0.000099, 0.000022, -0.000051]","[0.039999, 0.009998, 0.110464]","[-0.002205, 0.000481, -0.001141]","[-0.002441, -0.003174, 0.055176]","[-0.001648, -0.001312, 0.027649, 0.999634]","[-0.000549, 0.002563, 0.023285, 0.999695]","[0.059326, -0.082275, 0.025635]","[[0.998535, 0.055237, 0.002502], [-0.055237, 0.998535, -0.003418], [-0.002747, 0.003174, 1.000061]]",0.998535,"[7932, 8007, 7917, 7763]"
45.929249,"[0.066406, 0.468750, -0.769531]","[-0.000311, 0.000068, -0.000161]","[0.039999, 0.019999, 0.239542]","[-0.005352, 0.001175, -0.002778]","[-0.004883, 0.000244, 0.058350]","[0.000244, -0.002533, 0.029236, 0.999573]","[-0.001007, 0.003052, 0.023315, 0.999695]","[0.166748, -0.402588, 0.015381]","[[0.998291, 0.058350, 0.005066], [-0.058472, 0.998291, 0.000244], [-0.005066, -0.000610, 1.000000]]",0.998291,"[8005, 8051, 7983, 7885]"
45.962448,"[0.066406, 0.488281, -0.757812]","[-0.000582, 0.000127, -0.000302]","[0.049999, 0.029999, 0.260500]","[-0.008665, 0.001911, -0.004506]","[-0.004395, 0.001221, 0.059570]","[0.000824, -0.002258, 0.029877, 0.999573]","[-0.002716, 0.003723, 0.023315, 0.999695]","[-0.052246, 0.564209, 0.045898]","[[0.998291, 0.059631, 0.004517], [-0.059753, 0.998291, 0.001404], [-0.004517, -0.001770, 1.000061]]",0.998291,"[8023, 8062, 8020, 7845]"
45.997604,"[0.066406, 0.488281, -0.750000]","[-0.001004, 0.000221, -0.000521]","[0.059999, 0.029999, 0.313036]","[-0.013164, 0.002917, -0.006859]","[-0.006104, 0.001953, 0.060791]","[0.001160, -0.003113, 0.030548, 0.999542]","[-0.002686, 0.004333, 0.023315, 0.999695]","[0.285889, -0.294922, -0.043457]","[[0.998169, 0.060974, 0.006287], [-0.061096, 0.998169, 0.002014], [-0.006165, -0.002502, 1.000000]]",0.998169,"[8081, 8088, 8018, 7904]"
46.030807,"[0.066406, 0.488281, -0.738281]","[-0.001628, 0.000359, -0.000847]","[0.070000, 0.049999, 0.346186]","[-0.019022, 0.004236, -0.009931]","[-0.004395, 0.002686, 0.062256]","[0.001465, -0.002228, 0.031189, 0.999512]","[-0.003662, 0.004822, 0.023315, 0.999695]","[-0.134277, 0.182129, 0.079834]","[[0.998047, 0.062256, 0.004517], [-0.062378, 0.998047, 0.002686], [-0.004395, -0.003052, 0.999939]]",0.998047,"[8053, 8096, 8082, 7910]"
46.097218,"[0.078125, 0.488281, -0.714844]","[-0.003066, 0.000681, -0.001599]","[0.080000, 0.059999, 0.474865]","[-0.030685, 0.006886, -0.016072]","[-0.003906, 0.002930, 0.064941]","[0.001648, -0.001984, 0.032623, 0.999481]","[-0.004120, 0.006195, 0.023315, 0.999695]","[0.045410, 0.220459, -0.035889]","[[0.997925, 0.065125, 0.004028], [-0.065247, 0.997925, 0.003052], [-0.003906, -0.003418, 1.000000]]",0.997925,"[8109, 8171, 8162, 7970]"
46.130421,"[0.078125, 0.488281, -0.707031]","[-0.004452, 0.000993, -0.002326]","[0.080000, 0.070000, 0.458124]","[-0.040564, 0.009152, -0.021294]","[-0.003906, 0.001465, 0.065918]","[0.000885, -0.002014, 0.033020, 0.999451]","[-0.004608, 0.006317, 0.023315, 0.999695]","[0.185791, -0.139648, -0.004395]","[[0.997803, 0.065918, 0.004028], [-0.066040, 0.997803, 0.001526], [-0.004028, -0.001892, 0.999939]]",0.997803,"[8222, 8177, 8130, 8072]"
46.165573,"[0.078125, 0.488281, -0.687500]","[-0.005298, 0.001184, -0.002770]","[0.099998, 0.080000, 0.534008]","[-0.046172, 0.010446, -0.024267]","[-0.003662, 0.000488, 0.067139]","[0.000397, -0.001923, 0.033661, 0.999451]","[-0.005066, 0.007416, 0.023346, 0.999664]","[-0.010986, -0.011475, 0.050049]","[[0.997803, 0.067200, 0.003845], [-0.067322, 0.997803, 0.000549], [-0.003845, -0.000916, 1.000061]]",0.997803,"[8258, 8217, 8196, 8116]"
