t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
39.197853,"[0.019531, 0.109375, -1.121094]","[-0.000000, 0.000000, 0.000000]","[0.009998, 0.009998, 0.007315]","[-0.000013, 0.000003, 0.000002]","[0.000488, -0.023926, 0.033936]","[-0.012054, 0.000153, 0.017090, 0.999786]","[-0.000702, 0.000732, 0.015472, 0.999878]","[-0.069092, -0.250244, 0.004395]","[[0.999390, 0.034058, -0.000671], [-0.034180, 0.999146, -0.024109], [-0.000183, 0.024109, 0.999695]]",0,"[8020, 7773, 7643, 7840]"
39.233025,"[0.019531, 0.109375, -1.117188]","[-0.000001, 0.000000, 0.000000]","[0.009998, 0.000000, 0.038860]","[-0.000066, 0.000012, 0.000010]","[-0.006592, -0.024170, 0.036377]","[-0.012054, -0.003540, 0.018280, 0.999756]","[-0.000092, 0.000732, 0.015472, 0.999878]","[-0.001221, -0.242676, 0.104736]","[[0.999268, 0.036560, 0.006592], [-0.036438, 0.999023, -0.024292], [-0.007568, 0.023926, 0.999634]]",0,"[8072, 7882, 7654, 7761]"
39.299416,"[0.027344, 0.109375, -1.113281]","[-0.000020, 0.000004, 0.000003]","[0.029999, 0.000000, 0.069298]","[-0.000619, 0.000115, 0.000093]","[-0.013184, -0.026367, 0.040527]","[-0.013092, -0.006927, 0.020294, 0.999695]","[-0.000061, 0.002075, 0.015472, 0.999847]","[-0.050293, 0.220459, 0.096191]","[[0.999084, 0.040649, 0.013306], [-0.040405, 0.998840, -0.026489], [-0.014404, 0.025879, 0.999573]]",0,"[8133, 7860, 7724, 7873]"
39.332623,"[0.019531, 0.109375, -1.109375]","[-0.000059, 0.000011, 0.000009]","[0.019999, 0.000000, 0.093363]","[-0.001452, 0.000270, 0.000219]","[-0.015869, -0.027588, 0.042725]","[-0.013702, -0.008331, 0.021393, 0.999634]","[-0.000092, 0.001221, 0.015472, 0.999878]","[-0.112061, -0.243652, 0.117676]","[[0.998901, 0.042908, 0.016052], [-0.042542, 0.998657, -0.027771], [-0.017273, 0.027039, 0.999390]]",0,"[8120, 7869, 7734, 7864]"
39.365822,"[0.019531, 0.109375, -1.105469]","[-0.000115, 0.000021, 0.000017]","[0.039999, 0.000000, 0.112850]","[-0.002464, 0.000456, 0.000371]","[-0.018555, -0.028320, 0.044678]","[-0.013977, -0.009613, 0.022278, 0.999603]","[-0.000061, 0.002197, 0.015472, 0.999847]","[0.104736, -0.176270, -0.065186]","[[0.998779, 0.044739, 0.018555], [-0.044250, 0.998596, -0.028442], [-0.019897, 0.027466, 0.999390]]",0,"[8167, 7907, 7755, 7863]"
39.399025,"[0.019531, 0.109375, -1.105469]","[-0.000207, 0.000038, 0.000031]","[0.029999, 0.000000, 0.091627]","[-0.003905, 0.000720, 0.000589]","[-0.019287, -0.028564, 0.046631]","[-0.014069, -0.009979, 0.023254, 0.999573]","[-0.000092, 0.001953, 0.015472, 0.999878]","[-0.016113, 0.154053, 0.110107]","[[0.998657, 0.046692, 0.019287], [-0.046204, 0.998474, -0.028625], [-0.020630, 0.027649, 0.999329]]",0,"[8144, 7887, 7778, 7867]"
39.465431,"[0.027344, 0.117188, -1.097656]","[-0.000644, 0.000119, 0.000097]","[0.059999, 0.000000, 0.124392]","[-0.009437, 0.001727, 0.001428]","[-0.021729, -0.029785, 0.050293]","[-0.014648, -0.011322, 0.025116, 0.999512]","[-0.000549, 0.003906, 0.015503, 0.999847]","[0.081299, -0.090576, 0.008301]","[[0.998474, 0.050476, 0.021851], [-0.049866, 0.998291, -0.029907], [-0.023438, 0.028687, 0.999268]]",0,"[8202, 7930, 7797, 7924]"
39.500603,"[0.039062, 0.117188, -1.097656]","[-0.001103, 0.000202, 0.000167]","[0.049999, 0.000000, 0.111942]","[-0.014312, 0.002606, 0.002169]","[-0.021729, -0.030518, 0.052490]","[-0.014954, -0.011261, 0.026184, 0.999481]","[-0.000519, 0.004150, 0.015503, 0.999847]","[-0.063721, -0.108643, 0.070801]","[[0.998352, 0.052612, 0.021729], [-0.052002, 0.998169, -0.030518], [-0.023315, 0.029297, 0.999268]]",0,"[8199, 7928, 7797, 7905]"
39.533791,"[0.039062, 0.117188, -1.101562]","[-0.001588, 0.000291, 0.000240]","[0.070000, 0.000000, 0.077574]","[-0.018949, 0.003437, 0.002876]","[-0.021240, -0.030518, 0.054443]","[-0.014984, -0.011047, 0.027130, 0.999451]","[-0.000519, 0.005249, 0.015503, 0.999847]","[0.061523, 0.098145, 0.009766]","[[0.998230, 0.054504, 0.021240], [-0.053894, 0.997986, -0.030579], [-0.022949, 0.029358, 0.999268]]",0,"[8187, 7919, 7809, 7913]"
39.566994,"[0.039062, 0.117188, -1.101562]","[-0.002472, 0.000450, 0.000375]","[0.080000, 0.000000, 0.064495]","[-0.026605, 0.004801, 0.004045]","[-0.020264, -0.030518, 0.056641]","[-0.015015, -0.010620, 0.028229, 0.999420]","[-0.000519, 0.005859, 0.015503, 0.999847]","[-0.058838, 0.008301, 0.146240]","[[0.998108, 0.056702, 0.020386], [-0.056091, 0.997864, -0.030640], [-0.022095, 0.029419, 0.999268]]",0,"[8176, 7897, 7799, 7915]"
