t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
33.106972,"[0.089844, 0.066406, -1.183594]","[0.000000, 0.000000, 0.000000]","[0.039999, 0.029999, 0.170542]","[0.000001, 0.000000, 0.000000]","[0.005615, -0.021729, 0.026855]","[-0.010986, 0.002686, 0.013580, 0.999847]","[-0.001190, 0.001709, 0.013184, 0.999908]","[-0.147461, -0.070557, 0.072754]","[[0.999573, 0.027039, -0.005615], [-0.027161, 0.999390, -0.021912], [0.005005, 0.022034, 0.999756]]",0,"[8163, 8005, 7948, 8059]"
33.130417,"[0.089844, 0.066406, -1.183594]","[0.000000, 0.000000, 0.000000]","[0.019999, 0.019999, 0.150169]","[0.000006, 0.000002, 0.000001]","[0.000000, -0.023682, 0.027832]","[-0.011902, -0.000183, 0.013947, 0.999847]","[-0.001190, 0.000732, 0.013184, 0.999908]","[-0.101562, -0.584961, 0.025391]","[[0.999634, 0.027832, 0.000000], [-0.027832, 0.999390, -0.023865], [-0.000732, 0.023743, 0.999756]]",0,"[8292, 8099, 7945, 8065]"
33.165565,"[0.089844, 0.066406, -1.183594]","[0.000001, 0.000000, 0.000000]","[0.009998, 0.019999, 0.118240]","[0.000061, 0.000021, 0.000012]","[-0.008545, -0.028564, 0.029053]","[-0.014252, -0.004578, 0.014526, 0.999786]","[-0.001068, 0.000244, 0.013153, 0.999908]","[-0.197998, -0.186035, 0.069092]","[[0.999512, 0.029114, 0.008728], [-0.028870, 0.999146, -0.028687], [-0.009583, 0.028320, 0.999512]]",0,"[8397, 8070, 7800, 8040]"
33.210487,"[0.089844, 0.066406, -1.183594]","[0.000007, 0.000002, 0.000001]","[0.029999, 0.019999, 0.079275]","[0.000256, 0.000088, 0.000052]","[-0.017334, -0.030029, 0.031006]","[-0.014923, -0.008972, 0.015411, 0.999725]","[-0.001068, 0.001221, 0.013184, 0.999908]","[-0.138184, -0.319092, 0.051025]","[[0.999329, 0.031006, 0.017456], [-0.030518, 0.999023, -0.030151], [-0.018433, 0.029541, 0.999329]]",0,"[8300, 8060, 7776, 7922]"
33.231972,"[0.089844, 0.066406, -1.183594]","[0.000013, 0.000005, 0.000003]","[0.029999, 0.009998, 0.063807]","[0.000443, 0.000153, 0.000090]","[-0.020020, -0.031250, 0.031982]","[-0.015533, -0.010376, 0.015900, 0.999695]","[-0.000580, 0.001221, 0.013184, 0.999908]","[-0.197998, -0.153564, 0.062012]","[[0.999207, 0.032043, 0.020203], [-0.031433, 0.998962, -0.031433], [-0.021301, 0.030701, 0.999268]]",0,"[8271, 8014, 7745, 7908]"
33.276897,"[0.097656, 0.066406, -1.187500]","[0.000054, 0.000019, 0.000011]","[0.049999, 0.009998, 0.005266]","[0.001325, 0.000458, 0.000268]","[-0.024658, -0.033691, 0.034180]","[-0.016663, -0.012695, 0.016998, 0.999634]","[-0.000549, 0.002808, 0.013184, 0.999908]","[-0.322510, 0.098877, 0.065430]","[[0.999084, 0.034302, 0.024780], [-0.033569, 0.998840, -0.033813], [-0.026001, 0.032837, 0.999084]]",0,"[8235, 7976, 7715, 7864]"
33.298378,"[0.097656, 0.066406, -1.191406]","[0.000085, 0.000029, 0.000017]","[0.049999, 0.019999, -0.002647]","[0.001896, 0.000656, 0.000383]","[-0.026611, -0.033447, 0.035156]","[-0.016541, -0.013702, 0.017487, 0.999603]","[-0.001038, 0.002808, 0.013184, 0.999908]","[-0.155273, 0.350098, 0.088135]","[[0.998901, 0.035339, 0.026794], [-0.034485, 0.998779, -0.033569], [-0.028015, 0.032593, 0.999023]]",0,"[8218, 7955, 7690, 7807]"
33.419472,"[0.109375, 0.066406, -1.195312]","[0.000767, 0.000266, 0.000155]","[0.080000, 0.000000, -0.049921]","[0.010471, 0.003638, 0.002113]","[-0.031982, -0.036377, 0.042236]","[-0.017914, -0.016449, 0.020874, 0.999481]","[-0.000031, 0.005127, 0.013153, 0.999878]","[0.221680, 0.030273, 0.046631]","[[0.998535, 0.042236, 0.032104], [-0.041138, 0.998413, -0.036560], [-0.033691, 0.035095, 0.998779]]",0,"[8134, 7904, 7671, 7780]"
33.43317,"[0.109375, 0.066406, -1.199219]","[0.000874, 0.000303, 0.000177]","[0.109999, 0.009998, -0.060072]","[0.011584, 0.004026, 0.002338]","[-0.032471, -0.037109, 0.042725]","[-0.018188, -0.016663, 0.021210, 0.999481]","[-0.000519, 0.006592, 0.013184, 0.999878]","[0.105713, -0.178467, 0.113281]","[[0.998535, 0.042908, 0.032532], [-0.041809, 0.998474, -0.037109], [-0.034119, 0.035645, 0.998779]]",0,"[8140, 7873, 7656, 7818]"
33.509331,"[0.117188, 0.078125, -1.207031]","[0.002209, 0.000768, 0.000446]","[0.129999, 0.009998, -0.068424]","[0.023536, 0.008199, 0.004744]","[-0.031250, -0.035889, 0.047852]","[-0.017578, -0.016052, 0.023773, 0.999420]","[-0.001221, 0.008057, 0.013184, 0.999878]","[0.017334, 0.207520, 0.096680]","[[0.998291, 0.048035, 0.031250], [-0.046936, 0.998169, -0.035950], [-0.032959, 0.034363, 0.998779]]",0,"[8125, 7818, 7638, 7784]"
33.532757,"[0.117188, 0.078125, -1.207031]","[0.002706, 0.000941, 0.000546]","[0.139999, 0.000000, -0.072340]","[0.027455, 0.009571, 0.005533]","[-0.029785, -0.035156, 0.049316]","[-0.017273, -0.015411, 0.024506, 0.999420]","[-0.000610, 0.008545, 0.013184, 0.999847]","[0.062500, 0.189453, 0.078125]","[[0.998230, 0.049438, 0.029968], [-0.048462, 0.998108, -0.035339], [-0.031677, 0.033752, 0.998840]]",0,"[8079, 7807, 7660, 7766]"
33.657757,"[0.128906, 0.066406, -1.218750]","[0.008278, 0.002888, 0.001668]","[0.179998, -0.009998, -0.089128]","[0.063501, 0.022237, 0.012773]","[-0.025146, -0.033936, 0.057373]","[-0.016571, -0.013062, 0.028503, 0.999359]","[0.000732, 0.010590, 0.013153, 0.999847]","[0.103027, 0.133057, 0.025879]","[[0.997925, 0.057373, 0.025146], [-0.056519, 0.997742, -0.033936], [-0.027100, 0.032349, 0.999023]]",0,"[8058, 7762, 7636, 7729]"
33.659702,"[0.136719, 0.066406, -1.230469]","[0.008278, 0.002888, 0.001668]","[0.160000, -0.009998, -0.129145]","[0.063501, 0.022237, 0.012773]","[-0.024658, -0.033936, 0.057373]","[-0.016571, -0.012878, 0.028564, 0.999359]","[0.000732, 0.010101, 0.013153, 0.999847]","[-0.043213, -0.049316, 0.089355]","[[0.997925, 0.057434, 0.024780], [-0.056702, 0.997742, -0.033936], [-0.026733, 0.032349, 0.999023]]",0,"[8090, 7778, 7662, 7741]"
33.667519,"[0.148438, 0.066406, -1.230469]","[0.008915, 0.003112, 0.001796]","[0.169998, -0.009998, -0.133911]","[0.067087, 0.023502, 0.013492]","[-0.024414, -0.033691, 0.057861]","[-0.016510, -0.012695, 0.028870, 0.999359]","[0.000732, 0.011322, 0.013153, 0.999847]","[-0.048584, -0.005127, 0.105713]","[[0.997925, 0.058044, 0.024414], [-0.057312, 0.997742, -0.033813], [-0.026367, 0.032227, 0.999084]]",0,"[8068, 7785, 7636, 7734]"
33.700722,"[0.156250, 0.066406, -1.238281]","[0.011047, 0.003859, 0.002224]","[0.219999, -0.009998, -0.146145]","[0.078583, 0.027560, 0.015797]","[-0.021973, -0.032715, 0.059814]","[-0.016083, -0.011536, 0.029785, 0.999359]","[0.000916, 0.014130, 0.013153, 0.999786]","[0.092285, 0.034668, -0.017334]","[[0.997925, 0.059875, 0.022095], [-0.059143, 0.997681, -0.032898], [-0.024048, 0.031433, 0.999207]]",0,"[8031, 7738, 7603, 7718]"
33.733944,"[0.156250, 0.066406, -1.238281]","[0.014442, 0.005051, 0.002907]","[0.189999, -0.009998, -0.145985]","[0.095639, 0.033595, 0.019213]","[-0.019287, -0.031494, 0.061768]","[-0.015411, -0.010162, 0.030853, 0.999359]","[0.000885, 0.012543, 0.013153, 0.999817]","[0.101318, 0.064453, 0.079590]","[[0.997864, 0.061951, 0.019348], [-0.061340, 0.997620, -0.031494], [-0.021301, 0.030151, 0.999329]]",0,"[8024, 7721, 7623, 7681]"
