t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
31.771046,"[0.066406, 0.046875, -1.125000]","[-0.000006, 0.000003, 0.000003]","[0.009998, 0.009998, 0.049030]","[-0.000237, 0.000110, 0.000100]","[-0.012695, -0.027344, 0.010010]","[-0.013641, -0.006439, 0.005035, 0.999878]","[-0.000580, 0.000732, 0.003052, 0.999969]","[-0.087158, -0.055420, -0.030518]","[[0.999878, 0.010132, 0.012695], [-0.009888, 0.999573, -0.027405], [-0.013062, 0.027161, 0.999512]]",0,"[8237, 8026, 7767, 7951]"
31.812059,"[0.066406, 0.046875, -1.125000]","[-0.000023, 0.000011, 0.000010]","[0.000000, 0.000000, 0.022629]","[-0.000667, 0.000309, 0.000282]","[-0.016602, -0.029053, 0.011719]","[-0.014496, -0.008392, 0.005890, 0.999847]","[-0.000092, 0.000122, 0.003052, 0.999969]","[-0.080811, -0.169678, 0.120361]","[[0.999756, 0.011902, 0.016602], [-0.011536, 0.999512, -0.029114], [-0.016968, 0.028870, 0.999451]]",0,"[8167, 7964, 7744, 7918]"
31.927296,"[0.066406, 0.046875, -1.125000]","[-0.000299, 0.000139, 0.000127]","[0.019999, 0.000000, 0.060551]","[-0.005024, 0.002346, 0.002132]","[-0.023438, -0.031982, 0.015869]","[-0.015869, -0.011963, 0.007812, 0.999786]","[-0.000092, 0.001465, 0.003052, 0.999969]","[-0.007080, -0.284180, 0.015625]","[[0.999634, 0.015930, 0.023621], [-0.015198, 0.999390, -0.031982], [-0.024231, 0.031494, 0.999268]]",0,"[8192, 7968, 7774, 7951]"
31.933159,"[0.066406, 0.046875, -1.125000]","[-0.000351, 0.000163, 0.000149]","[0.039999, 0.000000, 0.037403]","[-0.005697, 0.002662, 0.002418]","[-0.023438, -0.031738, 0.015869]","[-0.015808, -0.011963, 0.007812, 0.999786]","[-0.000092, 0.002441, 0.003052, 0.999969]","[-0.004395, 0.238037, 0.065674]","[[0.999634, 0.015930, 0.023621], [-0.015198, 0.999390, -0.031860], [-0.024231, 0.031372, 0.999268]]",0,"[8151, 7956, 7779, 7944]"
31.935104,"[0.066406, 0.046875, -1.132812]","[-0.000351, 0.000163, 0.000149]","[0.059999, 0.000000, 0.030363]","[-0.005697, 0.002662, 0.002418]","[-0.023926, -0.031982, 0.016113]","[-0.015869, -0.012115, 0.007904, 0.999756]","[-0.000092, 0.003418, 0.003052, 0.999969]","[-0.004883, -0.328369, -0.018799]","[[0.999512, 0.016113, 0.023926], [-0.015381, 0.999268, -0.031982], [-0.024536, 0.031494, 0.999146]]",0,"[8172, 7966, 7785, 7933]"
32.07378,"[0.089844, 0.046875, -1.128906]","[-0.002123, 0.000996, 0.000902]","[0.080000, -0.009998, 0.019077]","[-0.022891, 0.010796, 0.009752]","[-0.022461, -0.032715, 0.020264]","[-0.016235, -0.011414, 0.010071, 0.999756]","[0.000488, 0.005951, 0.003021, 0.999969]","[-0.052490, 0.006592, -0.021973]","[[0.999512, 0.020447, 0.022461], [-0.019714, 0.999268, -0.032715], [-0.023193, 0.032227, 0.999207]]",0,"[8131, 7914, 7749, 7926]"
32.075729,"[0.089844, 0.039062, -1.136719]","[-0.002123, 0.000996, 0.000902]","[0.089998, -0.009998, -0.028435]","[-0.022891, 0.010796, 0.009752]","[-0.022705, -0.032715, 0.020264]","[-0.016235, -0.011536, 0.009979, 0.999756]","[0.000854, 0.006561, 0.003021, 0.999969]","[0.028076, -0.011719, 0.101807]","[[0.999512, 0.020264, 0.022705], [-0.019531, 0.999268, -0.032715], [-0.023438, 0.032227, 0.999207]]",0,"[8161, 7889, 7763, 7907]"
32.10112,"[0.089844, 0.039062, -1.136719]","[-0.002879, 0.001353, 0.001225]","[0.109999, -0.019999, -0.015089]","[-0.028896, 0.013657, 0.012322]","[-0.022217, -0.032715, 0.020996]","[-0.016296, -0.011383, 0.010437, 0.999756]","[0.001465, 0.007538, 0.003021, 0.999939]","[-0.044189, 0.073730, 0.017578]","[[0.999512, 0.021179, 0.022400], [-0.020447, 0.999268, -0.032837], [-0.023132, 0.032349, 0.999207]]",0,"[8152, 7889, 7728, 7881]"
32.259331,"[0.097656, 0.039062, -1.136719]","[-0.010878, 0.005161, 0.004645]","[0.129999, -0.019999, -0.030382]","[-0.078847, 0.037728, 0.033783]","[-0.014893, -0.029297, 0.026367]","[-0.014618, -0.007690, 0.013153, 0.999786]","[0.001709, 0.009735, 0.003021, 0.999939]","[0.009521, 0.217041, 0.057617]","[[0.999573, 0.026428, 0.014954], [-0.026062, 0.999207, -0.029480], [-0.015808, 0.028992, 0.999451]]",0,"[8129, 7856, 7771, 7907]"
32.261284,"[0.109375, 0.039062, -1.136719]","[-0.010878, 0.005161, 0.004645]","[0.119999, -0.029999, -0.020700]","[-0.078847, 0.037728, 0.033783]","[-0.014893, -0.029541, 0.026611]","[-0.014648, -0.007751, 0.013336, 0.999786]","[0.002197, 0.009979, 0.003021, 0.999939]","[-0.042725, -0.075439, 0.122070]","[[0.999573, 0.026794, 0.015076], [-0.026428, 0.999207, -0.029541], [-0.015930, 0.029053, 0.999451]]",0,"[8131, 7875, 7782, 7922]"
