t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
44.853756,"[0.007812, 0.187500, -1.027344]","[0.000000, 0.000000, 0.000000]","[-0.009998, -0.029999, 0.224607]","[0.000001, 0.000000, 0.000001]","[0.007324, -0.023193, 0.081299]","[-0.011749, 0.003265, 0.040802, 0.999084]","[0.000214, -0.000366, 0.039886, 0.999176]","[0.132080, 0.094238, 0.069580]","[[0.996582, 0.081360, -0.007446], [-0.081604, 0.996338, -0.023254], [0.005493, 0.023743, 0.999634]]",0,"[8274, 8050, 8024, 8108]"
44.865479,"[0.007812, 0.179688, -1.027344]","[0.000000, 0.000000, 0.000000]","[0.000000, -0.019999, 0.201111]","[0.000004, 0.000001, 0.000002]","[0.004883, -0.021973, 0.082275]","[-0.011047, 0.002075, 0.041199, 0.999084]","[0.000946, -0.000031, 0.039886, 0.999176]","[0.070801, -0.507812, 0.034912]","[[0.996521, 0.082214, -0.005005], [-0.082336, 0.996338, -0.021973], [0.003174, 0.022217, 0.999695]]",0,"[8291, 8136, 8110, 8117]"
44.931881,"[0.007812, 0.179688, -1.015625]","[0.000004, 0.000001, 0.000002]","[0.009998, -0.009998, 0.198364]","[0.000193, 0.000050, 0.000109]","[-0.015625, -0.017090, 0.087891]","[-0.008270, -0.008240, 0.043976, 0.998962]","[0.000610, 0.000458, 0.039886, 0.999176]","[-0.000977, -0.415283, -0.000977]","[[0.995972, 0.087952, 0.015747], [-0.087708, 0.995972, -0.017273], [-0.017212, 0.015808, 0.999695]]",0,"[8424, 8269, 7950, 7952]"
44.998283,"[0.007812, 0.179688, -1.007812]","[0.000035, 0.000009, 0.000020]","[0.019999, -0.009998, 0.184814]","[0.001029, 0.000269, 0.000582]","[-0.025635, -0.014404, 0.095703]","[-0.006653, -0.013184, 0.047791, 0.998749]","[0.000641, 0.001068, 0.039886, 0.999176]","[0.201172, 0.013916, 0.028076]","[[0.995056, 0.095581, 0.025696], [-0.095337, 0.995300, -0.014587], [-0.027039, 0.012024, 0.999512]]",0,"[8333, 8194, 7940, 7905]"
45.03344,"[0.007812, 0.179688, -1.007812]","[0.000098, 0.000026, 0.000055]","[0.019999, 0.000000, 0.151550]","[0.002285, 0.000598, 0.001293]","[-0.029785, -0.014160, 0.099609]","[-0.006317, -0.015228, 0.049805, 0.998596]","[0.000153, 0.001068, 0.039886, 0.999176]","[-0.029053, -0.331055, 0.093994]","[[0.994446, 0.099609, 0.029785], [-0.099243, 0.994812, -0.014160], [-0.031128, 0.011108, 0.999329]]",0,"[8333, 8189, 7950, 7883]"
45.066643,"[0.007812, 0.179688, -1.007812]","[0.000185, 0.000048, 0.000105]","[0.039999, 0.000000, 0.117931]","[0.003763, 0.000986, 0.002131]","[-0.031982, -0.014160, 0.103516]","[-0.006256, -0.016388, 0.051758, 0.998505]","[0.000183, 0.002045, 0.039886, 0.999176]","[0.097900, 0.147461, 0.130127]","[[0.994080, 0.103516, 0.032104], [-0.103149, 0.994507, -0.014221], [-0.033447, 0.010803, 0.999329]]",0,"[8345, 8135, 7943, 7893]"
45.09985,"[0.007812, 0.179688, -1.007812]","[0.000385, 0.000101, 0.000218]","[0.059999, 0.000000, 0.100790]","[0.006646, 0.001746, 0.003767]","[-0.034180, -0.014648, 0.107666]","[-0.006409, -0.017548, 0.053802, 0.998383]","[0.000214, 0.003021, 0.039886, 0.999176]","[-0.067139, -0.275879, 0.076416]","[[0.993591, 0.107605, 0.034363], [-0.107239, 0.994141, -0.014709], [-0.035828, 0.010925, 0.999268]]",0,"[8300, 8105, 7920, 7836]"
45.136955,"[0.007812, 0.179688, -1.011719]","[0.000721, 0.000189, 0.000408]","[0.070000, 0.009998, 0.078533]","[0.010805, 0.002844, 0.006130]","[-0.035889, -0.014648, 0.112305]","[-0.006348, -0.018433, 0.056091, 0.998230]","[-0.000214, 0.003540, 0.039886, 0.999176]","[-0.013672, -0.231201, 0.049805]","[[0.992981, 0.112122, 0.036072], [-0.111755, 0.993591, -0.014771], [-0.037537, 0.010620, 0.999207]]",0,"[8271, 8064, 7892, 7824]"
45.166256,"[0.019531, 0.179688, -1.011719]","[0.001095, 0.000288, 0.000621]","[0.099998, 0.009998, 0.081181]","[0.014909, 0.003931, 0.008464]","[-0.036621, -0.014648, 0.116211]","[-0.006256, -0.018768, 0.058014, 0.998108]","[-0.000122, 0.005615, 0.039886, 0.999176]","[0.068848, -0.195557, 0.049805]","[[0.992493, 0.115967, 0.036743], [-0.115601, 0.993103, -0.014709], [-0.038208, 0.010315, 0.999146]]",0,"[8251, 8051, 7869, 7808]"
45.201412,"[0.019531, 0.179688, -1.019531]","[0.001604, 0.000422, 0.000910]","[0.089998, 0.019999, 0.024809]","[0.019965, 0.005274, 0.011342]","[-0.036621, -0.014893, 0.120850]","[-0.006287, -0.018738, 0.060394, 0.997955]","[-0.000641, 0.005249, 0.039886, 0.999176]","[-0.071045, 0.120361, 0.232910]","[[0.991882, 0.120667, 0.036621], [-0.120300, 0.992493, -0.014893], [-0.038208, 0.010254, 0.999084]]",0,"[8278, 8017, 7864, 7782]"
