t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
29.904827,"[0.058594, 0.117188, -1.058594]","[0.000000, -0.000000, 0.000000]","[0.029999, 0.009998, 0.017078]","[0.000001, -0.000000, 0.000000]","[-0.014160, -0.030518, 0.055908]","[-0.015137, -0.007538, 0.027893, 0.999481]","[0.000610, 0.000946, 0.021698, 0.999756]","[-0.066650, -0.222656, 0.129639]","[[0.998352, 0.055908, 0.014221], [-0.055542, 0.997986, -0.030701], [-0.015930, 0.029846, 0.999451]]",0,"[8110, 7866, 7750, 7868]"
29.920469,"[0.058594, 0.128906, -1.058594]","[0.000000, -0.000000, 0.000000]","[0.029999, 0.019999, 0.018990]","[0.000001, -0.000000, 0.000000]","[-0.015381, -0.030762, 0.057129]","[-0.015167, -0.008179, 0.028503, 0.999451]","[-0.000580, 0.000977, 0.021698, 0.999756]","[-0.084717, -0.240234, 0.104492]","[[0.998230, 0.057190, 0.015442], [-0.056702, 0.997925, -0.030823], [-0.017273, 0.029846, 0.999390]]",0,"[8079, 7847, 7737, 7886]"
29.953659,"[0.058594, 0.128906, -1.058594]","[0.000000, -0.000000, 0.000000]","[0.049999, 0.019999, 0.017025]","[0.000001, -0.000001, 0.000000]","[-0.016846, -0.030518, 0.059570]","[-0.014984, -0.008942, 0.029694, 0.999420]","[-0.000549, 0.001831, 0.021698, 0.999756]","[0.159424, -0.081055, -0.004883]","[[0.998108, 0.059570, 0.016968], [-0.059082, 0.997803, -0.030518], [-0.018799, 0.029419, 0.999390]]",0,"[8092, 7864, 7773, 7859]"
29.984911,"[0.058594, 0.128906, -1.058594]","[0.000000, -0.000000, 0.000000]","[0.049999, 0.009998, 0.018908]","[0.000002, -0.000001, 0.000001]","[-0.017578, -0.031250, 0.062012]","[-0.015381, -0.009369, 0.030945, 0.999359]","[-0.001160, 0.001953, 0.021729, 0.999756]","[0.114014, -0.058105, 0.026855]","[[0.997864, 0.062073, 0.017761], [-0.061584, 0.997559, -0.031372], [-0.019714, 0.030151, 0.999329]]",0,"[8112, 7840, 7765, 7874]"
30.02006,"[0.058594, 0.128906, -1.058594]","[0.000000, -0.000000, 0.000000]","[0.059999, 0.009998, 0.024229]","[0.000003, -0.000002, 0.000001]","[-0.018066, -0.031738, 0.064941]","[-0.015625, -0.009583, 0.032471, 0.999298]","[-0.001160, 0.002441, 0.021729, 0.999756]","[-0.032715, -0.152100, 0.058350]","[[0.997681, 0.065125, 0.018127], [-0.064636, 0.997375, -0.031921], [-0.020203, 0.030579, 0.999268]]",0,"[8126, 7850, 7785, 7862]"
30.088421,"[0.078125, 0.128906, -1.054688]","[0.000000, -0.000000, 0.000000]","[0.080000, 0.009998, 0.021685]","[0.000006, -0.000004, 0.000002]","[-0.017822, -0.032959, 0.070801]","[-0.016144, -0.009583, 0.035309, 0.999176]","[-0.001099, 0.004517, 0.021729, 0.999725]","[-0.035889, -0.152832, 0.090088]","[[0.997192, 0.070862, 0.018005], [-0.070251, 0.996887, -0.033020], [-0.020325, 0.031555, 0.999146]]",0,"[8144, 7842, 7793, 7870]"
30.121628,"[0.078125, 0.128906, -1.054688]","[0.000001, -0.000001, 0.000000]","[0.070000, 0.000000, 0.019758]","[0.000009, -0.000006, 0.000003]","[-0.017334, -0.032959, 0.073486]","[-0.016174, -0.009338, 0.036652, 0.999176]","[-0.000488, 0.004272, 0.021698, 0.999725]","[0.087402, 0.027344, -0.001221]","[[0.997192, 0.073486, 0.017456], [-0.072998, 0.996826, -0.033081], [-0.019897, 0.031616, 0.999390]]",0,"[8140, 7827, 7793, 7880]"
30.154827,"[0.078125, 0.128906, -1.054688]","[0.000001, -0.000001, 0.000000]","[0.089998, 0.000000, 0.022139]","[0.000012, -0.000008, 0.000004]","[-0.016602, -0.032471, 0.076172]","[-0.015961, -0.009003, 0.037994, 0.999115]","[-0.000488, 0.005249, 0.021698, 0.999725]","[-0.050049, 0.029053, 0.155518]","[[0.996948, 0.076111, 0.016785], [-0.075623, 0.996582, -0.032654], [-0.019226, 0.031189, 0.999329]]",0,"[8134, 7820, 7800, 7862]"
30.188032,"[0.078125, 0.128906, -1.050781]","[0.000002, -0.000001, 0.000001]","[0.080000, 0.000000, 0.036001]","[0.000017, -0.000011, 0.000006]","[-0.016357, -0.031738, 0.078613]","[-0.015503, -0.008789, 0.039246, 0.999084]","[-0.000488, 0.004761, 0.021698, 0.999725]","[0.024658, -0.006836, 0.066650]","[[0.996765, 0.078613, 0.016357], [-0.078125, 0.996460, -0.031738], [-0.018799, 0.030273, 0.999390]]",0,"[8135, 7832, 7783, 7852]"
30.221241,"[0.078125, 0.128906, -1.050781]","[0.000002, -0.000001, 0.000001]","[0.109999, 0.000000, 0.049114]","[0.000021, -0.000014, 0.000008]","[-0.015625, -0.031494, 0.081055]","[-0.015411, -0.008514, 0.040466, 0.999023]","[-0.000458, 0.006226, 0.021698, 0.999725]","[0.061523, -0.018066, 0.041748]","[[0.996521, 0.081055, 0.015747], [-0.080566, 0.996216, -0.031555], [-0.018311, 0.030090, 0.999329]]",0,"[8155, 7831, 7808, 7885]"
30.254442,"[0.089844, 0.128906, -1.046875]","[0.000003, -0.000002, 0.000001]","[0.089998, 0.000000, 0.029203]","[0.000026, -0.000017, 0.000009]","[-0.014893, -0.031006, 0.083740]","[-0.015198, -0.008148, 0.041779, 0.998993]","[-0.000458, 0.006104, 0.021698, 0.999725]","[-0.027832, 0.108154, 0.133789]","[[0.996399, 0.083679, 0.015015], [-0.083191, 0.996094, -0.031128], [-0.017578, 0.029663, 0.999451]]",0,"[8164, 7833, 7798, 7869]"
30.287645,"[0.089844, 0.128906, -1.046875]","[0.000004, -0.000003, 0.000001]","[0.109999, 0.000000, 0.052256]","[0.000035, -0.000023, 0.000012]","[-0.014160, -0.030518, 0.085938]","[-0.015015, -0.007782, 0.042999, 0.998932]","[-0.000427, 0.007080, 0.021698, 0.999725]","[0.023682, -0.099121, 0.041260]","[[0.996155, 0.086060, 0.014221], [-0.085693, 0.995789, -0.030701], [-0.016907, 0.029358, 0.999390]]",0,"[8153, 7824, 7824, 7860]"
30.320847,"[0.109375, 0.128906, -1.046875]","[0.000005, -0.000003, 0.000002]","[0.139999, 0.009998, 0.039299]","[0.000042, -0.000027, 0.000015]","[-0.012939, -0.030029, 0.088135]","[-0.014771, -0.007172, 0.044067, 0.998901]","[-0.000977, 0.009888, 0.021729, 0.999695]","[0.052490, 0.133301, 0.013672]","[[0.996033, 0.088196, 0.013000], [-0.087830, 0.995667, -0.030212], [-0.015686, 0.028870, 0.999451]]",0,"[8159, 7830, 7830, 7860]"
30.356005,"[0.109375, 0.128906, -1.046875]","[0.000007, -0.000005, 0.000003]","[0.129999, 0.000000, 0.030338]","[0.000053, -0.000035, 0.000019]","[-0.011230, -0.029785, 0.090820]","[-0.014618, -0.006378, 0.045319, 0.998840]","[-0.000397, 0.009155, 0.021698, 0.999695]","[-0.006104, 0.034912, 0.060791]","[[0.995789, 0.090698, 0.011414], [-0.090332, 0.995422, -0.029846], [-0.014099, 0.028625, 0.999451]]",0,"[8140, 7829, 7830, 7840]"
30.389204,"[0.109375, 0.128906, -1.046875]","[0.000009, -0.000006, 0.000003]","[0.139999, 0.009998, 0.031492]","[0.000063, -0.000041, 0.000022]","[-0.009521, -0.029785, 0.092529]","[-0.014618, -0.005493, 0.046265, 0.998810]","[-0.001007, 0.009766, 0.021729, 0.999695]","[0.000244, 0.041260, 0.010010]","[[0.995667, 0.092529, 0.009583], [-0.092285, 0.995239, -0.029785], [-0.012390, 0.028687, 0.999512]]",0,"[8145, 7815, 7830, 7881]"
