t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
30.769098,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000000, 0.000000]","[0.000000, 0.019999, 0.001041]","[-0.000000, 0.000001, 0.000000]","[-0.002441, -0.022705, 0.046143]","[-0.011292, -0.001495, 0.023132, 0.999664]","[-0.000702, 0.000000, 0.021332, 0.999756]","[-0.124268, -0.006836, 0.138428]","[[0.998901, 0.046204, 0.002441], [-0.046204, 0.998657, -0.022705], [-0.003540, 0.022461, 0.999695]]",0,"[8139, 7918, 7747, 7897]"
30.782774,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000000, 0.000000]","[0.009998, 0.019999, -0.003519]","[-0.000000, 0.000001, 0.000000]","[-0.005615, -0.023438, 0.047119]","[-0.011719, -0.003113, 0.023560, 0.999634]","[-0.000824, 0.000732, 0.021332, 0.999756]","[-0.006348, 0.022217, 0.044678]","[[0.998779, 0.047119, 0.005615], [-0.046997, 0.998535, -0.023621], [-0.006836, 0.023254, 0.999634]]",0,"[8174, 7948, 7707, 7865]"
30.815983,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000000, 0.000000]","[0.009998, 0.009998, -0.008478]","[-0.000000, 0.000003, 0.000002]","[-0.010254, -0.026123, 0.049072]","[-0.012939, -0.005524, 0.024597, 0.999603]","[-0.000336, 0.000732, 0.021332, 0.999756]","[-0.187744, 0.029053, 0.154297]","[[0.998718, 0.049255, 0.010376], [-0.049011, 0.998413, -0.026184], [-0.011719, 0.025574, 0.999573]]",0,"[8143, 7929, 7695, 7842]"
30.849178,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000000, 0.000000]","[0.019999, 0.009998, -0.016226]","[-0.000001, 0.000010, 0.000006]","[-0.014160, -0.028564, 0.051514]","[-0.014069, -0.007507, 0.025757, 0.999542]","[-0.000336, 0.001221, 0.021332, 0.999756]","[0.047852, -0.503418, -0.012451]","[[0.998535, 0.051636, 0.014282], [-0.051270, 0.998230, -0.028564], [-0.015747, 0.027710, 0.999451]]",0,"[8160, 7865, 7702, 7897]"
30.915588,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000002, 0.000001]","[0.039999, 0.019999, -0.006113]","[-0.000003, 0.000047, 0.000025]","[-0.018066, -0.030518, 0.056396]","[-0.015076, -0.009552, 0.028198, 0.999420]","[-0.000916, 0.002197, 0.021362, 0.999756]","[-0.226074, 0.044434, 0.177246]","[[0.998108, 0.056580, 0.018250], [-0.056091, 0.997803, -0.030701], [-0.019958, 0.029602, 0.999268]]",0,"[8138, 7856, 7722, 7869]"
30.950747,"[0.078125, 0.066406, -1.218750]","[-0.000000, 0.000004, 0.000002]","[0.039999, 0.009998, -0.004034]","[-0.000006, 0.000077, 0.000041]","[-0.020020, -0.030762, 0.059082]","[-0.015137, -0.010468, 0.029480, 0.999390]","[-0.000183, 0.002197, 0.021332, 0.999756]","[0.123291, 0.025879, 0.047363]","[[0.997986, 0.059204, 0.020020], [-0.058594, 0.997742, -0.030945], [-0.021851, 0.029602, 0.999268]]",0,"[8151, 7874, 7752, 7856]"
30.983946,"[0.097656, 0.066406, -1.218750]","[-0.000001, 0.000008, 0.000004]","[0.039999, 0.000000, -0.008482]","[-0.000010, 0.000136, 0.000073]","[-0.020508, -0.031738, 0.062012]","[-0.015625, -0.010803, 0.030884, 0.999329]","[0.000183, 0.003387, 0.021332, 0.999756]","[-0.167480, 0.059326, 0.133545]","[[0.997803, 0.062012, 0.020630], [-0.061401, 0.997498, -0.031921], [-0.022583, 0.030579, 0.999207]]",0,"[8129, 7863, 7746, 7853]"
31.017153,"[0.097656, 0.066406, -1.218750]","[-0.000001, 0.000013, 0.000007]","[0.059999, 0.000000, -0.004564]","[-0.000015, 0.000199, 0.000107]","[-0.021973, -0.031982, 0.064453]","[-0.015594, -0.011505, 0.032104, 0.999298]","[0.000214, 0.004364, 0.021332, 0.999756]","[0.072754, -0.245850, 0.034668]","[[0.997620, 0.064453, 0.021973], [-0.063843, 0.997437, -0.031982], [-0.024048, 0.030396, 0.999207]]",0,"[8168, 7875, 7747, 7842]"
31.052307,"[0.097656, 0.066406, -1.218750]","[-0.000002, 0.000023, 0.000012]","[0.070000, 0.000000, -0.005627]","[-0.000023, 0.000313, 0.000168]","[-0.021729, -0.032471, 0.067139]","[-0.015930, -0.011414, 0.033508, 0.999268]","[0.000214, 0.004852, 0.021332, 0.999756]","[-0.091309, 0.034912, 0.122314]","[[0.997559, 0.067261, 0.021729], [-0.066650, 0.997314, -0.032654], [-0.023926, 0.031067, 0.999268]]",0,"[8150, 7837, 7753, 7847]"
31.11871,"[0.097656, 0.066406, -1.218750]","[-0.000004, 0.000048, 0.000026]","[0.099998, 0.000000, -0.003345]","[-0.000041, 0.000562, 0.000303]","[-0.020264, -0.031982, 0.072510]","[-0.015686, -0.010803, 0.036194, 0.999176]","[0.000122, 0.006317, 0.021332, 0.999725]","[0.061035, 0.184326, 0.096436]","[[0.997192, 0.072632, 0.020447], [-0.072021, 0.996887, -0.032166], [-0.022766, 0.030579, 0.999268]]",0,"[8133, 7834, 7787, 7844]"
