t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
76.051216,"[0.089844, 0.097656, -1.097656]","[-0.000000, -0.000000, -0.000000]","[0.019999, 0.000000, 0.023184]","[-0.000001, -0.000001, -0.000000]","[0.005615, -0.018799, 0.031006]","[-0.009521, 0.002716, 0.015594, 0.999847]","[0.000366, 0.000214, 0.014740, 0.999878]","[-0.282227, -0.167236, 0.008545]","[[0.999512, 0.031067, -0.005676], [-0.031189, 0.999390, -0.018982], [0.005066, 0.019104, 0.999817]]",0,"[8048, 7877, 7886, 8022]"
76.125435,"[0.089844, 0.097656, -1.097656]","[-0.000002, -0.000002, -0.000000]","[0.039999, 0.009998, 0.036306]","[-0.000118, -0.000084, -0.000015]","[-0.007568, -0.024658, 0.035400]","[-0.012329, -0.004028, 0.017731, 0.999756]","[-0.000092, 0.001343, 0.014740, 0.999878]","[-0.141602, -0.130859, 0.015381]","[[0.999268, 0.035461, 0.007568], [-0.035339, 0.999023, -0.024841], [-0.008545, 0.024475, 0.999634]]",0,"[8227, 7963, 7745, 7942]"
76.158646,"[0.089844, 0.097656, -1.097656]","[-0.000012, -0.000009, -0.000002]","[0.019999, 0.000000, 0.040632]","[-0.000433, -0.000306, -0.000054]","[-0.011230, -0.027588, 0.037842]","[-0.013672, -0.005951, 0.018890, 0.999725]","[0.000366, 0.000336, 0.014740, 0.999878]","[-0.061768, -0.216553, 0.066895]","[[0.999268, 0.037842, 0.011353], [-0.037598, 0.998962, -0.027588], [-0.012451, 0.027100, 0.999573]]",0,"[8207, 7937, 7762, 7957]"
76.191864,"[0.089844, 0.097656, -1.097656]","[-0.000031, -0.000022, -0.000004]","[0.039999, 0.000000, 0.037987]","[-0.000908, -0.000643, -0.000113]","[-0.013428, -0.030029, 0.040283]","[-0.014954, -0.007019, 0.020172, 0.999664]","[0.000244, 0.001434, 0.014740, 0.999878]","[-0.037109, 0.148682, 0.108887]","[[0.999084, 0.040466, 0.013428], [-0.040100, 0.998718, -0.030212], [-0.014648, 0.029602, 0.999451]]",0,"[8193, 7887, 7767, 7967]"
76.227028,"[0.089844, 0.097656, -1.097656]","[-0.000086, -0.000061, -0.000011]","[0.029999, 0.000000, 0.031605]","[-0.002015, -0.001428, -0.000249]","[-0.016602, -0.031738, 0.042969]","[-0.015717, -0.008759, 0.021393, 0.999603]","[0.000244, 0.000946, 0.014740, 0.999878]","[0.054443, -0.194336, 0.045654]","[[0.998901, 0.042969, 0.016785], [-0.042480, 0.998535, -0.031860], [-0.018250, 0.031006, 0.999268]]",0,"[8214, 7910, 7780, 7930]"
76.258247,"[0.089844, 0.097656, -1.097656]","[-0.000163, -0.000116, -0.000020]","[0.039999, 0.000000, 0.009018]","[-0.003316, -0.002351, -0.000408]","[-0.018311, -0.032959, 0.045166]","[-0.016327, -0.009644, 0.022491, 0.999573]","[0.000244, 0.001312, 0.014740, 0.999878]","[0.182617, -0.019775, 0.093506]","[[0.998779, 0.045227, 0.018494], [-0.044617, 0.998474, -0.033142], [-0.020081, 0.032166, 0.999268]]",0,"[8216, 7893, 7767, 7923]"
76.293404,"[0.089844, 0.097656, -1.101562]","[-0.000286, -0.000202, -0.000035]","[0.070000, 0.000000, 0.040712]","[-0.005122, -0.003633, -0.000628]","[-0.019043, -0.034668, 0.047852]","[-0.017151, -0.010010, 0.023895, 0.999512]","[0.000275, 0.002899, 0.014740, 0.999878]","[-0.221436, -0.120361, 0.061523]","[[0.998596, 0.048035, 0.019165], [-0.047424, 0.998230, -0.034790], [-0.020874, 0.033813, 0.999146]]",0,"[8183, 7901, 7776, 7899]"
76.326607,"[0.097656, 0.097656, -1.101562]","[-0.000547, -0.000388, -0.000067]","[0.070000, -0.009998, -0.042667]","[-0.008474, -0.006016, -0.001033]","[-0.020996, -0.035156, 0.050293]","[-0.017334, -0.010986, 0.024994, 0.999481]","[0.000763, 0.003265, 0.014740, 0.999878]","[0.229492, -0.151123, 0.051025]","[[0.998474, 0.050293, 0.021057], [-0.049561, 0.998108, -0.035217], [-0.022888, 0.034119, 0.999146]]",0,"[8210, 7874, 7726, 7901]"
76.361763,"[0.097656, 0.097656, -1.101562]","[-0.000843, -0.000598, -0.000103]","[0.080000, -0.009998, 0.020342]","[-0.011816, -0.008394, -0.001434]","[-0.020020, -0.037354, 0.053223]","[-0.018463, -0.010559, 0.026550, 0.999420]","[0.000641, 0.003876, 0.014740, 0.999878]","[-0.267822, -0.050537, 0.081787]","[[0.998352, 0.053406, 0.020081], [-0.052673, 0.997864, -0.037537], [-0.022156, 0.036316, 0.999084]]",0,"[8158, 7813, 7742, 7918]"
76.393013,"[0.109375, 0.097656, -1.101562]","[-0.001411, -0.001002, -0.000172]","[0.070000, -0.019999, -0.030951]","[-0.017542, -0.012471, -0.002116]","[-0.020264, -0.037354, 0.056152]","[-0.018372, -0.010712, 0.027924, 0.999390]","[0.001160, 0.004120, 0.014740, 0.999878]","[-0.072021, -0.234131, 0.125000]","[[0.998230, 0.056152, 0.020386], [-0.055420, 0.997742, -0.037354], [-0.022461, 0.036133, 0.999084]]",0,"[8162, 7860, 7764, 7915]"
76.428169,"[0.109375, 0.097656, -1.105469]","[-0.002001, -0.001421, -0.000243]","[0.080000, -0.029999, -0.092913]","[-0.022895, -0.016287, -0.002748]","[-0.020752, -0.035645, 0.058838]","[-0.017548, -0.010925, 0.029327, 0.999359]","[0.001648, 0.004852, 0.014740, 0.999847]","[0.001709, 0.274170, 0.067383]","[[0.998047, 0.058960, 0.020813], [-0.058228, 0.997620, -0.035767], [-0.022888, 0.034424, 0.999146]]",0,"[8145, 7776, 7729, 7838]"
76.46138,"[0.109375, 0.097656, -1.105469]","[-0.003059, -0.002174, -0.000369]","[0.129999, -0.029999, -0.045486]","[-0.031587, -0.022489, -0.003767]","[-0.020020, -0.036133, 0.061523]","[-0.017822, -0.010620, 0.030640, 0.999298]","[0.001556, 0.007416, 0.014740, 0.999847]","[-0.229492, 0.104980, 0.113770]","[[0.997803, 0.061584, 0.020142], [-0.060852, 0.997375, -0.036316], [-0.022339, 0.034973, 0.999023]]",0,"[8095, 7794, 7699, 7802]"
76.494576,"[0.117188, 0.097656, -1.109375]","[-0.004096, -0.002913, -0.000493]","[0.099998, -0.039999, -0.020428]","[-0.039360, -0.028041, -0.004670]","[-0.019287, -0.035645, 0.063965]","[-0.017517, -0.010223, 0.031860, 0.999298]","[0.001923, 0.006683, 0.014740, 0.999847]","[0.131592, -0.254395, 0.086182]","[[0.997803, 0.063965, 0.019287], [-0.063354, 0.997375, -0.035706], [-0.021606, 0.034363, 0.999207]]",0,"[8101, 7802, 7708, 7846]"
76.527786,"[0.117188, 0.089844, -1.109375]","[-0.005376, -0.003825, -0.000644]","[0.119999, -0.049999, -0.039351]","[-0.048271, -0.034414, -0.005696]","[-0.017578, -0.035156, 0.066406]","[-0.017273, -0.009399, 0.033081, 0.999268]","[0.002777, 0.007751, 0.014740, 0.999847]","[0.089111, 0.247803, 0.042969]","[[0.997620, 0.066406, 0.017639], [-0.065796, 0.997192, -0.035217], [-0.019958, 0.033875, 0.999207]]",0,"[8120, 7772, 7732, 7864]"
76.560982,"[0.117188, 0.089844, -1.109375]","[-0.007523, -0.005357, -0.000897]","[0.109999, -0.039999, -0.035696]","[-0.062008, -0.044249, -0.007263]","[-0.015869, -0.034668, 0.068604]","[-0.017090, -0.008545, 0.034210, 0.999237]","[0.002167, 0.007385, 0.014740, 0.999847]","[-0.135254, 0.166260, 0.092529]","[[0.997498, 0.068604, 0.015869], [-0.068115, 0.997070, -0.034790], [-0.018311, 0.033569, 0.999268]]",0,"[8085, 7762, 7726, 7818]"
