t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
34.919472,"[0.128906, 0.136719, -1.152344]","[-0.000000, 0.000000, 0.000000]","[0.000000, 0.009998, -0.052172]","[-0.000000, 0.000001, 0.000000]","[0.007568, -0.022461, 0.045898]","[-0.011383, 0.003571, 0.023102, 0.999664]","[-0.000244, -0.000824, 0.022064, 0.999725]","[0.013672, -0.055908, 0.127930]","[[0.998901, 0.046021, -0.007629], [-0.046265, 0.998657, -0.022644], [0.006531, 0.022888, 0.999695]]",0,"[7743, 7538, 7498, 7639]"
35.044472,"[0.128906, 0.136719, -1.156250]","[-0.000006, 0.000013, 0.000004]","[0.009998, 0.009998, -0.068272]","[-0.000186, 0.000444, 0.000149]","[-0.020264, -0.032959, 0.053711]","[-0.016266, -0.010590, 0.026764, 0.999451]","[-0.000214, 0.000610, 0.022064, 0.999725]","[0.007324, -0.792480, 0.037598]","[[0.998291, 0.053772, 0.020264], [-0.053162, 0.997986, -0.033142], [-0.022095, 0.031921, 0.999207]]",0,"[7951, 7622, 7374, 7563]"
35.048382,"[0.128906, 0.136719, -1.152344]","[-0.000008, 0.000018, 0.000006]","[0.029999, 0.019999, -0.058069]","[-0.000238, 0.000569, 0.000191]","[-0.020996, -0.033203, 0.054199]","[-0.016388, -0.010986, 0.027008, 0.999451]","[-0.000671, 0.001465, 0.022064, 0.999725]","[-0.353271, 0.062500, 0.011719]","[[0.998291, 0.054260, 0.021057], [-0.053650, 0.997986, -0.033386], [-0.022888, 0.032166, 0.999207]]",0,"[7961, 7632, 7375, 7535]"
35.050346,"[0.136719, 0.136719, -1.148438]","[-0.000008, 0.000018, 0.000006]","[0.029999, 0.000000, -0.058458]","[-0.000238, 0.000569, 0.000191]","[-0.022705, -0.033447, 0.054199]","[-0.016388, -0.011810, 0.027008, 0.999451]","[0.000275, 0.001923, 0.022064, 0.999725]","[-0.058350, -0.802002, 0.037598]","[[0.998291, 0.054321, 0.022705], [-0.053589, 0.998047, -0.033447], [-0.024536, 0.032104, 0.999207]]",0,"[7935, 7632, 7394, 7586]"
35.067909,"[0.128906, 0.136719, -1.144531]","[-0.000014, 0.000032, 0.000011]","[0.039999, 0.000000, -0.066177]","[-0.000373, 0.000892, 0.000299]","[-0.023926, -0.033936, 0.055664]","[-0.016663, -0.012482, 0.027679, 0.999420]","[0.000275, 0.002167, 0.022064, 0.999725]","[0.252686, -0.317139, 0.096680]","[[0.998230, 0.055664, 0.023987], [-0.054932, 0.997986, -0.034058], [-0.025940, 0.032593, 0.999207]]",0,"[7999, 7638, 7365, 7610]"
35.189003,"[0.136719, 0.136719, -1.148438]","[-0.000157, 0.000375, 0.000126]","[0.059999, 0.000000, -0.006109]","[-0.002535, 0.006067, 0.002033]","[-0.030029, -0.034912, 0.064453]","[-0.016968, -0.015625, 0.031982, 0.999237]","[0.000305, 0.003632, 0.022064, 0.999725]","[0.009521, -0.138428, 0.153076]","[[0.997498, 0.064392, 0.030151], [-0.063416, 0.997437, -0.034973], [-0.032349, 0.032898, 0.998962]]",0,"[8004, 7686, 7495, 7635]"
35.200714,"[0.148438, 0.136719, -1.136719]","[-0.000183, 0.000438, 0.000147]","[0.080000, 0.009998, 0.039488]","[-0.002859, 0.006844, 0.002294]","[-0.030029, -0.034912, 0.064941]","[-0.017029, -0.015625, 0.032257, 0.999237]","[-0.000122, 0.005371, 0.022064, 0.999725]","[-0.052979, 0.034912, 0.110352]","[[0.997498, 0.064941, 0.030151], [-0.063965, 0.997437, -0.035095], [-0.032349, 0.033020, 0.999023]]",0,"[8028, 7695, 7508, 7651]"
35.349159,"[0.148438, 0.136719, -1.128906]","[-0.001272, 0.003045, 0.001021]","[0.099998, 0.000000, 0.047813]","[-0.012677, 0.030359, 0.010187]","[-0.029297, -0.034424, 0.074219]","[-0.016724, -0.015381, 0.036926, 0.999054]","[0.000488, 0.006561, 0.022064, 0.999725]","[0.107910, 0.023682, 0.029541]","[[0.996765, 0.074219, 0.029480], [-0.073242, 0.996643, -0.034607], [-0.032043, 0.032288, 0.998901]]",0,"[8087, 7741, 7630, 7718]"
35.351109,"[0.156250, 0.136719, -1.109375]","[-0.001272, 0.003045, 0.001021]","[0.119999, -0.009998, 0.101719]","[-0.012677, 0.030359, 0.010187]","[-0.028809, -0.034668, 0.074463]","[-0.016815, -0.015076, 0.037048, 0.999054]","[0.001007, 0.008026, 0.022064, 0.999695]","[-0.092041, 0.059326, 0.116943]","[[0.996765, 0.074463, 0.028870], [-0.073486, 0.996643, -0.034790], [-0.031433, 0.032471, 0.998901]]",0,"[8068, 7750, 7629, 7748]"
35.368687,"[0.156250, 0.136719, -1.109375]","[-0.001538, 0.003683, 0.001235]","[0.160000, -0.019999, 0.115776]","[-0.014643, 0.035071, 0.011770]","[-0.028809, -0.034424, 0.075439]","[-0.016663, -0.015076, 0.037567, 0.999054]","[0.001801, 0.009949, 0.022064, 0.999695]","[0.036621, -0.130859, -0.005859]","[[0.996765, 0.075500, 0.028870], [-0.074524, 0.996643, -0.034485], [-0.031433, 0.032166, 0.999023]]",0,"[8110, 7785, 7639, 7751]"
