t,p,p_d,v,v_d,Angles,q,q_sp,w,R,T_sp,rpm
42.373993,"[0.066406, 0.007812, -1.191406]","[-0.000000, 0.000000, 0.000000]","[0.009998, 0.000000, -0.114059]","[-0.000001, 0.000002, 0.000001]","[-0.002806, -0.016827, 0.029321]","[-0.008392, -0.001526, 0.014648, 0.999878]","[0.000000, 0.000702, 0.014008, 0.999878]","[0.072510, -0.911133, 0.001709]","[[0.999653, 0.029319, 0.002806], [-0.029268, 0.999516, -0.016827], [-0.003297, 0.016738, 0.999941]]",0,"[7869, 7695, 7598, 7759]"
42.405243,"[0.066406, 0.007812, -1.195312]","[-0.000000, 0.000000, 0.000000]","[0.009998, -0.009998, -0.117384]","[-0.000019, 0.000029, 0.000011]","[-0.010986, -0.020508, 0.030273]","[-0.010193, -0.005737, 0.015137, 0.999817]","[0.000488, 0.000702, 0.014008, 0.999878]","[0.045410, -0.902100, -0.014893]","[[0.999451, 0.030273, 0.011108], [-0.030151, 0.999329, -0.020569], [-0.011841, 0.020203, 0.999695]]",0,"[7976, 7718, 7474, 7684]"
42.440399,"[0.066406, 0.007812, -1.191406]","[-0.000001, 0.000002, 0.000001]","[0.000000, 0.000000, -0.154264]","[-0.000067, 0.000101, 0.000038]","[-0.017090, -0.022217, 0.031250]","[-0.011047, -0.008728, 0.015625, 0.999786]","[0.000000, 0.000092, 0.014008, 0.999878]","[-0.276855, 0.382080, 0.023193]","[[0.999329, 0.031372, 0.017090], [-0.031006, 0.999268, -0.022400], [-0.017822, 0.021790, 0.999634]]",0,"[8006, 7770, 7403, 7582]"
42.473602,"[0.066406, 0.007812, -1.195312]","[-0.000007, 0.000010, 0.000004]","[0.009998, 0.000000, -0.225534]","[-0.000223, 0.000337, 0.000126]","[-0.021484, -0.025146, 0.032471]","[-0.012390, -0.011017, 0.016235, 0.999725]","[0.000000, 0.000702, 0.014008, 0.999878]","[-0.226807, -0.020020, 0.066406]","[[0.999207, 0.032654, 0.021606], [-0.032166, 0.999084, -0.025146], [-0.022461, 0.024414, 0.999390]]",0,"[7878, 7654, 7439, 7675]"
42.506805,"[0.078125, 0.000000, -1.191406]","[-0.000016, 0.000025, 0.000009]","[0.039999, -0.009998, -0.175037]","[-0.000449, 0.000678, 0.000254]","[-0.026123, -0.025879, 0.034180]","[-0.012695, -0.013336, 0.017029, 0.999695]","[0.000885, 0.002899, 0.014008, 0.999878]","[0.009033, -0.489258, 0.051514]","[[0.999084, 0.034302, 0.026184], [-0.033691, 0.999084, -0.025879], [-0.027161, 0.024902, 0.999329]]",0,"[7878, 7669, 7420, 7578]"
42.540009,"[0.078125, 0.000000, -1.191406]","[-0.000034, 0.000052, 0.000019]","[0.029999, -0.009998, -0.172178]","[-0.000806, 0.001219, 0.000456]","[-0.029053, -0.027832, 0.035400]","[-0.013702, -0.014771, 0.017578, 0.999634]","[0.000885, 0.002289, 0.014008, 0.999878]","[0.149170, -0.051270, 0.075439]","[[0.998901, 0.035461, 0.029053], [-0.034729, 0.998962, -0.027954], [-0.030029, 0.026855, 0.999146]]",0,"[7940, 7679, 7386, 7562]"
42.573212,"[0.078125, 0.000000, -1.191406]","[-0.000079, 0.000120, 0.000045]","[0.039999, -0.009998, -0.126123]","[-0.001552, 0.002350, 0.000879]","[-0.028564, -0.029053, 0.037109]","[-0.014313, -0.014618, 0.018402, 0.999634]","[0.000885, 0.002899, 0.014008, 0.999878]","[-0.173584, 0.440186, 0.046143]","[[0.998901, 0.037109, 0.028687], [-0.036377, 0.998962, -0.029175], [-0.029785, 0.028076, 0.999207]]",0,"[7893, 7659, 7438, 7604]"
42.606415,"[0.078125, 0.000000, -1.187500]","[-0.000136, 0.000206, 0.000077]","[0.049999, -0.009998, -0.130602]","[-0.002366, 0.003586, 0.001340]","[-0.028809, -0.031006, 0.038330]","[-0.015289, -0.014740, 0.019043, 0.999603]","[0.000885, 0.003387, 0.014008, 0.999878]","[-0.134277, -0.069336, 0.032959]","[[0.998840, 0.038452, 0.028870], [-0.037598, 0.998840, -0.031189], [-0.030090, 0.029968, 0.999084]]",0,"[7897, 7636, 7479, 7637]"
42.639622,"[0.078125, 0.007812, -1.183594]","[-0.000256, 0.000388, 0.000145]","[0.059999, -0.019999, -0.096615]","[-0.003869, 0.005869, 0.002191]","[-0.030029, -0.031494, 0.039795]","[-0.015503, -0.015411, 0.019714, 0.999573]","[0.001007, 0.003876, 0.014008, 0.999878]","[0.150146, -0.630371, 0.009277]","[[0.998718, 0.039795, 0.030151], [-0.038940, 0.998718, -0.031616], [-0.031494, 0.030396, 0.999023]]",0,"[7926, 7681, 7486, 7635]"
42.672825,"[0.078125, 0.007812, -1.187500]","[-0.000390, 0.000592, 0.000221]","[0.080000, -0.019999, -0.101086]","[-0.005362, 0.008139, 0.003037]","[-0.030518, -0.031738, 0.040771]","[-0.015625, -0.015594, 0.020233, 0.999573]","[0.001038, 0.005219, 0.014008, 0.999878]","[0.331055, -0.245117, 0.010742]","[[0.998779, 0.040833, 0.030518], [-0.039978, 0.998718, -0.031921], [-0.031860, 0.030579, 0.999084]]",0,"[7946, 7695, 7483, 7606]"
